Chidamber-Kemerer metrics,Wed, 13 May 2020 15:03:46 CEST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"org.jabref.FallbackExceptionHandler",2,0,2,0,2,2
"org.jabref.Globals",200,0,1,0,22,13
"org.jabref.JabRefException",8,0,1,2,6,7
"org.jabref.JabRefExecutorService",27,0,2,0,13,14
"org.jabref.JabRefExecutorService.NamedRunnable",1,0,1,0,2,2
"org.jabref.JabRefGUI",45,0,1,0,44,36
"org.jabref.JabRefMain",26,0,1,0,55,16
"org.jabref.architecture.ApacheCommonsLang3Allowed",n/a,n/a,n/a,n/a,1,n/a
"org.jabref.cli.ArgumentProcessor",52,0,2,0,128,79
"org.jabref.cli.ArgumentProcessor.Mode",3,n/a,0,n/a,0,0
"org.jabref.cli.AuxCommandLine",7,0,1,0,8,3
"org.jabref.cli.CrossrefFetcherEvaluator",11,0,1,0,9,8
"org.jabref.cli.GenerateCharacterTable",1,0,1,0,2,4
"org.jabref.cli.ImportInspectionCommandLine",7,0,1,0,6,4
"org.jabref.cli.JabRefCLI",6,0,4,0,57,35
"org.jabref.cli.SystemOutputPrinter",3,0,3,0,3,3
"org.jabref.gui.AbstractController",12,0,2,7,3,3
"org.jabref.gui.AbstractDialogView",7,1,1,5,5,2
"org.jabref.gui.AbstractView",15,0,1,3,5,6
"org.jabref.gui.AbstractViewModel",11,0,0,9,0,0
"org.jabref.gui.BasePanel",242,0,7,0,312,257
"org.jabref.gui.BasePanel.EntryRemovedListener",8,0,1,0,8,3
"org.jabref.gui.BasePanel.GroupTreeListener",8,0,1,0,5,3
"org.jabref.gui.BasePanel.OpenURLAction",9,0,1,0,10,7
"org.jabref.gui.BasePanel.PrintPreviewAction",3,0,1,0,3,1
"org.jabref.gui.BasePanel.RedoAction",7,0,1,0,9,1
"org.jabref.gui.BasePanel.SaveSelectedAction",15,0,1,0,13,3
"org.jabref.gui.BasePanel.SearchAndOpenFile",11,0,1,0,15,5
"org.jabref.gui.BasePanel.SearchAutoCompleteListener",5,0,1,0,4,2
"org.jabref.gui.BasePanel.SearchListener",6,0,1,0,6,3
"org.jabref.gui.BasePanel.UndoAction",9,0,1,0,11,3
"org.jabref.gui.BasePanelMode",5,n/a,0,n/a,0,0
"org.jabref.gui.ClipBoardManager",24,0,2,0,16,11
"org.jabref.gui.DefaultInjector",9,0,1,0,4,9
"org.jabref.gui.Dialog",n/a,n/a,n/a,n/a,1,n/a
"org.jabref.gui.DialogService",n/a,n/a,n/a,n/a,21,n/a
"org.jabref.gui.DragAndDropDataFormats",3,0,0,0,0,0
"org.jabref.gui.DragDropPane",2,0,0,1,2,12
"org.jabref.gui.DragDropPane.MarkerPane",4,0,1,0,7,3
"org.jabref.gui.DragDropPopupPane",2,1,1,0,2,4
"org.jabref.gui.DuplicateResolverDialog",16,1,1,0,19,13
"org.jabref.gui.DuplicateResolverDialog.DuplicateResolverResult",4,n/a,0,n/a,0,0
"org.jabref.gui.DuplicateResolverDialog.DuplicateResolverType",4,n/a,0,n/a,0,0
"org.jabref.gui.DuplicateSearch",16,0,1,0,17,19
"org.jabref.gui.DuplicateSearch.DuplicateCallBack",7,0,1,0,7,4
