Chidamber-Kemerer metrics,Wed, 13 May 2020 14:53:46 CEST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"net.sf.jabref.BibDatabaseContext",105,0,1,0,28,28
"net.sf.jabref.Defaults",9,0,0,0,2,2
"net.sf.jabref.Globals",227,0,3,0,12,6
"net.sf.jabref.HighlightMatchingGroupPreferences",3,0,1,0,9,7
"net.sf.jabref.JabRefException",3,0,1,0,7,6
"net.sf.jabref.JabRefExecutorService",28,0,1,0,12,14
"net.sf.jabref.JabRefExecutorService.AutoCleanupRunnable",1,0,1,0,2,2
"net.sf.jabref.JabRefGUI",32,0,1,0,43,35
"net.sf.jabref.JabRefMain",20,0,1,0,32,7
"net.sf.jabref.JabRefPreferences",193,0,4,0,87,82
"net.sf.jabref.JabRefPreferencesFilter",4,0,1,0,5,3
"net.sf.jabref.JabRefPreferencesFilter.PreferenceOption",4,0,4,0,10,13
"net.sf.jabref.JabRefPreferencesFilter.PreferenceType",1,n/a,0,n/a,0,0
"net.sf.jabref.JabRefPreferencesFilterDialog",6,0,1,0,7,3
"net.sf.jabref.JabRefPreferencesFilterDialog.PreferencesTableModel",3,0,3,0,10,14
"net.sf.jabref.MetaData",57,0,4,0,60,69
"net.sf.jabref.bst.BibtexCaseChanger",5,0,1,0,11,47
"net.sf.jabref.bst.BibtexCaseChanger.FORMAT_MODE",2,n/a,1,n/a,4,5
"net.sf.jabref.bst.BibtexNameFormatter",7,0,1,0,14,60
"net.sf.jabref.bst.BibtexPurify",4,0,1,0,3,16
"net.sf.jabref.bst.BibtexTextPrefix",3,0,1,0,2,11
"net.sf.jabref.bst.BibtexWidth",3,0,1,0,6,26
"net.sf.jabref.bst.ChangeCaseFunction",6,0,1,0,6,5
"net.sf.jabref.bst.FormatNameFunction",7,0,1,0,8,6
"net.sf.jabref.bst.PurifyFunction",5,0,1,0,6,4
"net.sf.jabref.bst.TextPrefixFunction",5,0,1,0,6,5
"net.sf.jabref.bst.VM",15,0,3,0,66,146
"net.sf.jabref.bst.VM.BstEntry",10,0,2,0,3,3
"net.sf.jabref.bst.VM.BstFunction",n/a,n/a,n/a,n/a,1,n/a
"net.sf.jabref.bst.VM.Identifier",2,0,1,0,2,2
"net.sf.jabref.bst.VM.MacroFunction",3,0,1,0,3,2
"net.sf.jabref.bst.VM.StackFunction",5,0,1,0,13,10
"net.sf.jabref.bst.VM.Variable",0,0,1,0,2,2
"net.sf.jabref.bst.VMException",8,0,0,0,1,1
"net.sf.jabref.bst.Warn",n/a,n/a,n/a,n/a,1,n/a
"net.sf.jabref.bst.WidthFunction",5,0,1,0,6,4
"net.sf.jabref.cli.ArgumentProcessor",40,0,2,0,108,77
"net.sf.jabref.cli.ArgumentProcessor.Mode",3,n/a,0,n/a,0,0
"net.sf.jabref.cli.AuxCommandLine",5,0,1,0,7,3
"net.sf.jabref.cli.JabRefCLI",6,0,4,0,57,33
"net.sf.jabref.collab.Change",15,0,3,11,8,7
"net.sf.jabref.collab.ChangeDisplayDialog",7,0,2,0,14,12
"net.sf.jabref.collab.ChangeScanner",38,0,1,0,70,71
"net.sf.jabref.collab.ChangeScanner.DisplayResultCallback",n/a,n/a,n/a,n/a,1,n/a
"net.sf.jabref.collab.EntryAddChange",12,1,2,0,13,3
"net.sf.jabref.collab.EntryChange",9,1,2,0,15,10
"net.sf.jabref.collab.EntryChange.FieldChange",9,1,2,0,10,8
"net.sf.jabref.collab.EntryDeleteChange",12,1,2,0,15,3
"net.sf.jabref.collab.FileUpdateListener",n/a,n/a,n/a,n/a,2,n/a
"net.sf.jabref.collab.FileUpdateMonitor",6,0,1,0,18,16
"net.sf.jabref.collab.FileUpdateMonitor.Entry",3,0,1,0,13,11
"net.sf.jabref.collab.FileUpdatePanel",8,3,3,0,13,7
"net.sf.jabref.collab.GroupChange",13,1,1,0,21,9
"net.sf.jabref.collab.InfoPane",6,0,1,0,2,2
"net.sf.jabref.collab.MetaDataChange",9,1,1,0,18,12
"net.sf.jabref.collab.MetaDataChange.MetaDataChangeUnit",1,0,3,0,4,4
"net.sf.jabref.collab.PreambleChange",8,1,2,0,10,5
"net.sf.jabref.collab.StringAddChange",11,1,2,0,18,4
"net.sf.jabref.collab.StringChange",12,1,2,0,18,6
"net.sf.jabref.collab.StringNameChange",11,1,1,0,18,6
"net.sf.jabref.collab.StringRemoveChange",9,1,2,0,15,3
"net.sf.jabref.event.EntryAddedEvent",9,1,1,0,4,3
"net.sf.jabref.event.EntryChangedEvent",8,1,0,1,2,1
"net.sf.jabref.event.EntryEvent",11,0,1,3,2,2
"net.sf.jabref.event.EntryRemovedEvent",5,1,0,0,2,1
"net.sf.jabref.event.FieldChangedEvent",6,2,2,0,4,3
"net.sf.jabref.exporter.AutoSaveManager",14,0,1,0,21,12
"net.sf.jabref.exporter.AutoSaveManager.AutoSaveTask",4,0,1,0,6,3
"net.sf.jabref.exporter.BibDatabaseWriter",33,0,1,0,59,41
"net.sf.jabref.exporter.CustomExportDialog",8,0,4,0,14,11
"net.sf.jabref.exporter.CustomExportList",6,0,2,0,20,17
"net.sf.jabref.exporter.ExportComparator",1,0,1,0,1,1
"net.sf.jabref.exporter.ExportCustomizationDialog",14,0,0,0,21,9
"net.sf.jabref.exporter.ExportCustomizationDialog.ExportTableFormat",2,0,3,0,4,6
"net.sf.jabref.exporter.ExportFileFilter",3,0,3,0,9,11
"net.sf.jabref.exporter.ExportFormat",20,0,5,4,31,33
"net.sf.jabref.exporter.ExportFormats",27,0,1,0,20,28
"net.sf.jabref.exporter.ExportToClipboardAction",13,1,1,0,19,9
"net.sf.jabref.exporter.FieldFormatterCleanups",19,0,2,0,20,32
"net.sf.jabref.exporter.IExportFormat",n/a,n/a,n/a,n/a,5,n/a
"net.sf.jabref.exporter.MSBibExportFormat",7,1,1,0,9,3
"net.sf.jabref.exporter.ModsExportFormat",7,1,1,0,9,3
"net.sf.jabref.exporter.OOCalcDatabase",8,0,1,0,14,6
"net.sf.jabref.exporter.OpenDocumentRepresentation",8,0,1,0,14,7
"net.sf.jabref.exporter.OpenDocumentSpreadsheetCreator",7,1,1,0,15,13
"net.sf.jabref.exporter.OpenOfficeDocumentCreator",6,1,1,0,14,12
"net.sf.jabref.exporter.RtfSelection",1,0,2,0,6,6
"net.sf.jabref.exporter.SaveAllAction",12,1,1,0,18,6
"net.sf.jabref.exporter.SaveDatabaseAction",27,1,1,0,85,43
"net.sf.jabref.exporter.SaveException",11,0,3,0,10,10
"net.sf.jabref.exporter.SavePreferences",12,0,2,0,20,18
"net.sf.jabref.exporter.SavePreferences.DatabaseSaveType",4,n/a,0,n/a,0,0
"net.sf.jabref.exporter.SaveSession",18,0,4,0,18,22
"net.sf.jabref.exporter.VerifyingWriter",8,0,1,0,4,8
"net.sf.jabref.external.AttachFileAction",10,0,1,0,20,4
"net.sf.jabref.external.AutoSetLinks",19,0,1,0,6,24
"net.sf.jabref.external.ConfirmCloseFileListEntryEditor",n/a,n/a,n/a,n/a,1,n/a
"net.sf.jabref.external.DownloadExternalFile",20,0,1,0,38,36
"net.sf.jabref.external.DownloadExternalFile.DownloadCallback",n/a,n/a,n/a,n/a,1,n/a
"net.sf.jabref.external.DroppedFileHandler",24,0,1,0,55,59
"net.sf.jabref.external.ExternalFileMenuItem",12,0,1,0,13,10
"net.sf.jabref.external.ExternalFileType",32,0,1,1,24,31
"net.sf.jabref.external.ExternalFileTypeEditor",17,0,3,0,29,16
"net.sf.jabref.external.ExternalFileTypeEditor.EditExternalFileTypesAction",5,1,1,0,9,6
"net.sf.jabref.external.ExternalFileTypeEditor.EditListener",4,0,1,0,4,3
"net.sf.jabref.external.ExternalFileTypeEditor.FileTypeTableModel",3,0,4,0,11,16
"net.sf.jabref.external.ExternalFileTypeEditor.IconRenderer",1,0,1,0,1,1
"net.sf.jabref.external.ExternalFileTypeEditor.TableClickListener",2,0,1,0,5,5
"net.sf.jabref.external.ExternalFileTypeEntryEditor",10,0,1,0,30,24
