Chidamber-Kemerer metrics,Wed, 13 May 2020 15:07:25 CEST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"org.jabref.FallbackExceptionHandler",6,0,2,0,5,2
"org.jabref.Globals",136,0,1,0,25,12
"org.jabref.JabRefException",9,0,1,3,6,7
"org.jabref.JabRefExecutorService",15,0,1,0,13,14
"org.jabref.JabRefExecutorService.NamedRunnable",1,0,1,0,2,2
"org.jabref.JabRefGUI",35,0,1,0,52,30
"org.jabref.JabRefLauncher",1,0,1,0,2,1
"org.jabref.JabRefMain",28,0,2,0,48,15
"org.jabref.architecture.ApacheCommonsLang3Allowed",n/a,n/a,n/a,n/a,1,n/a
"org.jabref.cli.ArgumentProcessor",50,0,2,0,124,76
"org.jabref.cli.ArgumentProcessor.Mode",3,n/a,0,n/a,0,0
"org.jabref.cli.AuxCommandLine",7,0,1,0,8,3
"org.jabref.cli.CrossrefFetcherEvaluator",11,0,1,0,9,8
"org.jabref.cli.GenerateCharacterTable",1,0,1,0,2,4
"org.jabref.cli.JabRefCLI",7,0,5,0,57,35
"org.jabref.cli.SystemOutputPrinter",2,0,3,0,3,3
"org.jabref.gui.AbstractViewModel",24,0,0,24,0,0
"org.jabref.gui.BasePanel",128,0,6,0,192,127
"org.jabref.gui.BasePanel.EntriesRemovedListener",3,0,1,0,3,1
"org.jabref.gui.BasePanel.GroupTreeListener",7,0,1,0,5,3
"org.jabref.gui.BasePanel.OpenURLAction",10,0,1,0,8,5
"org.jabref.gui.BasePanel.RedoAction",4,0,1,0,7,1
"org.jabref.gui.BasePanel.SearchAndOpenFile",11,0,1,0,15,5
"org.jabref.gui.BasePanel.SearchAutoCompleteListener",6,0,1,0,5,2
"org.jabref.gui.BasePanel.SearchListener",7,0,1,0,5,3
"org.jabref.gui.BasePanel.UndoAction",4,0,1,0,7,1
"org.jabref.gui.BasePanelMode",1,n/a,0,n/a,0,0
"org.jabref.gui.BasePanelPreferences",11,0,6,0,18,11
"org.jabref.gui.ClipBoardManager",33,0,1,0,30,24
"org.jabref.gui.DefaultInjector",12,0,1,0,7,13
"org.jabref.gui.Dialog",n/a,n/a,n/a,n/a,1,n/a
"org.jabref.gui.DialogService",n/a,n/a,n/a,n/a,28,n/a
"org.jabref.gui.DragAndDropDataFormats",8,0,0,0,0,0
"org.jabref.gui.DragAndDropHelper",2,0,1,0,2,3
"org.jabref.gui.EntryTypeView",19,1,1,0,25,14
"org.jabref.gui.EntryTypeViewModel",21,0,1,0,34,20
"org.jabref.gui.EntryTypeViewModel.FetcherWorker",4,0,1,0,5,2
"org.jabref.gui.FXDialog",7,0,1,1,10,10
"org.jabref.gui.GUIGlobals",13,0,1,0,10,4
"org.jabref.gui.JabRefDialogService",11,0,13,0,41,34
"org.jabref.gui.JabRefFrame",136,0,4,0,192,118
"org.jabref.gui.JabRefFrame.CloseAction",2,1,1,0,2,1
"org.jabref.gui.JabRefFrame.CloseDatabaseAction",2,1,1,0,3,1
"org.jabref.gui.JabRefFrame.EditAction",4,1,1,0,6,13
"org.jabref.gui.JabRefFrame.UndoRedoEventManager",5,0,1,0,5,3
"org.jabref.gui.SaveOrderConfigDisplayView",9,0,1,0,25,6
"org.jabref.gui.SaveOrderConfigDisplayViewModel",6,0,4,0,22,18
"org.jabref.gui.SidePane",3,0,1,0,5,3
"org.jabref.gui.SidePaneComponent",14,0,7,3,23,12
"org.jabref.gui.SidePaneComponent.ToggleCommand",3,1,1,0,4,2
"org.jabref.gui.SidePaneManager",12,0,1,0,26,24
"org.jabref.gui.SidePaneManager.PreferredIndexSort",5,0,1,0,4,2
"org.jabref.gui.SidePaneType",8,n/a,0,n/a,0,0
"org.jabref.gui.StateManager",52,0,5,0,19,16
"org.jabref.gui.UpdateTimestampListener",5,0,1,0,8,3
