Chidamber-Kemerer metrics,Wed, 13 May 2020 14:56:17 CEST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"net.sf.jabref.gui.DragDropPane.MarkerPane",4,0,1,0,7,3
"net.sf.jabref.gui.DragDropPopupPane",2,1,1,0,2,4
"net.sf.jabref.gui.DuplicateResolverDialog",15,0,1,0,19,13
"net.sf.jabref.gui.DuplicateResolverDialog.DuplicateResolverResult",4,n/a,0,n/a,0,0
"net.sf.jabref.gui.DuplicateResolverDialog.DuplicateResolverType",4,n/a,0,n/a,0,0
"net.sf.jabref.gui.DuplicateSearch",16,0,1,0,17,19
"net.sf.jabref.gui.DuplicateSearch.DuplicateCallBack",7,0,1,0,7,4
"net.sf.jabref.gui.DuplicateSearch.SearcherRunnable",5,0,1,0,6,6
"net.sf.jabref.gui.EntryContainer",n/a,n/a,n/a,n/a,1,n/a
"net.sf.jabref.gui.EntryCustomizationDialog",22,0,1,0,48,53
"net.sf.jabref.gui.EntryCustomizationDialog.DataListener",2,0,1,0,5,5
"net.sf.jabref.gui.EntryCustomizationDialog.DefaultListener",4,0,1,0,4,6
"net.sf.jabref.gui.EntryMarker",16,0,1,0,16,28
"net.sf.jabref.gui.EntryTypeDialog",16,0,3,0,21,11
"net.sf.jabref.gui.EntryTypeDialog.CancelAction",1,0,1,0,2,2
"net.sf.jabref.gui.EntryTypeDialog.TypeButton",2,0,1,0,4,3
"net.sf.jabref.gui.EntryTypeList",12,1,2,0,17,18
"net.sf.jabref.gui.FieldContentSelector",10,0,1,0,13,14
"net.sf.jabref.gui.FieldSetComponent",11,0,1,1,22,46
"net.sf.jabref.gui.FieldSetComponent.FieldListFocusListener",1,0,2,0,3,4
"net.sf.jabref.gui.FileDialog",30,0,2,0,19,26
"net.sf.jabref.gui.FileListEntry",30,0,1,0,6,7
"net.sf.jabref.gui.FileListEntryEditor",20,0,6,0,43,39
"net.sf.jabref.gui.FileListTableModel",33,0,4,0,29,32
"net.sf.jabref.gui.FindUnlinkedFilesDialog",23,0,2,0,54,69
"net.sf.jabref.gui.FindUnlinkedFilesDialog.BibtexEntryTypeWrapper",3,0,1,0,5,4
"net.sf.jabref.gui.FindUnlinkedFilesDialog.CheckableTreeNode",3,0,2,0,5,6
"net.sf.jabref.gui.FindUnlinkedFilesDialog.CheckboxTreeCellRenderer",3,0,1,0,4,3
"net.sf.jabref.gui.FindUnlinkedFilesDialog.FileNodeWrapper",3,0,0,0,3,3
"net.sf.jabref.gui.GUIGlobals",37,0,1,0,30,6
"net.sf.jabref.gui.GenFieldsCustomizer",12,0,1,0,23,11
"net.sf.jabref.gui.GlobalFocusListener",6,0,2,0,4,5
"net.sf.jabref.gui.IconTheme",95,0,1,0,6,6
"net.sf.jabref.gui.IconTheme.FontBasedIcon",8,0,1,0,8,8
"net.sf.jabref.gui.IconTheme.JabRefIcon",89,n/a,1,n/a,7,5
"net.sf.jabref.gui.JabRefFrame",205,0,4,0,236,167
"net.sf.jabref.gui.JabRefFrame.BibtexKeyPatternAction",5,1,1,0,9,3
"net.sf.jabref.gui.JabRefFrame.ChangeTabAction",6,1,1,0,6,7
"net.sf.jabref.gui.JabRefFrame.CloseAction",6,1,1,0,8,2
"net.sf.jabref.gui.JabRefFrame.CloseAllDatabasesAction",3,1,1,0,2,2
"net.sf.jabref.gui.JabRefFrame.CloseDatabaseAction",8,1,1,0,11,2
"net.sf.jabref.gui.JabRefFrame.CloseOtherDatabasesAction",3,1,1,0,3,3
"net.sf.jabref.gui.JabRefFrame.CustomizeEntryTypeAction",4,1,1,0,5,2
"net.sf.jabref.gui.JabRefFrame.CustomizeExportsAction",4,1,1,0,5,2
"net.sf.jabref.gui.JabRefFrame.CustomizeImportsAction",4,1,1,0,5,2
"net.sf.jabref.gui.JabRefFrame.DatabasePropertiesAction",4,1,1,0,9,3
"net.sf.jabref.gui.JabRefFrame.DecreaseTableFontSizeAction",9,1,1,0,10,4
"net.sf.jabref.gui.JabRefFrame.EditAction",4,1,1,0,7,3
"net.sf.jabref.gui.JabRefFrame.EditModeAction",5,0,1,0,14,5
"net.sf.jabref.gui.JabRefFrame.GenFieldsCustomizationAction",4,1,1,0,5,2
"net.sf.jabref.gui.JabRefFrame.GeneralAction",3,1,1,0,13,9
"net.sf.jabref.gui.JabRefFrame.IncreaseTableFontSizeAction",9,1,1,0,10,3
"net.sf.jabref.gui.JabRefFrame.MyGlassPane",1,0,1,0,2,2
"net.sf.jabref.gui.JabRefFrame.ProtectedTermsAction",5,1,1,0,6,2
"net.sf.jabref.gui.JabRefFrame.SelectKeysAction",8,0,1,0,8,2
"net.sf.jabref.gui.JabRefFrame.ShowPrefsAction",5,1,1,0,8,2
"net.sf.jabref.gui.JabRefFrame.ToolBar",4,1,1,0,4,6
"net.sf.jabref.gui.JabRefFrame.UndoRedoEventManager",5,0,1,0,9,4
"net.sf.jabref.gui.MergeDialog",6,0,1,0,10,8
"net.sf.jabref.gui.OSXCompatibleToolbar",11,0,1,1,5,7
"net.sf.jabref.gui.PreambleEditor",18,0,2,0,20,9
"net.sf.jabref.gui.PreambleEditor.CloseAction",4,0,1,0,5,2
"net.sf.jabref.gui.PreambleEditor.FieldListener",2,0,1,0,2,2
"net.sf.jabref.gui.PreambleEditor.RedoAction",5,0,1,0,4,2
"net.sf.jabref.gui.PreambleEditor.StoreFieldAction",9,0,1,0,13,7
"net.sf.jabref.gui.PreambleEditor.UndoAction",5,0,1,0,4,2
"net.sf.jabref.gui.PreviewPanel",32,0,1,0,31,20
"net.sf.jabref.gui.PreviewPanel.CloseAction",5,0,1,0,4,2
"net.sf.jabref.gui.PreviewPanel.CopyPreviewAction",7,0,1,0,6,2
"net.sf.jabref.gui.PreviewPanel.PrintAction",7,0,1,0,6,2
"net.sf.jabref.gui.ReplaceStringDialog",9,0,3,0,15,15
"net.sf.jabref.gui.SaveOrderConfigDisplay",7,0,1,0,16,7
"net.sf.jabref.gui.SidePane",2,0,2,0,6,7
"net.sf.jabref.gui.SidePaneComponent",22,2,6,4,21,9
"net.sf.jabref.gui.SidePaneManager",15,0,1,0,38,40
"net.sf.jabref.gui.SidePaneManager.PreferredIndexSort",2,0,1,0,4,2
"net.sf.jabref.gui.StringDialog",26,0,3,0,29,12
"net.sf.jabref.gui.StringDialog.CloseAction",3,0,1,0,4,2
"net.sf.jabref.gui.StringDialog.NewStringAction",11,0,1,0,14,6
"net.sf.jabref.gui.StringDialog.RedoAction",6,0,1,0,5,2
"net.sf.jabref.gui.StringDialog.RemoveStringAction",10,0,1,0,12,7
"net.sf.jabref.gui.StringDialog.SaveDatabaseAction",4,0,1,0,5,2
"net.sf.jabref.gui.StringDialog.StringTable",6,0,1,0,5,2
"net.sf.jabref.gui.StringDialog.StringTableModel",11,0,4,0,22,16
"net.sf.jabref.gui.StringDialog.UndoAction",6,0,1,0,5,2
"net.sf.jabref.gui.TransferableBibtexEntry",10,0,1,0,9,7
"net.sf.jabref.gui.WaitForSaveOperation",3,0,2,0,10,7
"net.sf.jabref.gui.WrapLayout",2,0,1,0,7,16
"net.sf.jabref.gui.actions.Actions",17,0,0,0,0,0
"net.sf.jabref.gui.actions.AutoLinkFilesAction",14,0,1,0,20,5
"net.sf.jabref.gui.actions.BaseAction",n/a,n/a,n/a,n/a,1,n/a
"net.sf.jabref.gui.actions.ChangeTypeAction",3,0,1,0,4,2
"net.sf.jabref.gui.actions.CleanupAction",17,1,1,0,36,22
"net.sf.jabref.gui.actions.CopyAction",5,0,1,0,6,5
"net.sf.jabref.gui.actions.CopyVersionToClipboardAction",7,0,1,0,6,1
