Chidamber-Kemerer metrics,Wed, 13 May 2020 14:58:38 CEST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"net.sf.jabref.FallbackExceptionHandler",2,0,2,0,4,2
"net.sf.jabref.Globals",192,0,2,0,9,6
"net.sf.jabref.JabRefException",9,0,1,2,8,7
"net.sf.jabref.JabRefExecutorService",29,0,2,0,14,17
"net.sf.jabref.JabRefExecutorService.NamedRunnable",1,0,1,0,2,2
"net.sf.jabref.JabRefGUI",42,0,1,0,52,35
"net.sf.jabref.JabRefMain",30,0,1,0,49,7
"net.sf.jabref.cli.ArgumentProcessor",50,0,2,0,125,78
"net.sf.jabref.cli.ArgumentProcessor.Mode",3,n/a,0,n/a,0,0
"net.sf.jabref.cli.AuxCommandLine",5,0,1,0,7,3
"net.sf.jabref.cli.CrossrefFetcherEvaluator",9,0,1,0,7,7
"net.sf.jabref.cli.GenerateCharacterTable",1,0,1,0,1,3
"net.sf.jabref.cli.ImportInspectionCommandLine",7,0,1,0,6,4
"net.sf.jabref.cli.JabRefCLI",6,0,4,0,57,33
"net.sf.jabref.cli.SystemOutputPrinter",3,0,3,0,3,3
"net.sf.jabref.cli.XMPUtilMain",13,0,1,0,19,18
"net.sf.jabref.collab.Change",15,0,3,11,8,7
"net.sf.jabref.collab.ChangeDisplayDialog",7,0,2,0,16,12
"net.sf.jabref.collab.ChangeScanner",41,0,1,0,68,67
"net.sf.jabref.collab.ChangeScanner.DisplayResultCallback",n/a,n/a,n/a,n/a,1,n/a
"net.sf.jabref.collab.EntryAddChange",10,1,2,0,12,3
"net.sf.jabref.collab.EntryChange",9,1,2,0,15,10
"net.sf.jabref.collab.EntryChange.FieldChange",9,1,2,0,10,8
"net.sf.jabref.collab.EntryDeleteChange",10,1,2,0,14,3
"net.sf.jabref.collab.FileUpdateListener",n/a,n/a,n/a,n/a,2,n/a
"net.sf.jabref.collab.FileUpdateMonitor",6,0,1,0,19,16
"net.sf.jabref.collab.FileUpdateMonitor.Entry",3,0,1,0,12,11
"net.sf.jabref.collab.FileUpdatePanel",10,3,4,0,14,8
"net.sf.jabref.collab.GroupChange",13,1,1,0,19,9
"net.sf.jabref.collab.InfoPane",6,0,1,0,2,2
"net.sf.jabref.collab.MetaDataChange",9,1,2,0,8,3
"net.sf.jabref.collab.PreambleChange",8,1,2,0,10,5
"net.sf.jabref.collab.StringAddChange",11,1,2,0,18,4
"net.sf.jabref.collab.StringChange",12,1,2,0,18,6
"net.sf.jabref.collab.StringNameChange",11,1,1,0,18,6
"net.sf.jabref.collab.StringRemoveChange",9,1,2,0,15,3
"net.sf.jabref.gui.BasePanel",263,0,4,0,332,273
"net.sf.jabref.gui.BasePanel.AutoCompleteListener",5,0,1,0,4,2
"net.sf.jabref.gui.BasePanel.GroupTreeListener",12,0,1,0,13,9
"net.sf.jabref.gui.BasePanel.OpenURLAction",9,0,1,0,9,7
"net.sf.jabref.gui.BasePanel.PrintPreviewAction",5,0,1,0,6,1
"net.sf.jabref.gui.BasePanel.RedoAction",8,0,1,0,10,2
"net.sf.jabref.gui.BasePanel.SaveSelectedAction",11,0,1,0,11,3
"net.sf.jabref.gui.BasePanel.SearchAndOpenFile",11,0,1,0,18,10
"net.sf.jabref.gui.BasePanel.SearchAutoCompleteListener",5,0,1,0,4,2
"net.sf.jabref.gui.BasePanel.SearchListener",6,0,1,0,6,3
"net.sf.jabref.gui.BasePanel.UndoAction",9,0,1,0,13,3
"net.sf.jabref.gui.BasePanelMode",4,n/a,0,n/a,0,0
"net.sf.jabref.gui.ClipBoardManager",20,0,2,0,22,10
"net.sf.jabref.gui.DragDropPane",2,0,0,1,2,12
"net.sf.jabref.gui.DragDropPane.MarkerPane",4,0,1,0,7,3
"net.sf.jabref.gui.DragDropPopupPane",2,1,1,0,2,4
"net.sf.jabref.gui.DuplicateResolverDialog",15,0,1,0,19,13
"net.sf.jabref.gui.DuplicateResolverDialog.DuplicateResolverResult",4,n/a,0,n/a,0,0
"net.sf.jabref.gui.DuplicateResolverDialog.DuplicateResolverType",4,n/a,0,n/a,0,0
"net.sf.jabref.gui.DuplicateSearch",16,0,1,0,17,19
"net.sf.jabref.gui.DuplicateSearch.DuplicateCallBack",7,0,1,0,7,4
"net.sf.jabref.gui.DuplicateSearch.SearcherRunnable",5,0,1,0,6,6
"net.sf.jabref.gui.EntryContainer",n/a,n/a,n/a,n/a,1,n/a
"net.sf.jabref.gui.EntryMarker",16,0,1,0,16,28
"net.sf.jabref.gui.EntryTypeDialog",20,0,2,0,24,16
"net.sf.jabref.gui.EntryTypeDialog.CancelAction",1,0,1,0,3,2
"net.sf.jabref.gui.EntryTypeDialog.FetcherWorker",9,0,1,0,9,6
"net.sf.jabref.gui.EntryTypeDialog.TypeButton",2,0,1,0,4,3
"net.sf.jabref.gui.FileDialog",32,0,2,0,19,26
"net.sf.jabref.gui.FindUnlinkedFilesDialog",22,0,2,0,53,69
"net.sf.jabref.gui.FindUnlinkedFilesDialog.BibtexEntryTypeWrapper",3,0,1,0,5,4
"net.sf.jabref.gui.FindUnlinkedFilesDialog.CheckableTreeNode",3,0,2,0,5,6
"net.sf.jabref.gui.FindUnlinkedFilesDialog.CheckboxTreeCellRenderer",3,0,1,0,4,3
"net.sf.jabref.gui.FindUnlinkedFilesDialog.FileNodeWrapper",3,0,0,0,3,3
"net.sf.jabref.gui.GUIGlobals",32,0,1,0,21,6
"net.sf.jabref.gui.GenFieldsCustomizer",12,0,1,0,22,11
"net.sf.jabref.gui.GlobalFocusListener",8,0,2,0,4,5
"net.sf.jabref.gui.IconTheme",92,0,1,0,6,6
"net.sf.jabref.gui.IconTheme.FontBasedIcon",7,0,1,0,8,8
"net.sf.jabref.gui.IconTheme.JabRefIcon",87,n/a,1,n/a,7,5
"net.sf.jabref.gui.JEditorPaneWithHighlighting",3,0,1,1,5,4
"net.sf.jabref.gui.JabRefFrame",214,0,4,0,254,178
"net.sf.jabref.gui.JabRefFrame.BibtexKeyPatternAction",5,1,1,0,9,3
"net.sf.jabref.gui.JabRefFrame.ChangeTabAction",6,1,1,0,6,7
"net.sf.jabref.gui.JabRefFrame.CloseAction",6,1,1,0,8,2
"net.sf.jabref.gui.JabRefFrame.CloseAllDatabasesAction",3,1,1,0,2,2
"net.sf.jabref.gui.JabRefFrame.CloseDatabaseAction",8,1,1,0,11,2
"net.sf.jabref.gui.JabRefFrame.CloseOtherDatabasesAction",3,1,1,0,3,3
"net.sf.jabref.gui.JabRefFrame.CustomizeEntryTypeAction",4,1,1,0,5,2
"net.sf.jabref.gui.JabRefFrame.CustomizeExportsAction",4,1,1,0,5,2
"net.sf.jabref.gui.JabRefFrame.CustomizeImportsAction",4,1,1,0,5,2
"net.sf.jabref.gui.JabRefFrame.DatabasePropertiesAction",4,1,1,0,9,3
"net.sf.jabref.gui.JabRefFrame.DecreaseTableFontSizeAction",9,1,1,0,10,4
"net.sf.jabref.gui.JabRefFrame.EditAction",4,1,1,0,7,3
"net.sf.jabref.gui.JabRefFrame.EditModeAction",5,0,1,0,13,5
"net.sf.jabref.gui.JabRefFrame.GenFieldsCustomizationAction",4,1,1,0,5,2
"net.sf.jabref.gui.JabRefFrame.GeneralAction",3,1,1,0,13,9
"net.sf.jabref.gui.JabRefFrame.IncreaseTableFontSizeAction",9,1,1,0,10,3
"net.sf.jabref.gui.JabRefFrame.MyGlassPane",1,0,1,0,2,2
"net.sf.jabref.gui.JabRefFrame.ProtectedTermsAction",5,1,1,0,6,2
"net.sf.jabref.gui.JabRefFrame.SelectKeysAction",8,0,1,0,8,2
"net.sf.jabref.gui.JabRefFrame.ShowPrefsAction",5,1,1,0,8,2
"net.sf.jabref.gui.JabRefFrame.ToolBar",4,1,1,0,4,6
"net.sf.jabref.gui.JabRefFrame.UndoRedoEventManager",5,0,1,0,9,3
"net.sf.jabref.gui.MergeDialog",6,0,1,0,10,8
"net.sf.jabref.gui.OSXCompatibleToolbar",11,0,1,1,5,7
"net.sf.jabref.gui.PreambleEditor",18,0,2,0,20,8
"net.sf.jabref.gui.PreambleEditor.CloseAction",4,0,1,0,5,2
"net.sf.jabref.gui.PreambleEditor.FieldListener",2,0,1,0,2,2
"net.sf.jabref.gui.PreambleEditor.RedoAction",5,0,1,0,4,2
"net.sf.jabref.gui.PreambleEditor.StoreFieldAction",9,0,1,0,13,5
"net.sf.jabref.gui.PreambleEditor.UndoAction",5,0,1,0,4,2
"net.sf.jabref.gui.PreviewPanel",38,0,1,0,49,38
"net.sf.jabref.gui.PreviewPanel.CloseAction",4,0,1,0,5,2
"net.sf.jabref.gui.PreviewPanel.CopyPreviewAction",7,0,1,0,6,2
"net.sf.jabref.gui.PreviewPanel.PrintAction",7,0,1,0,6,2
"net.sf.jabref.gui.ReplaceStringDialog",9,0,3,0,15,15
"net.sf.jabref.gui.SaveOrderConfigDisplay",7,0,1,0,16,7
"net.sf.jabref.gui.SidePane",2,0,2,0,6,7
"net.sf.jabref.gui.SidePaneComponent",22,2,7,4,22,9
"net.sf.jabref.gui.SidePaneComponent.ToggleAction",11,1,3,0,13,7
"net.sf.jabref.gui.SidePaneManager",16,0,1,0,43,41
"net.sf.jabref.gui.SidePaneManager.PreferredIndexSort",2,0,1,0,3,2
"net.sf.jabref.gui.StringDialog",25,0,3,0,29,11
"net.sf.jabref.gui.StringDialog.CloseAction",3,0,1,0,4,2
"net.sf.jabref.gui.StringDialog.NewStringAction",11,0,1,0,14,6
"net.sf.jabref.gui.StringDialog.RedoAction",6,0,1,0,5,2
"net.sf.jabref.gui.StringDialog.RemoveStringAction",10,0,1,0,12,7
"net.sf.jabref.gui.StringDialog.SaveDatabaseAction",4,0,1,0,5,2
"net.sf.jabref.gui.StringDialog.StringTable",6,0,1,0,5,2
"net.sf.jabref.gui.StringDialog.StringTableModel",11,0,4,0,22,16
"net.sf.jabref.gui.StringDialog.UndoAction",6,0,1,0,5,2
"net.sf.jabref.gui.TransferableBibtexEntry",10,0,1,0,9,7
"net.sf.jabref.gui.WaitForSaveOperation",3,0,2,0,10,7
"net.sf.jabref.gui.WrapLayout",2,0,1,0,7,16
"net.sf.jabref.gui.actions.Actions",18,0,0,0,0,0
"net.sf.jabref.gui.actions.AutoLinkFilesAction",14,0,1,0,20,5
"net.sf.jabref.gui.actions.BaseAction",n/a,n/a,n/a,n/a,1,n/a
"net.sf.jabref.gui.actions.ChangeTypeAction",3,0,1,0,4,2
"net.sf.jabref.gui.actions.CleanupAction",15,1,1,0,35,22
"net.sf.jabref.gui.actions.ConnectToSharedDatabaseAction",4,1,1,0,7,2
"net.sf.jabref.gui.actions.CopyAction",5,0,1,0,6,5
"net.sf.jabref.gui.actions.CopyBibTeXKeyAndLinkAction",10,0,1,0,9,8
"net.sf.jabref.gui.actions.CopyDoiUrlAction",7,0,1,0,9,5
"net.sf.jabref.gui.actions.CopyVersionToClipboardAction",7,0,1,0,6,1
"net.sf.jabref.gui.actions.ErrorConsoleAction",4,0,1,0,10,6
"net.sf.jabref.gui.actions.IntegrityCheckAction",11,1,1,0,23,7
"net.sf.jabref.gui.actions.ManageKeywordsAction",22,1,1,0,49,38
"net.sf.jabref.gui.actions.MassSetFieldAction",13,1,1,0,37,30
"net.sf.jabref.gui.actions.MnemonicAwareAction",36,0,1,35,4,6
"net.sf.jabref.gui.actions.NewDatabaseAction",8,1,1,0,13,2
"net.sf.jabref.gui.actions.NewEntryAction",11,1,1,0,21,7
"net.sf.jabref.gui.actions.NewSubDatabaseAction",11,1,1,0,17,3
"net.sf.jabref.gui.actions.OpenBrowserAction",2,0,1,0,4,3
"net.sf.jabref.gui.actions.PasteAction",8,0,1,0,7,4
"net.sf.jabref.gui.actions.SearchForUpdateAction",3,0,1,0,4,2
