Lines of code metrics,Thu, 7 May 2020 15:18:00 CEST
Package,C(rec),Ca,Ce,CLOC(rec),COM_RAT(rec),Cyclic,I,LOC(rec),METH(rec),v(G)avg
"","1,274",n/a,n/a,"5,393",5.07%,0,n/a,"106,427","7,547",n/a
"org","1,274",n/a,n/a,"5,384",5.06%,n/a,n/a,"106,351","7,547",n/a
"org.jabref","1,274",82,51,"5,384",5.06%,83,0.39,"106,351","7,547",2.08
"org.jabref.architecture",1,0,0,1,11.11%,0,1.00,9,1,n/a
"org.jabref.cli",8,9,43,35,3.95%,83,0.88,885,66,2.42
"org.jabref.gui",617,248,238,"1,553",3.25%,83,0.43,"47,818","3,560",1.78
"org.jabref.gui.actions",12,101,25,18,2.64%,83,0.20,681,56,1.29
"org.jabref.gui.autocompleter",23,40,41,3,0.38%,83,0.51,796,86,1.49
"org.jabref.gui.auximport",3,4,17,1,0.57%,83,0.81,174,7,2.29
"org.jabref.gui.bibtexextractor",4,3,24,0,0.00%,83,0.89,281,18,1.89
"org.jabref.gui.bibtexkeypattern",10,14,58,34,6.19%,83,0.83,549,43,1.79
"org.jabref.gui.cleanup",5,6,35,9,1.83%,83,0.87,493,25,2.32
"org.jabref.gui.collab",16,17,90,11,1.59%,83,0.84,692,52,1.59
"org.jabref.gui.contentselector",3,3,13,0,0.00%,83,0.81,358,38,1.34
"org.jabref.gui.copyfiles",7,8,35,1,0.28%,83,0.81,357,24,1.62
"org.jabref.gui.customentrytypes",6,5,24,2,0.44%,83,0.85,455,37,1.24
"org.jabref.gui.customizefields",3,3,15,1,0.64%,83,0.83,156,11,1.55
"org.jabref.gui.customjfx",1,0,2,0,0.00%,0,1.00,16,1,1.00
"org.jabref.gui.desktop",6,13,11,19,3.36%,83,0.46,566,48,3.75
"org.jabref.gui.desktop.os",5,9,11,6,1.90%,83,0.55,316,36,1.86
"org.jabref.gui.dialogs",2,4,8,0,0.00%,83,0.67,56,4,1.50
"org.jabref.gui.documentviewer",12,12,22,23,3.39%,83,0.67,679,74,1.24
"org.jabref.gui.duplicationFinder",5,11,19,5,1.74%,83,0.82,287,15,3.20
"org.jabref.gui.edit",12,12,59,19,2.26%,83,0.83,839,40,2.27
"org.jabref.gui.entryeditor",24,27,175,59,2.50%,83,0.88,"2,358",146,1.86
"org.jabref.gui.entryeditor.fileannotationtab",4,4,25,10,2.57%,83,0.86,389,30,1.33
"org.jabref.gui.errorconsole",4,3,15,4,1.28%,83,0.83,312,21,1.60
"org.jabref.gui.exporter",14,19,90,43,4.01%,83,0.85,"1,072",61,1.97
"org.jabref.gui.externalfiles",11,18,73,29,3.16%,83,0.82,917,41,2.37
"org.jabref.gui.externalfiletype",10,42,34,35,3.95%,83,0.45,885,77,1.75
"org.jabref.gui.fieldeditors",52,48,265,66,2.22%,83,0.85,"2,969",230,1.73
"org.jabref.gui.fieldeditors.contextmenu",5,5,20,2,0.93%,83,0.80,216,9,1.78
"org.jabref.gui.filelist",4,4,29,5,1.60%,83,0.88,313,28,1.39
"org.jabref.gui.groups",16,19,88,173,7.20%,83,0.83,"2,402",169,1.88
"org.jabref.gui.help",9,19,33,3,0.56%,83,0.63,533,49,1.19
"org.jabref.gui.icon",6,75,5,62,13.05%,83,0.08,475,43,1.15
"org.jabref.gui.importer",26,19,96,88,4.46%,83,0.83,"1,972",107,2.39
"org.jabref.gui.importer.actions",6,8,51,26,5.62%,83,0.86,463,24,2.55
"org.jabref.gui.importer.fetcher",4,3,30,7,2.52%,83,0.91,278,23,1.68
"org.jabref.gui.integrity",4,3,18,0,0.00%,83,0.86,234,10,2.56
"org.jabref.gui.journals",10,11,53,9,0.92%,83,0.83,980,81,1.63
"org.jabref.gui.keyboard",7,30,20,6,1.04%,83,0.40,575,50,1.70
"org.jabref.gui.libraryproperties",3,3,18,6,1.65%,83,0.86,363,27,1.59
"org.jabref.gui.logging",5,5,7,26,13.76%,0,0.62,189,14,2.00
"org.jabref.gui.maintable",15,32,83,62,4.03%,83,0.74,"1,537",110,1.91
"org.jabref.gui.menus",2,5,11,6,4.26%,83,0.69,141,14,1.43
"org.jabref.gui.mergeentries",8,17,40,29,3.68%,83,0.75,788,40,2.95
"org.jabref.gui.metadata",5,5,23,4,1.24%,83,0.82,323,30,1.40
"org.jabref.gui.openoffice",25,22,94,161,5.32%,83,0.82,"3,028",154,2.68
"org.jabref.gui.preferences",40,40,207,31,0.67%,83,0.84,"4,599",391,1.45
"org.jabref.gui.preview",3,6,31,13,2.46%,83,0.84,529,30,1.90
"org.jabref.gui.protectedterms",4,4,28,1,0.35%,83,0.88,285,16,1.50
"org.jabref.gui.push",15,21,86,23,2.91%,83,0.80,790,77,1.77
"org.jabref.gui.remote",1,2,5,1,3.33%,83,0.71,30,1,3.00
"org.jabref.gui.search",9,8,18,11,1.84%,83,0.71,599,37,2.00
"org.jabref.gui.search.rules",5,n/a,n/a,1,0.52%,n/a,n/a,191,13,n/a
"org.jabref.gui.search.rules.describer",5,6,16,1,0.52%,83,0.67,191,13,2.50
"org.jabref.gui.shared",4,6,39,4,0.58%,83,0.87,694,43,1.63
"org.jabref.gui.specialfields",6,15,31,29,7.51%,83,0.67,386,30,3.60
"org.jabref.gui.texparser",8,9,38,3,0.46%,83,0.81,648,45,1.38
"org.jabref.gui.undo",12,70,49,13,2.41%,0,0.41,540,60,1.43
"org.jabref.gui.util",80,264,55,50,1.40%,83,0.18,"3,577",404,1.66
"org.jabref.gui.util.comparator",2,2,2,0,0.00%,83,0.50,54,2,4.50
"org.jabref.gui.util.component",6,6,6,10,3.11%,83,0.50,322,33,1.61
"org.jabref.gui.util.uithreadaware",6,6,5,0,0.00%,0,0.45,283,59,1.02
"org.jabref.gui.worker",1,1,11,3,3.00%,83,0.92,100,3,4.00
"org.jabref.logic",475,3,3,"3,217",7.92%,0,0.50,"40,609","2,421",1.20
"org.jabref.logic.autosaveandbackup",2,7,12,2,0.89%,83,0.63,224,20,1.45
"org.jabref.logic.auxparser",1,4,4,2,1.23%,0,0.50,162,8,3.25
"org.jabref.logic.bibtex",20,25,22,103,7.17%,0,0.47,"1,436",100,2.47
"org.jabref.logic.bibtex.comparator",13,22,27,56,8.07%,83,0.56,694,45,3.09
"org.jabref.logic.bibtexkeypattern",3,22,18,103,6.87%,83,0.45,"1,499",59,4.97
"org.jabref.logic.bst",21,20,20,271,12.44%,0,0.53,"2,178",86,5.39
"org.jabref.logic.citationstyle",12,28,31,5,0.90%,83,0.45,555,49,1.67
"org.jabref.logic.cleanup",16,26,75,25,3.42%,83,0.77,731,37,2.89
"org.jabref.logic.exporter",21,55,109,144,4.91%,83,0.68,"2,930",171,2.35
"org.jabref.logic.externalfiles",2,3,10,15,9.93%,83,0.77,151,12,1.75
"org.jabref.logic.formatter",35,4,7,140,7.98%,83,0.64,"1,755",186,1.55
"org.jabref.logic.formatter.bibtexfields",23,43,58,128,10.89%,83,0.57,"1,175",120,1.61
"org.jabref.logic.formatter.casechanger",9,14,21,7,1.80%,0,0.60,388,49,1.43
"org.jabref.logic.formatter.minifier",1,1,2,5,7.81%,0,0.67,64,6,2.00
"org.jabref.logic.groups",1,4,2,0,0.00%,0,0.33,13,2,1.00
"org.jabref.logic.help",1,12,0,3,4.69%,0,0.00,64,2,1.00
"org.jabref.logic.importer",96,105,70,682,5.62%,83,0.41,"12,137",685,1.53
"org.jabref.logic.importer.fetcher",36,41,240,200,5.81%,83,0.85,"3,444",216,2.12
"org.jabref.logic.importer.fileformat",25,34,132,441,6.70%,83,0.80,"6,579",302,4.98
"org.jabref.logic.importer.fileformat.mods",n/a,n/a,n/a,8,66.67%,0,n/a,12,0,n/a
"org.jabref.logic.importer.util",10,14,32,12,1.74%,83,0.73,688,38,2.97
"org.jabref.logic.integrity",36,38,145,33,2.84%,83,0.79,"1,160",64,2.81
"org.jabref.logic.journals",7,31,6,11,2.60%,0,0.16,423,55,1.69
"org.jabref.logic.l10n",7,83,3,8,2.71%,0,0.04,295,25,1.52
"org.jabref.logic.layout",81,35,19,273,6.62%,83,0.35,"4,123",171,6.33
"org.jabref.logic.layout.format",72,91,132,203,6.97%,83,0.59,"2,914",121,4.98
"org.jabref.logic.logging",2,3,0,0,0.00%,0,0.00,50,8,1.00
"org.jabref.logic.msbib",8,10,18,25,2.74%,0,0.64,912,46,2.80
"org.jabref.logic.net",6,15,4,18,3.62%,83,0.21,497,46,2.19
"org.jabref.logic.openoffice",11,19,23,136,8.06%,83,0.57,"1,688",98,3.08
