Lines of code metrics,Thu, 7 May 2020 15:56:12 CEST
Package,C(rec),Ca,Ce,CLOC(rec),COM_RAT(rec),Cyclic,I,LOC(rec),METH(rec),v(G)avg
"","1,327",n/a,n/a,"6,662",6.29%,n/a,n/a,"105,909","6,328",n/a
"net","1,326",n/a,n/a,"6,648",6.28%,n/a,n/a,"105,828","6,322",n/a
"net.sf","1,326",n/a,n/a,"6,648",6.28%,n/a,n/a,"105,828","6,322",n/a
"net.sf.jabref","1,326",83,45,"6,648",6.28%,101,0.35,"105,828","6,322",2.71
"net.sf.jabref.cli",10,9,51,39,3.68%,101,0.89,"1,060",64,2.79
"net.sf.jabref.collab",20,28,97,92,6.16%,101,0.79,"1,493",85,2.76
"net.sf.jabref.gui",704,297,457,"2,844",5.44%,101,0.55,"52,236","3,027",2.37
"net.sf.jabref.gui.actions",27,42,104,59,3.95%,101,0.71,"1,495",71,2.79
"net.sf.jabref.gui.autocompleter",8,9,6,103,13.10%,101,0.36,786,46,3.03
"net.sf.jabref.gui.autosaveandbackup",2,4,5,0,0.00%,101,0.56,50,3,1.67
"net.sf.jabref.gui.auximport",2,1,7,5,2.67%,101,0.88,187,7,2.17
"net.sf.jabref.gui.bibtexkeypattern",6,5,35,25,4.86%,101,0.88,514,23,2.05
"net.sf.jabref.gui.cleanup",7,5,19,8,1.78%,101,0.82,450,35,1.97
"net.sf.jabref.gui.date",1,1,4,3,5.77%,101,0.80,52,3,1.67
"net.sf.jabref.gui.dbproperties",2,1,11,9,3.46%,101,0.92,260,9,3.38
"net.sf.jabref.gui.desktop",6,14,12,30,5.74%,101,0.46,523,34,5.78
"net.sf.jabref.gui.desktop.os",5,7,7,3,1.46%,101,0.50,205,25,1.95
"net.sf.jabref.gui.entryeditor",28,30,117,99,4.68%,101,0.80,"2,115",142,2.56
"net.sf.jabref.gui.exporter",13,11,67,77,6.54%,101,0.87,"1,178",51,3.04
"net.sf.jabref.gui.externalfiles",17,25,116,186,8.93%,101,0.84,"2,083",57,5.02
"net.sf.jabref.gui.externalfiletype",13,47,37,56,4.94%,101,0.41,"1,133",74,2.45
"net.sf.jabref.gui.fieldeditors",31,27,67,123,6.20%,101,0.71,"1,984",196,1.82
"net.sf.jabref.gui.fieldeditors.contextmenu",5,6,23,7,3.15%,101,0.79,222,14,2.43
"net.sf.jabref.gui.filelist",8,27,22,21,3.57%,101,0.45,588,44,2.32
"net.sf.jabref.gui.groups",46,47,180,246,6.45%,101,0.80,"3,814",233,2.47
"net.sf.jabref.gui.help",6,16,18,1,0.37%,101,0.53,268,17,1.07
"net.sf.jabref.gui.importer",63,44,174,388,6.62%,101,0.81,"5,860",296,2.72
"net.sf.jabref.gui.importer.actions",6,10,54,34,6.15%,101,0.84,553,21,3.84
"net.sf.jabref.gui.importer.fetcher",16,16,124,131,5.96%,101,0.89,"2,197",107,2.62
"net.sf.jabref.gui.journals",14,11,56,10,1.26%,101,0.86,796,52,2.16
"net.sf.jabref.gui.keyboard",22,73,27,48,3.67%,101,0.22,"1,309",81,2.25
"net.sf.jabref.gui.maintable",29,32,72,138,6.72%,101,0.74,"2,053",142,2.81
"net.sf.jabref.gui.menus",4,10,35,17,4.18%,101,0.78,407,26,2.12
"net.sf.jabref.gui.mergeentries",7,11,45,51,6.94%,101,0.80,735,29,2.79
"net.sf.jabref.gui.net",2,3,1,0,0.00%,0,0.25,16,2,1.00
"net.sf.jabref.gui.openoffice",28,20,76,140,4.64%,101,0.81,"3,020",125,3.57
"net.sf.jabref.gui.plaintextimport",13,13,35,55,8.20%,101,0.76,671,40,1.95
"net.sf.jabref.gui.preftabs",50,45,171,147,3.37%,101,0.84,"4,367",200,2.60
"net.sf.jabref.gui.protectedterms",10,7,28,17,3.28%,101,0.82,519,31,2.17
"net.sf.jabref.gui.push",17,20,70,42,4.10%,101,0.80,"1,025",88,1.79
"net.sf.jabref.gui.remote",1,2,5,0,0.00%,101,0.71,21,1,3.00
"net.sf.jabref.gui.renderer",3,6,5,5,4.42%,101,0.45,113,12,1.50
"net.sf.jabref.gui.search",28,14,59,29,2.37%,101,0.80,"1,222",82,2.62
"net.sf.jabref.gui.search.matchers",2,2,2,0,0.00%,101,0.50,28,2,1.00
"net.sf.jabref.gui.shared",8,7,37,14,2.11%,101,0.84,665,27,2.48
"net.sf.jabref.gui.specialfields",9,17,45,17,3.39%,101,0.73,501,24,5.58
"net.sf.jabref.gui.undo",12,80,51,18,3.49%,101,0.39,516,54,1.30
"net.sf.jabref.gui.util",14,20,3,15,2.22%,101,0.14,677,49,1.75
"net.sf.jabref.gui.util.comparator",4,6,8,4,3.48%,101,0.57,115,6,2.83
"net.sf.jabref.gui.util.component",6,11,0,1,0.25%,0,0.00,393,29,1.45
"net.sf.jabref.gui.worker",7,23,26,12,2.95%,101,0.53,407,22,2.57
"net.sf.jabref.logic",389,12,8,"2,138",6.23%,101,0.40,"34,295","1,886",1.89
"net.sf.jabref.logic.autocompleter",12,25,25,24,3.91%,101,0.50,614,58,1.79
"net.sf.jabref.logic.autosaveandbackup",3,7,9,0,0.00%,101,0.56,224,17,1.53
"net.sf.jabref.logic.auxparser",2,5,5,11,4.93%,101,0.50,223,19,1.95
"net.sf.jabref.logic.bibtex",12,23,16,81,9.50%,101,0.41,853,51,3.15
"net.sf.jabref.logic.bibtex.comparator",7,14,8,32,8.84%,101,0.38,362,18,4.11
"net.sf.jabref.logic.bibtexkeypattern",2,20,10,100,8.04%,101,0.33,"1,244",39,6.49
"net.sf.jabref.logic.bst",21,20,19,103,4.75%,101,0.52,"2,170",81,5.64
"net.sf.jabref.logic.citationstyle",5,10,11,2,0.67%,101,0.47,299,24,1.92
"net.sf.jabref.logic.cleanup",14,25,64,32,3.99%,101,0.74,802,45,2.69
"net.sf.jabref.logic.error",2,3,1,1,1.52%,0,0.25,66,9,1.11
"net.sf.jabref.logic.exporter",23,78,76,139,4.92%,101,0.50,"2,828",175,2.36
"net.sf.jabref.logic.formatter",24,4,7,130,9.79%,101,0.64,"1,328",135,1.50
"net.sf.jabref.logic.formatter.bibtexfields",12,31,32,118,15.97%,101,0.51,739,68,1.63
"net.sf.jabref.logic.formatter.casechanger",9,16,21,7,1.70%,101,0.57,411,53,1.40
"net.sf.jabref.logic.formatter.minifier",1,1,2,5,7.81%,101,0.67,64,6,2.00
"net.sf.jabref.logic.groups",2,2,8,6,2.26%,101,0.80,265,13,3.23
"net.sf.jabref.logic.help",1,16,0,2,2.86%,0,0.00,70,2,1.00
