Lines of code metrics,Thu, 7 May 2020 15:56:12 CEST
Package,C(rec),Ca,Ce,CLOC(rec),COM_RAT(rec),Cyclic,I,LOC(rec),METH(rec),v(G)avg
"net.sf.jabref.logic.importer",70,81,50,624,6.56%,101,0.39,"9,511",479,1.76
"net.sf.jabref.logic.importer.fetcher",19,26,90,119,7.13%,101,0.77,"1,670",94,2.19
"net.sf.jabref.logic.importer.fileformat",21,33,85,446,7.28%,101,0.72,"6,127",262,5.45
"net.sf.jabref.logic.importer.fileformat.mods",n/a,n/a,n/a,8,66.67%,0,n/a,12,0,n/a
"net.sf.jabref.logic.importer.util",6,8,11,36,6.28%,101,0.61,573,22,5.05
"net.sf.jabref.logic.integrity",26,27,87,42,4.69%,101,0.77,896,41,3.15
"net.sf.jabref.logic.journals",5,25,3,11,3.11%,0,0.11,354,38,1.89
"net.sf.jabref.logic.l10n",6,71,2,5,2.17%,0,0.03,230,14,2.07
"net.sf.jabref.logic.layout",74,34,15,290,7.09%,101,0.31,"4,091",152,7.44
"net.sf.jabref.logic.layout.format",66,83,115,213,7.31%,101,0.58,"2,912",111,5.32
"net.sf.jabref.logic.logging",3,4,1,5,4.67%,0,0.20,107,12,1.42
"net.sf.jabref.logic.msbib",8,10,14,33,3.50%,101,0.58,944,47,3.06
"net.sf.jabref.logic.net",5,15,1,18,4.66%,0,0.06,386,28,2.61
"net.sf.jabref.logic.openoffice",11,19,17,139,8.12%,101,0.52,"1,711",101,3.17
"net.sf.jabref.logic.protectedterms",4,13,5,8,2.26%,101,0.28,354,39,1.79
"net.sf.jabref.logic.remote",8,4,0,6,2.19%,0,0.00,274,26,1.14
"net.sf.jabref.logic.remote.client",1,1,2,0,0.00%,0,0.67,40,1,3.00
"net.sf.jabref.logic.remote.server",4,6,5,3,2.08%,101,0.45,144,14,1.92
"net.sf.jabref.logic.remote.shared",1,2,0,3,5.26%,0,0.00,57,4,2.50
"net.sf.jabref.logic.search",9,13,9,7,1.80%,101,0.41,389,37,1.50
"net.sf.jabref.logic.search.rules",5,n/a,n/a,1,0.58%,n/a,n/a,171,12,n/a
"net.sf.jabref.logic.search.rules.describer",5,5,11,1,0.58%,101,0.69,171,12,4.00
"net.sf.jabref.logic.specialfields",1,3,4,6,6.00%,101,0.57,100,6,2.33
"net.sf.jabref.logic.undo",3,6,2,0,0.00%,0,0.25,65,7,1.00
"net.sf.jabref.logic.util",27,77,11,273,11.04%,101,0.12,"2,472",135,2.19
"net.sf.jabref.logic.util.date",1,3,0,1,1.92%,0,0.00,52,7,1.00
"net.sf.jabref.logic.util.io",9,30,16,35,3.26%,101,0.36,"1,075",50,3.30
"net.sf.jabref.logic.util.strings",5,6,0,180,35.29%,0,0.00,510,11,3.91
"net.sf.jabref.logic.xmp",4,13,8,35,2.69%,101,0.38,"1,301",47,3.53
"net.sf.jabref.migrations",2,2,17,20,5.83%,101,0.89,343,11,4.64
"net.sf.jabref.model",159,44,9,"1,286",10.77%,101,0.16,"11,946",914,2.53
"net.sf.jabref.model.bibtexkeypattern",3,20,2,6,3.92%,0,0.09,153,17,1.56
"net.sf.jabref.model.cleanup",4,21,9,6,2.21%,101,0.30,272,27,2.05
"net.sf.jabref.model.database",15,140,24,46,4.02%,101,0.15,"1,145",106,1.74
"net.sf.jabref.model.database.event",5,18,4,2,3.08%,101,0.18,65,4,1.00
"net.sf.jabref.model.entry",92,318,32,221,4.21%,101,0.09,"5,248",419,1.91
"net.sf.jabref.model.entry.event",4,26,8,0,0.00%,101,0.24,122,13,1.00
"net.sf.jabref.model.entry.specialfields",2,12,3,1,0.79%,101,0.20,127,11,1.73
"net.sf.jabref.model.groups",12,43,29,36,2.24%,101,0.40,"1,609",151,1.94
"net.sf.jabref.model.groups.event",1,2,2,0,0.00%,101,0.50,15,2,1.00
"net.sf.jabref.model.metadata",5,43,11,9,2.13%,101,0.22,422,58,1.54
"net.sf.jabref.model.metadata.event",1,2,2,0,0.00%,101,0.50,18,2,1.00
"net.sf.jabref.model.search",18,6,4,28,5.10%,101,0.40,549,53,1.29
"net.sf.jabref.model.search.matchers",6,11,10,4,3.64%,101,0.56,110,9,1.89
"net.sf.jabref.model.search.rules",10,23,15,24,6.20%,101,0.36,387,36,2.56
"net.sf.jabref.model.strings",4,43,2,892,46.58%,0,0.04,"1,915",40,4.92
"net.sf.jabref.pdfimport",5,8,27,25,5.27%,101,0.84,474,23,2.77
"net.sf.jabref.preferences",11,71,42,72,4.11%,101,0.38,"1,750",141,1.47
"net.sf.jabref.shared",20,22,31,59,3.56%,101,0.58,"1,659",140,2.11
"net.sf.jabref.shared.event",3,6,4,0,0.00%,101,0.40,65,8,1.00
"net.sf.jabref.shared.exception",5,6,2,0,0.00%,101,0.25,63,8,1.00
"net.sf.jabref.shared.listener",2,2,3,0,0.00%,101,0.60,36,4,1.25
"net.sf.jabref.shared.prefs",1,5,3,1,0.98%,101,0.38,102,21,1.05
"net.sf.jabref.shared.security",1,3,0,1,1.79%,0,0.00,56,4,1.00
"osx",1,n/a,n/a,14,17.28%,n/a,n/a,81,6,n/a
"osx.macadapter",1,1,1,14,17.28%,101,0.50,81,6,2.00

Module,L(CSS),L(Groovy),L(HTML),L(J),L(JS),L(JSP),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"JabRef.main",0,0,0,"105,909",0,0,0,0,"105,909","105,909",0,"88,685","88,685",0

FileType,LOC,NCLOC
"Java","105,909","88,685"

Project,L(CSS),L(Groovy),L(HTML),L(J),L(JS),L(JSP),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"project",0,0,0,"105,909",0,0,0,0,"105,909","105,909",0,"88,685","88,685",0

