Lines of code metrics,Thu, 7 May 2020 15:52:30 CEST
Package,C(rec),Ca,Ce,CLOC(rec),COM_RAT(rec),Cyclic,I,LOC(rec),METH(rec),v(G)avg
"org.jabref.logic.help",1,15,0,2,2.82%,0,0.00,71,2,1.00
"org.jabref.logic.importer",83,99,60,648,6.10%,110,0.38,"10,621",561,1.70
"org.jabref.logic.importer.fetcher",25,28,132,140,6.48%,110,0.83,"2,162",134,1.96
"org.jabref.logic.importer.fileformat",25,36,95,451,7.11%,110,0.73,"6,342",276,5.28
"org.jabref.logic.importer.fileformat.mods",n/a,n/a,n/a,8,66.67%,0,n/a,12,0,n/a
"org.jabref.logic.importer.util",9,12,28,32,3.76%,110,0.70,851,38,4.43
"org.jabref.logic.integrity",33,36,113,41,4.00%,110,0.76,"1,025",57,2.85
"org.jabref.logic.journals",6,32,5,12,3.08%,110,0.14,390,50,1.60
"org.jabref.logic.l10n",7,80,3,7,2.55%,0,0.04,275,21,1.71
"org.jabref.logic.layout",75,36,15,278,6.82%,110,0.29,"4,075",154,7.33
"org.jabref.logic.layout.format",67,84,116,201,6.96%,110,0.58,"2,887",112,5.23
"org.jabref.logic.logging",2,3,0,1,1.85%,0,0.00,54,8,1.00
"org.jabref.logic.msbib",8,10,13,24,2.68%,110,0.57,896,46,2.76
"org.jabref.logic.net",7,17,4,24,4.33%,110,0.19,554,49,2.17
"org.jabref.logic.openoffice",11,18,21,139,8.33%,110,0.57,"1,669",100,3.06
"org.jabref.logic.pdf",6,6,12,10,3.56%,110,0.67,281,17,2.60
"org.jabref.logic.preferences",1,7,0,0,0.00%,0,0.00,39,8,1.12
"org.jabref.logic.protectedterms",4,14,5,8,2.26%,110,0.26,354,39,1.79
"org.jabref.logic.remote",8,4,0,6,2.15%,0,0.00,279,28,1.12
"org.jabref.logic.remote.client",1,1,2,0,0.00%,0,0.67,42,2,2.00
"org.jabref.logic.remote.server",4,6,5,3,2.07%,110,0.45,145,14,1.92
"org.jabref.logic.remote.shared",1,2,0,3,5.26%,0,0.00,57,4,2.50
"org.jabref.logic.search",9,13,9,8,2.03%,110,0.41,395,38,1.54
"org.jabref.logic.search.rules",5,n/a,n/a,1,0.58%,n/a,n/a,173,13,n/a
"org.jabref.logic.search.rules.describer",5,5,11,1,0.58%,110,0.69,173,13,3.57
"org.jabref.logic.specialfields",1,3,4,6,6.06%,110,0.57,99,6,2.33
"org.jabref.logic.undo",3,6,2,0,0.00%,0,0.25,65,7,1.00
"org.jabref.logic.util",28,75,8,"1,056",34.25%,110,0.09,"3,083",132,2.16
"org.jabref.logic.util.io",12,36,19,27,2.61%,110,0.35,"1,034",65,2.33
