Lines of code metrics,Thu, 7 May 2020 15:49:54 CEST
Package,C(rec),Ca,Ce,CLOC(rec),COM_RAT(rec),Cyclic,I,LOC(rec),METH(rec),v(G)avg
"","1,488",n/a,n/a,"6,543",5.68%,n/a,n/a,"115,288","7,490",n/a
"org","1,488",n/a,n/a,"6,543",5.68%,n/a,n/a,"115,288","7,490",n/a
"org.jabref","1,488",89,44,"6,543",5.68%,64,0.33,"115,288","7,490",2.39
"org.jabref.architecture",1,0,0,1,11.11%,0,1.00,9,1,n/a
"org.jabref.cli",9,9,47,35,3.70%,64,0.89,946,68,2.48
"org.jabref.gui",814,394,458,"2,788",4.78%,64,0.46,"58,365","3,680",2.09
"org.jabref.gui.actions",27,40,105,60,3.80%,64,0.72,"1,578",70,2.89
"org.jabref.gui.autocompleter",24,40,33,3,0.37%,0,0.45,809,87,1.48
"org.jabref.gui.auximport",3,3,14,5,2.18%,64,0.82,229,9,2.38
"org.jabref.gui.bibtexkeypattern",6,5,36,25,4.81%,64,0.88,520,23,2.05
"org.jabref.gui.cleanup",7,5,19,10,2.09%,64,0.82,478,35,2.00
"org.jabref.gui.collab",18,22,106,60,5.13%,64,0.84,"1,169",72,2.16
"org.jabref.gui.contentselector",3,3,10,33,7.42%,64,0.82,445,11,5.20
"org.jabref.gui.copyfiles",7,8,27,4,1.32%,64,0.77,303,25,1.36
"org.jabref.gui.customentrytypes",8,10,32,39,4.72%,64,0.80,826,42,3.07
"org.jabref.gui.customjfx",1,10,2,1,1.61%,64,0.17,62,5,2.20
"org.jabref.gui.dbproperties",2,1,13,9,3.25%,64,0.93,277,11,3.40
"org.jabref.gui.desktop",6,15,13,27,4.34%,64,0.46,622,49,4.15
"org.jabref.gui.desktop.os",5,8,9,5,1.66%,64,0.53,301,36,1.83
"org.jabref.gui.dialogs",2,4,5,0,0.00%,64,0.56,52,4,1.50
"org.jabref.gui.documentviewer",13,12,25,23,3.31%,64,0.70,694,76,1.23
"org.jabref.gui.entryeditor",18,19,95,52,3.26%,64,0.83,"1,596",95,1.87
"org.jabref.gui.entryeditor.fileannotationtab",5,4,28,8,1.82%,64,0.88,440,31,1.32
"org.jabref.gui.errorconsole",5,3,14,4,1.19%,64,0.82,337,22,1.57
"org.jabref.gui.exporter",13,11,70,62,5.47%,64,0.87,"1,134",54,2.72
"org.jabref.gui.externalfiles",14,22,92,154,8.58%,64,0.82,"1,794",57,4.04
"org.jabref.gui.externalfiletype",13,49,41,58,5.07%,64,0.43,"1,144",76,2.34
"org.jabref.gui.fieldeditors",61,50,255,123,3.78%,64,0.84,"3,250",296,1.63
"org.jabref.gui.fieldeditors.contextmenu",5,5,20,3,1.40%,64,0.80,215,8,2.00
"org.jabref.gui.filelist",8,24,26,16,2.60%,64,0.52,615,52,2.04
"org.jabref.gui.groups",28,26,126,285,8.56%,64,0.83,"3,330",199,2.31
"org.jabref.gui.help",8,16,24,0,0.00%,64,0.60,384,48,1.07
"org.jabref.gui.importer",60,43,172,353,6.40%,64,0.82,"5,514",276,2.73
"org.jabref.gui.importer.actions",7,11,59,37,5.80%,64,0.84,638,27,3.08
"org.jabref.gui.importer.fetcher",13,14,97,113,5.99%,64,0.88,"1,887",87,2.77
"org.jabref.gui.journals",15,12,52,8,0.71%,64,0.83,"1,134",95,1.94
"org.jabref.gui.keyboard",22,74,34,34,2.57%,64,0.28,"1,323",95,2.05
"org.jabref.gui.logging",2,0,3,2,2.33%,0,1.00,86,6,1.50
"org.jabref.gui.maintable",29,33,72,135,6.73%,64,0.73,"2,005",139,2.79
"org.jabref.gui.menus",4,10,37,25,5.26%,64,0.79,475,29,2.24
"org.jabref.gui.mergeentries",9,13,58,51,6.19%,64,0.82,824,35,2.63
"org.jabref.gui.openoffice",27,20,86,134,4.59%,64,0.83,"2,918",124,3.41
"org.jabref.gui.plaintextimport",13,13,38,55,8.11%,64,0.76,678,40,1.95
"org.jabref.gui.preftabs",49,44,168,149,3.30%,64,0.84,"4,521",203,2.62
"org.jabref.gui.protectedterms",10,7,32,17,3.18%,64,0.83,534,31,2.17
"org.jabref.gui.push",16,19,69,42,4.26%,64,0.81,986,83,1.85
"org.jabref.gui.remote",1,2,5,0,0.00%,64,0.71,21,1,3.00
"org.jabref.gui.renderer",3,6,5,5,4.42%,64,0.45,113,12,1.50
"org.jabref.gui.search",31,14,65,64,4.47%,64,0.81,"1,432",92,2.58
"org.jabref.gui.search.matchers",2,2,2,0,0.00%,0,0.50,28,2,1.00
"org.jabref.gui.search.rules",5,n/a,n/a,1,0.52%,n/a,n/a,192,13,n/a
"org.jabref.gui.search.rules.describer",5,8,16,1,0.52%,64,0.59,192,13,2.50
"org.jabref.gui.shared",8,7,41,14,2.06%,64,0.85,679,27,2.52
"org.jabref.gui.specialfields",9,16,45,18,3.60%,64,0.74,500,25,5.44
"org.jabref.gui.undo",12,83,53,18,3.44%,64,0.39,524,56,1.29
"org.jabref.gui.util",52,125,27,38,1.65%,64,0.20,"2,299",227,1.69
"org.jabref.gui.util.comparator",4,6,8,4,3.48%,64,0.57,115,6,2.83
"org.jabref.gui.util.component",10,12,7,3,0.56%,64,0.35,534,49,1.55
"org.jabref.gui.worker",7,19,40,15,2.63%,64,0.68,570,30,2.52
"org.jabref.logic",448,6,4,"3,063",7.78%,0,0.40,"39,369","2,296",1.40
"org.jabref.logic.autosaveandbackup",2,7,9,2,0.83%,64,0.56,240,20,1.55
"org.jabref.logic.auxparser",1,4,3,12,8.22%,0,0.43,146,8,2.88
"org.jabref.logic.bibtex",20,30,20,125,8.56%,0,0.40,"1,461",98,3.13
"org.jabref.logic.bibtex.comparator",13,26,20,56,8.62%,0,0.44,650,44,2.86
"org.jabref.logic.bibtexkeypattern",3,22,15,105,7.07%,7,0.41,"1,486",56,5.21
"org.jabref.logic.bst",21,20,19,103,4.71%,0,0.52,"2,186",85,5.41
"org.jabref.logic.citationstyle",8,16,17,5,1.12%,0,0.42,445,36,1.77
"org.jabref.logic.cleanup",15,29,67,43,4.73%,0,0.72,909,52,2.60
"org.jabref.logic.exporter",24,73,93,144,4.88%,7,0.57,"2,953",177,2.38
"org.jabref.logic.formatter",28,4,7,128,8.56%,7,0.64,"1,495",159,1.38
"org.jabref.logic.formatter.bibtexfields",16,38,41,116,13.02%,7,0.52,891,89,1.47
"org.jabref.logic.formatter.casechanger",9,15,21,7,1.77%,0,0.58,396,51,1.41
"org.jabref.logic.formatter.minifier",1,1,2,5,7.81%,0,0.67,64,6,2.00
"org.jabref.logic.groups",1,4,2,0,0.00%,0,0.33,14,2,1.00
"org.jabref.logic.help",1,15,0,2,2.82%,0,0.00,71,2,1.00
"org.jabref.logic.importer",88,105,65,666,5.84%,64,0.39,"11,409",628,1.58
"org.jabref.logic.importer.fetcher",28,33,157,154,6.19%,64,0.83,"2,487",160,1.96
"org.jabref.logic.importer.fileformat",27,36,97,454,6.82%,64,0.73,"6,660",303,5.09
"org.jabref.logic.importer.fileformat.mods",n/a,n/a,n/a,8,66.67%,0,n/a,12,0,n/a
"org.jabref.logic.importer.util",7,9,24,32,3.84%,64,0.73,834,36,4.42
"org.jabref.logic.integrity",35,37,124,42,3.85%,0,0.77,"1,091",63,2.70
"org.jabref.logic.journals",6,32,5,13,3.35%,0,0.14,388,50,1.60
"org.jabref.logic.l10n",7,78,2,13,3.33%,0,0.03,390,26,1.77
"org.jabref.logic.layout",76,34,15,272,6.63%,7,0.31,"4,104",160,7.33
"org.jabref.logic.layout.format",68,87,120,197,6.75%,7,0.58,"2,918",118,5.03
"org.jabref.logic.logging",2,3,0,1,1.85%,0,0.00,54,8,1.00
"org.jabref.logic.msbib",8,10,13,24,2.68%,0,0.57,897,46,2.78
"org.jabref.logic.net",7,17,4,24,4.33%,0,0.19,554,49,2.17
"org.jabref.logic.openoffice",11,18,19,140,8.26%,7,0.54,"1,695",99,3.07
"org.jabref.logic.pdf",6,6,13,10,3.51%,0,0.68,285,17,2.60
"org.jabref.logic.preferences",1,5,0,0,0.00%,0,0.00,39,8,1.12
"org.jabref.logic.protectedterms",4,13,5,8,2.32%,0,0.28,345,38,1.82
"org.jabref.logic.remote",9,6,0,6,1.74%,0,0.00,345,33,1.11
"org.jabref.logic.remote.client",1,1,3,0,0.00%,0,0.75,56,4,2.00
"org.jabref.logic.remote.server",4,6,6,3,1.88%,64,0.50,160,15,2.07
"org.jabref.logic.remote.shared",2,5,1,3,3.49%,0,0.17,86,5,2.00
"org.jabref.logic.search",4,14,8,7,3.12%,0,0.36,224,25,1.54
"org.jabref.logic.shared",18,11,38,61,3.71%,64,0.78,"1,643",132,2.22
"org.jabref.logic.shared.event",3,6,4,0,0.00%,0,0.40,65,8,1.00
"org.jabref.logic.shared.exception",4,4,2,0,0.00%,0,0.33,55,7,1.00
"org.jabref.logic.shared.listener",2,2,3,0,0.00%,64,0.60,36,4,1.25
"org.jabref.logic.shared.prefs",1,5,3,1,0.99%,64,0.38,101,21,1.05
"org.jabref.logic.shared.security",1,3,0,1,1.75%,0,0.00,57,4,1.00
"org.jabref.logic.specialfields",1,3,4,6,6.00%,0,0.57,100,6,2.33
"org.jabref.logic.undo",3,6,2,0,0.00%,0,0.25,65,7,1.00
"org.jabref.logic.util",30,76,8,"1,068",32.51%,0,0.09,"3,285",146,2.10
"org.jabref.logic.util.io",12,39,22,29,2.76%,7,0.37,"1,050",69,2.18
"org.jabref.logic.util.strings",8,13,0,"1,010",68.38%,0,0.00,"1,477",17,2.76
"org.jabref.logic.xmp",7,21,14,33,3.31%,0,0.40,998,55,2.56
"org.jabref.migrations",6,7,39,37,5.69%,64,0.85,650,35,3.03
"org.jabref.model",185,56,6,423,3.34%,17,0.08,"12,665","1,171",1.99
"org.jabref.model.auxparser",2,9,3,0,0.00%,17,0.25,78,15,1.07
"org.jabref.model.bibtexkeypattern",3,18,2,6,3.85%,0,0.10,156,18,1.53
"org.jabref.model.cleanup",4,22,9,6,2.21%,17,0.29,272,27,2.05
"org.jabref.model.database",20,146,23,45,3.48%,17,0.14,"1,292",139,1.68
"org.jabref.model.database.event",6,24,8,4,3.64%,17,0.25,110,9,1.44
"org.jabref.model.database.shared",6,22,4,0,0.00%,17,0.15,105,24,1.14
"org.jabref.model.entry",99,328,39,257,4.13%,17,0.11,"6,216",538,1.85
"org.jabref.model.entry.event",5,32,10,0,0.00%,17,0.24,147,16,1.31
"org.jabref.model.entry.identifier",7,27,11,55,10.44%,17,0.29,527,52,1.76
"org.jabref.model.entry.specialfields",2,12,3,1,0.79%,17,0.20,127,11,1.73
"org.jabref.model.groups",15,60,40,15,1.37%,17,0.40,"1,092",126,1.86
"org.jabref.model.groups.event",1,1,2,0,0.00%,17,0.67,15,2,1.00
"org.jabref.model.metadata",7,57,13,11,1.89%,17,0.20,581,81,1.62
"org.jabref.model.metadata.event",1,2,2,0,0.00%,17,0.50,18,2,1.00
"org.jabref.model.pdf",2,5,1,0,0.00%,0,0.17,223,21,1.81
"org.jabref.model.search",18,6,4,24,4.36%,17,0.40,550,58,1.20
"org.jabref.model.search.matchers",6,10,8,0,0.00%,17,0.53,92,9,1.44
"org.jabref.model.search.rules",10,21,14,24,6.05%,17,0.36,397,38,2.47
"org.jabref.model.strings",3,42,1,38,4.28%,0,0.02,888,40,4.05
"org.jabref.model.util",6,39,5,6,2.02%,17,0.11,297,26,1.96
"org.jabref.pdfimport",5,8,26,24,5.07%,64,0.83,473,23,2.86
"org.jabref.preferences",13,79,51,93,4.45%,64,0.40,"2,088",172,1.53

Module,L(CSS),L(Groovy),L(HTML),L(J),L(JS),L(JSP),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"JabRef.main",359,0,0,"114,367",0,0,0,562,"115,288","115,288",0,"97,636","97,636",0

FileType,LOC,NCLOC
"Cascading style sheet",359,329
"Java","114,367","96,745"
"XML",562,562

Project,L(CSS),L(Groovy),L(HTML),L(J),L(JS),L(JSP),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"project",359,0,0,"114,367",0,0,0,562,"115,288","115,288",0,"97,636","97,636",0

