Lines of code metrics,Thu, 7 May 2020 15:59:13 CEST
Package,C(rec),Ca,Ce,CLOC(rec),COM_RAT(rec),Cyclic,I,LOC(rec),METH(rec),v(G)avg
"","1,201",n/a,n/a,"14,560",13.60%,n/a,n/a,"107,053","5,598",n/a
"net","1,200",n/a,n/a,"14,546",13.60%,n/a,n/a,"106,972","5,592",n/a
"net.sf","1,200",n/a,n/a,"14,546",13.60%,n/a,n/a,"106,972","5,592",n/a
"net.sf.jabref","1,200",207,77,"14,546",13.60%,87,0.27,"106,972","5,592",2.01
"net.sf.jabref.bst",21,20,19,275,11.73%,87,0.52,"2,344",81,5.65
"net.sf.jabref.cli",4,7,24,47,6.46%,87,0.86,727,53,2.62
"net.sf.jabref.collab",21,28,96,309,17.32%,87,0.79,"1,784",92,2.74
"net.sf.jabref.event",5,18,10,13,11.11%,87,0.36,117,11,1.00
"net.sf.jabref.exporter",32,62,108,525,14.22%,87,0.64,"3,691",184,2.40
"net.sf.jabref.external",51,70,133,654,13.44%,87,0.65,"4,866",229,3.63
"net.sf.jabref.external.push",17,20,61,198,16.82%,87,0.77,"1,177",86,1.80
"net.sf.jabref.gui",542,311,485,"4,988",11.80%,87,0.55,"42,265","2,320",2.51
"net.sf.jabref.gui.actions",24,43,83,193,12.22%,87,0.66,"1,580",73,2.66
"net.sf.jabref.gui.autocompleter",8,9,6,129,16.02%,87,0.36,805,44,3.15
"net.sf.jabref.gui.auximport",3,2,9,32,14.10%,87,0.88,227,9,2.00
"net.sf.jabref.gui.cleanup",7,5,14,21,4.78%,87,0.76,439,35,1.90
"net.sf.jabref.gui.date",1,1,3,17,32.69%,87,0.75,52,3,1.33
"net.sf.jabref.gui.dbproperties",2,1,8,21,8.37%,87,0.89,251,8,3.71
"net.sf.jabref.gui.desktop",6,11,9,41,8.20%,87,0.45,500,34,5.44
"net.sf.jabref.gui.desktop.os",5,7,7,3,1.46%,87,0.50,205,25,1.95
"net.sf.jabref.gui.entryeditor",28,30,117,260,11.18%,87,0.80,"2,326",146,2.47
"net.sf.jabref.gui.fieldeditors",23,22,43,255,16.46%,87,0.66,"1,549",139,1.88
"net.sf.jabref.gui.fieldeditors.contextmenu",4,5,14,33,19.53%,87,0.71,169,12,1.92
"net.sf.jabref.gui.groups",47,46,160,485,12.02%,87,0.77,"4,035",237,2.45
"net.sf.jabref.gui.help",6,27,17,68,18.78%,87,0.39,362,16,1.00
"net.sf.jabref.gui.journals",15,12,52,75,8.47%,87,0.84,886,54,2.22
"net.sf.jabref.gui.keyboard",22,65,26,112,8.44%,87,0.23,"1,327",80,2.15
"net.sf.jabref.gui.labelpattern",4,4,22,64,13.28%,87,0.85,482,18,2.29
"net.sf.jabref.gui.maintable",24,34,65,228,10.88%,87,0.70,"2,095",130,2.79
"net.sf.jabref.gui.menus",9,10,26,43,9.89%,87,0.73,435,23,2.52
"net.sf.jabref.gui.mergeentries",3,5,23,89,11.74%,87,0.82,758,18,4.83
"net.sf.jabref.gui.net",2,4,1,0,0.00%,87,0.20,16,2,1.00
"net.sf.jabref.gui.openoffice",28,20,66,262,8.90%,87,0.79,"2,944",127,3.35
"net.sf.jabref.gui.plaintextimport",13,13,32,124,17.01%,87,0.75,729,40,1.95
"net.sf.jabref.gui.preftabs",46,42,141,410,9.11%,87,0.81,"4,499",182,2.67
"net.sf.jabref.gui.remote",1,2,5,13,38.24%,87,0.71,34,1,3.00
"net.sf.jabref.gui.renderer",3,6,4,18,14.29%,87,0.40,126,12,1.50
"net.sf.jabref.gui.search",17,13,52,107,9.96%,87,0.79,"1,074",58,2.48
"net.sf.jabref.gui.search.matchers",2,2,2,26,48.15%,87,0.50,54,2,1.00
"net.sf.jabref.gui.undo",11,67,29,162,23.96%,87,0.30,676,61,1.20
"net.sf.jabref.gui.util",11,13,1,143,23.10%,87,0.07,619,32,2.60
"net.sf.jabref.gui.util.comparator",4,6,8,56,33.73%,87,0.57,166,6,2.83
"net.sf.jabref.gui.util.component",4,7,0,49,15.51%,0,0.00,316,19,1.37
"net.sf.jabref.gui.worker",6,26,19,87,22.03%,87,0.42,395,17,2.62
"net.sf.jabref.importer",89,63,144,"1,764",13.29%,87,0.69,"13,275",560,2.59
"net.sf.jabref.importer.fetcher",31,37,164,590,13.62%,87,0.83,"4,333",177,3.49
"net.sf.jabref.importer.fileformat",23,38,77,724,12.82%,87,0.67,"5,649",202,6.23
"net.sf.jabref.logic",281,10,8,"4,694",18.25%,87,0.44,"25,717","1,253",1.80
"net.sf.jabref.logic.autocompleter",12,25,24,144,19.49%,87,0.49,739,58,1.85
"net.sf.jabref.logic.auxparser",2,5,5,23,10.50%,87,0.50,219,17,2.06
"net.sf.jabref.logic.bibtex",10,17,13,186,20.06%,87,0.43,927,41,4.04
"net.sf.jabref.logic.bibtex.comparator",7,14,9,114,24.89%,87,0.41,458,18,4.44
"net.sf.jabref.logic.cleanup",12,21,51,168,20.66%,87,0.74,813,43,2.60
"net.sf.jabref.logic.config",2,8,2,2,1.10%,87,0.29,181,20,1.75
"net.sf.jabref.logic.error",2,3,1,27,29.35%,0,0.25,92,9,1.11
"net.sf.jabref.logic.formatter",26,12,7,265,10.70%,87,0.37,"2,477",140,1.11
"net.sf.jabref.logic.formatter.bibtexfields",12,31,33,185,22.70%,87,0.52,815,68,1.62
"net.sf.jabref.logic.formatter.casechanger",10,16,21,59,4.15%,87,0.57,"1,421",52,1.44
"net.sf.jabref.logic.formatter.minifier",1,1,2,5,7.81%,87,0.67,64,6,2.00
"net.sf.jabref.logic.fulltext",10,10,26,80,13.68%,87,0.72,585,15,4.79
"net.sf.jabref.logic.groups",13,53,41,177,8.78%,87,0.44,"2,017",169,2.03
"net.sf.jabref.logic.integrity",17,18,51,33,7.67%,87,0.67,430,27,3.08
"net.sf.jabref.logic.journals",4,21,4,50,13.66%,87,0.16,366,33,2.03
"net.sf.jabref.logic.l10n",6,60,2,5,2.08%,0,0.03,240,14,2.21
"net.sf.jabref.logic.labelpattern",4,18,11,161,10.91%,87,0.38,"1,476",49,6.23
"net.sf.jabref.logic.layout",69,23,19,"1,396",27.61%,87,0.45,"5,057",134,8.52
"net.sf.jabref.logic.layout.format",62,77,113,"1,199",31.59%,87,0.60,"3,796",99,4.81
"net.sf.jabref.logic.logging",3,4,1,18,15.00%,0,0.20,120,12,1.42
"net.sf.jabref.logic.mods",4,6,10,72,13.26%,87,0.62,543,32,2.62
"net.sf.jabref.logic.msbib",6,8,16,65,8.74%,87,0.67,744,30,3.87
"net.sf.jabref.logic.net",7,17,5,92,14.29%,87,0.23,644,37,2.78
"net.sf.jabref.logic.openoffice",10,18,18,243,13.60%,87,0.55,"1,787",98,3.20
"net.sf.jabref.logic.preferences",1,2,1,14,37.84%,87,0.33,37,3,1.67
"net.sf.jabref.logic.remote",8,3,1,32,10.63%,87,0.25,301,26,1.14
"net.sf.jabref.logic.remote.client",1,1,2,0,0.00%,0,0.67,40,1,3.00
"net.sf.jabref.logic.remote.server",4,6,5,29,17.06%,87,0.45,170,14,1.92
"net.sf.jabref.logic.remote.shared",1,2,0,3,5.26%,0,0.00,57,4,2.50
"net.sf.jabref.logic.search",27,18,11,187,17.19%,87,0.38,"1,088",88,1.66
"net.sf.jabref.logic.search.matchers",6,11,10,43,28.86%,87,0.56,149,9,1.89
"net.sf.jabref.logic.search.rules",15,20,16,108,17.34%,87,0.42,623,48,2.44
"net.sf.jabref.logic.search.rules.describer",5,5,11,27,14.06%,87,0.69,192,12,3.83
"net.sf.jabref.logic.util",21,39,10,"1,158",35.97%,87,0.20,"3,219",102,2.26
"net.sf.jabref.logic.util.date",2,5,6,1,1.72%,87,0.55,58,4,1.50
"net.sf.jabref.logic.util.io",6,20,10,63,10.41%,87,0.33,605,28,3.64
"net.sf.jabref.logic.util.strings",7,29,2,"1,000",49.04%,87,0.06,"2,039",36,4.56
"net.sf.jabref.logic.xmp",3,7,11,78,5.29%,87,0.61,"1,475",46,4.00
"net.sf.jabref.migrations",2,2,12,28,8.64%,87,0.86,324,10,4.70
"net.sf.jabref.model",91,32,8,505,9.07%,87,0.18,"5,567",410,2.85
"net.sf.jabref.model.database",7,74,8,117,15.62%,87,0.10,749,57,1.93
"net.sf.jabref.model.entry",80,236,23,322,7.48%,87,0.09,"4,305",320,2.02
"net.sf.jabref.pdfimport",5,8,20,64,13.20%,87,0.79,485,22,2.81
"net.sf.jabref.specialfields",16,57,53,222,22.93%,87,0.47,968,76,1.68
"net.sf.jabref.sql",24,41,27,210,9.42%,87,0.43,"2,230",123,1.70
"net.sf.jabref.sql.database",2,2,4,1,0.41%,87,0.67,246,13,2.23
"net.sf.jabref.sql.exporter",1,2,10,23,5.41%,87,0.83,425,14,4.36
"net.sf.jabref.sql.importer",4,6,20,67,13.43%,87,0.77,499,18,3.11
"osx",1,n/a,n/a,14,17.28%,n/a,n/a,81,6,n/a
"osx.macadapter",1,1,1,14,17.28%,87,0.50,81,6,2.00

Module,L(CSS),L(Groovy),L(HTML),L(J),L(JS),L(JSP),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"JabRef.main",0,0,0,"107,053",0,0,0,0,"107,053","107,053",0,"82,746","82,746",0

FileType,LOC,NCLOC
"Java","107,053","82,746"

Project,L(CSS),L(Groovy),L(HTML),L(J),L(JS),L(JSP),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"project",0,0,0,"107,053",0,0,0,0,"107,053","107,053",0,"82,746","82,746",0

