Lines of code metrics,Thu, 7 May 2020 15:57:34 CEST
Package,C(rec),Ca,Ce,CLOC(rec),COM_RAT(rec),Cyclic,I,LOC(rec),METH(rec),v(G)avg
"","1,264",n/a,n/a,"6,895",6.77%,n/a,n/a,"101,816","5,934",n/a
"net","1,263",n/a,n/a,"6,881",6.76%,n/a,n/a,"101,735","5,928",n/a
"net.sf","1,263",n/a,n/a,"6,881",6.76%,n/a,n/a,"101,735","5,928",n/a
"net.sf.jabref","1,263",142,65,"6,881",6.76%,86,0.32,"101,735","5,928",2.08
"net.sf.jabref.cli",10,9,48,38,3.62%,86,0.89,"1,050",64,2.79
"net.sf.jabref.collab",21,28,100,88,5.59%,86,0.80,"1,574",92,2.74
"net.sf.jabref.event",3,4,2,0,0.00%,86,0.33,41,4,1.00
"net.sf.jabref.event.source",1,7,0,0,0.00%,0,0.00,10,0,n/a
"net.sf.jabref.external",33,72,143,254,7.26%,86,0.66,"3,501",141,3.62
"net.sf.jabref.gui",647,303,449,"2,828",5.80%,86,0.55,"48,735","2,776",2.43
"net.sf.jabref.gui.actions",25,38,88,67,4.59%,86,0.70,"1,461",68,2.84
"net.sf.jabref.gui.autocompleter",8,9,6,103,13.22%,86,0.36,779,44,3.15
"net.sf.jabref.gui.auximport",2,1,7,5,2.67%,86,0.88,187,7,2.17
"net.sf.jabref.gui.bibtexkeypattern",4,4,24,24,5.39%,86,0.86,445,18,2.18
"net.sf.jabref.gui.cleanup",7,5,16,8,1.84%,86,0.79,434,35,1.93
"net.sf.jabref.gui.date",1,1,5,2,4.00%,86,0.83,50,3,1.67
"net.sf.jabref.gui.dbproperties",2,1,11,9,3.46%,86,0.92,260,9,3.38
"net.sf.jabref.gui.desktop",6,13,10,30,5.75%,86,0.43,522,34,5.78
"net.sf.jabref.gui.desktop.os",5,7,7,3,1.46%,86,0.50,205,25,1.95
"net.sf.jabref.gui.entryeditor",29,29,122,155,6.84%,86,0.82,"2,266",151,2.53
"net.sf.jabref.gui.exporter",15,13,66,78,6.31%,86,0.85,"1,237",54,2.94
"net.sf.jabref.gui.fieldeditors",24,22,44,98,6.58%,86,0.67,"1,489",144,1.89
"net.sf.jabref.gui.fieldeditors.contextmenu",5,6,19,7,3.33%,86,0.75,210,14,2.36
"net.sf.jabref.gui.groups",47,47,180,247,6.52%,86,0.79,"3,789",232,2.47
"net.sf.jabref.gui.help",6,17,19,1,0.40%,86,0.53,249,17,1.00
"net.sf.jabref.gui.importer",71,45,169,448,6.48%,86,0.80,"6,911",337,2.76
"net.sf.jabref.gui.importer.actions",6,10,51,39,6.47%,86,0.84,603,21,4.32
"net.sf.jabref.gui.importer.fetcher",23,25,162,186,5.98%,86,0.88,"3,109",148,2.91
"net.sf.jabref.gui.importer.worker",1,1,7,0,0.00%,86,0.88,88,2,5.00
"net.sf.jabref.gui.journals",14,11,54,10,1.25%,86,0.85,799,52,2.16
"net.sf.jabref.gui.keyboard",22,67,27,47,3.72%,86,0.24,"1,264",80,2.15
"net.sf.jabref.gui.maintable",24,33,66,136,6.78%,86,0.72,"2,007",130,2.76
"net.sf.jabref.gui.menus",9,10,29,17,4.07%,86,0.75,418,24,2.46
"net.sf.jabref.gui.mergeentries",4,8,35,54,7.70%,86,0.81,701,23,3.30
"net.sf.jabref.gui.net",2,3,1,0,0.00%,86,0.25,16,2,1.00
"net.sf.jabref.gui.openoffice",28,20,72,137,4.53%,86,0.81,"3,023",129,3.49
"net.sf.jabref.gui.plaintextimport",13,13,35,55,8.20%,86,0.76,671,40,1.95
"net.sf.jabref.gui.preftabs",48,44,170,152,3.50%,86,0.84,"4,345",192,2.61
"net.sf.jabref.gui.protectedterms",10,7,27,17,3.27%,86,0.81,520,31,2.17
"net.sf.jabref.gui.push",17,20,65,42,4.10%,86,0.78,"1,025",88,1.79
"net.sf.jabref.gui.remote",1,2,5,0,0.00%,86,0.71,21,1,3.00
"net.sf.jabref.gui.renderer",3,6,5,5,4.42%,86,0.45,113,12,1.50
"net.sf.jabref.gui.search",17,13,54,42,4.15%,86,0.81,"1,012",58,2.48
"net.sf.jabref.gui.search.matchers",2,2,2,0,0.00%,0,0.50,28,2,1.00
"net.sf.jabref.gui.shared",8,5,28,12,2.35%,86,0.85,510,22,2.11
"net.sf.jabref.gui.undo",12,76,52,20,3.81%,86,0.41,525,55,1.29
"net.sf.jabref.gui.util",13,28,2,20,3.65%,86,0.07,548,36,2.00
"net.sf.jabref.gui.util.comparator",4,6,7,4,3.48%,86,0.54,115,6,2.83
"net.sf.jabref.gui.util.component",5,9,0,1,0.35%,0,0.00,289,20,1.35
"net.sf.jabref.gui.worker",6,23,21,9,2.80%,86,0.48,322,17,2.69
"net.sf.jabref.logic",391,12,8,"3,068",8.69%,86,0.40,"35,308","1,989",1.89
"net.sf.jabref.logic.autocompleter",12,25,25,24,3.84%,86,0.50,625,59,1.79
"net.sf.jabref.logic.auxparser",2,5,5,23,10.45%,0,0.50,220,17,2.06
"net.sf.jabref.logic.bibtex",12,27,17,80,9.29%,86,0.39,861,53,3.03
"net.sf.jabref.logic.bibtex.comparator",7,14,8,31,8.56%,86,0.38,362,18,4.22
"net.sf.jabref.logic.bibtexkeypattern",2,19,10,101,7.78%,86,0.34,"1,299",41,6.76
"net.sf.jabref.logic.bst",21,20,19,103,4.74%,0,0.52,"2,174",81,5.65
"net.sf.jabref.logic.cleanup",13,22,55,25,3.49%,86,0.74,716,45,2.61
"net.sf.jabref.logic.config",2,8,2,2,1.10%,86,0.29,181,20,1.75
"net.sf.jabref.logic.error",2,3,1,1,1.52%,0,0.25,66,9,1.11
"net.sf.jabref.logic.exporter",22,74,73,138,5.93%,86,0.50,"2,328",157,2.05
"net.sf.jabref.logic.formatter",25,12,7,130,9.48%,86,0.37,"1,372",141,1.11
"net.sf.jabref.logic.formatter.bibtexfields",12,31,32,118,16.01%,86,0.51,737,68,1.63
"net.sf.jabref.logic.formatter.casechanger",9,18,21,7,1.71%,86,0.54,410,53,1.40
"net.sf.jabref.logic.formatter.minifier",1,1,2,5,7.81%,86,0.67,64,6,2.00
"net.sf.jabref.logic.groups",13,38,44,44,2.32%,86,0.54,"1,899",169,2.03
"net.sf.jabref.logic.help",1,16,0,2,2.86%,0,0.00,70,2,1.00
"net.sf.jabref.logic.importer",55,65,33,560,7.01%,86,0.34,"7,993",382,1.67
"net.sf.jabref.logic.importer.fetcher",14,20,57,160,10.88%,86,0.73,"1,470",51,4.43
"net.sf.jabref.logic.importer.fileformat",20,35,93,351,6.57%,86,0.73,"5,344",245,5.15
"net.sf.jabref.logic.importer.util",6,12,6,32,7.05%,86,0.35,454,20,4.30
"net.sf.jabref.logic.integrity",19,20,59,34,7.26%,86,0.72,468,29,3.00
"net.sf.jabref.logic.journals",5,27,4,11,3.05%,86,0.13,361,39,1.87
"net.sf.jabref.logic.l10n",6,68,2,5,2.08%,0,0.03,240,14,2.21
"net.sf.jabref.logic.layout",74,36,19,330,7.95%,86,0.35,"4,150",156,6.90
"net.sf.jabref.logic.layout.format",66,87,119,248,8.41%,86,0.58,"2,950",112,4.27
"net.sf.jabref.logic.logging",3,4,1,5,4.67%,0,0.20,107,12,1.42
"net.sf.jabref.logic.mods",4,6,10,21,4.27%,86,0.62,492,32,2.62
"net.sf.jabref.logic.msbib",6,8,16,34,4.49%,86,0.67,758,30,3.60
"net.sf.jabref.logic.net",5,14,2,14,3.84%,86,0.12,365,28,2.43
"net.sf.jabref.logic.openoffice",11,19,17,139,8.12%,86,0.52,"1,711",101,3.17
"net.sf.jabref.logic.protectedterms",4,14,7,8,2.06%,86,0.33,388,41,1.85
"net.sf.jabref.logic.remote",8,3,1,6,2.20%,86,0.25,273,26,1.14
"net.sf.jabref.logic.remote.client",1,1,2,0,0.00%,0,0.67,40,1,3.00
"net.sf.jabref.logic.remote.server",4,6,5,3,2.08%,86,0.45,144,14,1.92
"net.sf.jabref.logic.remote.shared",1,2,0,3,5.26%,0,0.00,57,4,2.50
"net.sf.jabref.logic.search",27,18,11,36,3.83%,86,0.38,939,88,1.66
"net.sf.jabref.logic.search.matchers",6,11,10,4,3.64%,86,0.56,110,9,1.89
"net.sf.jabref.logic.search.rules",15,20,16,22,4.08%,86,0.42,539,48,2.44
"net.sf.jabref.logic.search.rules.describer",5,5,11,1,0.60%,86,0.69,166,12,3.83
"net.sf.jabref.logic.undo",3,6,2,0,0.00%,0,0.25,65,7,1.00
"net.sf.jabref.logic.util",28,68,10,"1,152",30.67%,86,0.13,"3,756",152,2.05
"net.sf.jabref.logic.util.date",1,3,0,1,1.92%,0,0.00,52,7,1.00
"net.sf.jabref.logic.util.io",9,30,12,27,3.46%,86,0.29,781,44,2.82
"net.sf.jabref.logic.util.strings",8,34,2,"1,073",47.99%,86,0.06,"2,236",43,4.56
"net.sf.jabref.logic.xmp",4,16,8,35,2.68%,86,0.33,"1,307",49,3.43
"net.sf.jabref.migrations",2,2,17,20,5.81%,86,0.89,344,11,4.64
"net.sf.jabref.model",104,32,8,311,5.09%,3,0.18,"6,108",477,2.85
"net.sf.jabref.model.bibtexkeypattern",3,16,2,6,4.08%,0,0.11,147,16,1.53
"net.sf.jabref.model.database",9,88,13,65,8.04%,3,0.13,808,66,2.02
"net.sf.jabref.model.entry",83,308,24,203,4.50%,3,0.07,"4,513",345,1.98
"net.sf.jabref.model.event",5,23,15,0,0.00%,3,0.39,157,17,1.00
"net.sf.jabref.pdfimport",5,8,22,25,5.56%,86,0.81,450,22,2.76
"net.sf.jabref.preferences",8,67,29,68,4.74%,86,0.30,"1,435",83,1.70
"net.sf.jabref.shared",14,14,21,45,3.73%,86,0.60,"1,208",87,2.08
"net.sf.jabref.shared.event",3,6,4,0,0.00%,86,0.40,65,8,1.00
"net.sf.jabref.shared.exception",3,4,2,0,0.00%,0,0.33,45,6,1.00
"net.sf.jabref.specialfields",16,50,59,34,4.38%,86,0.53,777,78,1.69
"osx",1,n/a,n/a,14,17.28%,n/a,n/a,81,6,n/a
"osx.macadapter",1,1,1,14,17.28%,86,0.50,81,6,2.00

Module,L(CSS),L(Groovy),L(HTML),L(J),L(JS),L(JSP),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"JabRef.main",0,0,0,"101,816",0,0,0,0,"101,816","101,816",0,"84,981","84,981",0

FileType,LOC,NCLOC
"Java","101,816","84,981"

Project,L(CSS),L(Groovy),L(HTML),L(J),L(JS),L(JSP),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"project",0,0,0,"101,816",0,0,0,0,"101,816","101,816",0,"84,981","84,981",0

