Lines of code metrics,Thu, 7 May 2020 15:51:40 CEST
Package,C(rec),Ca,Ce,CLOC(rec),COM_RAT(rec),Cyclic,I,LOC(rec),METH(rec),v(G)avg
"","1,480",n/a,n/a,"6,813",5.95%,n/a,n/a,"114,467","7,351",n/a
"org","1,480",n/a,n/a,"6,813",5.95%,n/a,n/a,"114,467","7,351",n/a
"org.jabref","1,480",90,45,"6,813",5.95%,111,0.34,"114,467","7,351",2.56
"org.jabref.architecture",1,0,0,1,11.11%,0,1.00,9,1,n/a
"org.jabref.cli",10,9,51,40,3.73%,111,0.89,"1,073",68,2.73
"org.jabref.gui",829,401,471,"2,833",4.84%,111,0.46,"58,590","3,688",2.10
"org.jabref.gui.actions",27,41,103,60,3.86%,111,0.72,"1,554",68,2.93
"org.jabref.gui.autocompleter",24,39,33,3,0.37%,111,0.46,809,87,1.48
"org.jabref.gui.autosaveandbackup",2,4,5,0,0.00%,111,0.56,52,4,1.50
"org.jabref.gui.auximport",2,1,9,5,2.55%,111,0.90,196,7,2.17
"org.jabref.gui.bibtexkeypattern",6,5,35,25,4.84%,111,0.88,517,23,2.05
"org.jabref.gui.cleanup",7,5,18,8,1.74%,111,0.81,460,35,1.97
"org.jabref.gui.collab",18,22,104,60,5.16%,111,0.84,"1,163",72,2.16
"org.jabref.gui.contentselector",3,3,10,33,7.42%,111,0.82,445,11,5.20
"org.jabref.gui.copyfiles",7,8,27,5,1.69%,111,0.77,296,25,1.32
"org.jabref.gui.customentrytypes",8,10,32,39,4.72%,111,0.80,826,42,3.07
"org.jabref.gui.customjfx",1,4,0,1,1.96%,0,0.00,51,3,2.33
"org.jabref.gui.dbproperties",2,1,12,9,3.40%,111,0.92,265,9,3.38
"org.jabref.gui.desktop",6,15,13,27,4.34%,111,0.46,622,49,4.15
"org.jabref.gui.desktop.os",5,8,9,5,1.66%,111,0.53,301,36,1.83
"org.jabref.gui.documentviewer",13,12,25,22,3.20%,111,0.70,688,76,1.23
"org.jabref.gui.entryeditor",33,32,157,83,4.36%,111,0.82,"1,902",131,2.03
"org.jabref.gui.entryeditor.fileannotationtab",5,4,26,7,1.74%,111,0.87,402,30,1.33
"org.jabref.gui.errorconsole",5,3,14,4,1.19%,111,0.82,337,22,1.57
"org.jabref.gui.exporter",13,12,69,63,5.35%,111,0.86,"1,177",53,2.91
"org.jabref.gui.externalfiles",16,26,107,162,8.56%,111,0.81,"1,892",59,4.09
"org.jabref.gui.externalfiletype",13,48,39,58,5.11%,111,0.42,"1,136",75,2.36
"org.jabref.gui.fieldeditors",60,52,240,129,4.11%,111,0.82,"3,140",288,1.65
"org.jabref.gui.fieldeditors.contextmenu",5,5,17,3,1.49%,111,0.77,202,8,2.12
"org.jabref.gui.filelist",8,24,26,16,2.60%,111,0.52,615,52,2.04
"org.jabref.gui.groups",28,26,125,281,8.53%,111,0.83,"3,295",199,2.29
"org.jabref.gui.help",8,16,24,0,0.00%,111,0.60,384,48,1.07
"org.jabref.gui.importer",59,44,176,361,6.49%,111,0.81,"5,566",277,2.71
"org.jabref.gui.importer.actions",5,9,51,35,5.98%,111,0.85,585,23,3.38
"org.jabref.gui.importer.fetcher",13,14,96,113,5.99%,111,0.88,"1,887",87,2.77
"org.jabref.gui.journals",15,12,52,5,0.45%,111,0.83,"1,116",95,1.95
"org.jabref.gui.keyboard",22,75,34,34,2.57%,111,0.28,"1,323",95,2.05
"org.jabref.gui.logging",2,0,3,2,2.33%,0,1.00,86,6,1.50
"org.jabref.gui.maintable",29,34,73,139,6.73%,111,0.73,"2,066",143,2.80
"org.jabref.gui.menus",4,10,36,19,4.36%,111,0.78,436,26,2.23
"org.jabref.gui.mergeentries",9,13,57,51,6.23%,111,0.82,819,35,2.63
"org.jabref.gui.openoffice",27,20,86,136,4.68%,111,0.83,"2,904",123,3.42
"org.jabref.gui.plaintextimport",13,13,38,55,8.11%,111,0.76,678,40,1.95
"org.jabref.gui.preftabs",49,44,169,148,3.27%,111,0.84,"4,523",203,2.63
"org.jabref.gui.protectedterms",10,7,32,17,3.18%,111,0.83,534,31,2.17
"org.jabref.gui.push",16,19,69,42,4.27%,111,0.81,984,83,1.85
"org.jabref.gui.remote",1,2,5,0,0.00%,111,0.71,21,1,3.00
"org.jabref.gui.renderer",3,6,5,5,4.42%,111,0.45,113,12,1.50
"org.jabref.gui.search",31,15,63,61,4.38%,111,0.80,"1,394",91,2.57
"org.jabref.gui.search.matchers",2,2,2,0,0.00%,111,0.50,28,2,1.00
"org.jabref.gui.search.rules",5,n/a,n/a,1,0.52%,n/a,n/a,192,13,n/a
"org.jabref.gui.search.rules.describer",5,8,16,1,0.52%,111,0.59,192,13,2.50
"org.jabref.gui.shared",8,7,40,14,2.07%,111,0.85,676,27,2.52
"org.jabref.gui.specialfields",9,16,45,18,3.58%,111,0.74,503,25,5.44
"org.jabref.gui.undo",12,81,51,18,3.49%,111,0.39,516,54,1.30
"org.jabref.gui.util",49,121,24,37,1.63%,111,0.18,"2,265",208,1.81
"org.jabref.gui.util.comparator",4,6,8,4,3.48%,111,0.57,115,6,2.83
"org.jabref.gui.util.component",11,14,7,4,0.59%,111,0.32,679,60,1.50
"org.jabref.gui.worker",8,20,44,15,2.38%,111,0.69,630,33,2.62
"org.jabref.logic",418,6,4,"3,209",8.66%,111,0.40,"37,066","2,090",1.40
"org.jabref.logic.autosaveandbackup",2,7,8,1,0.44%,111,0.53,228,19,1.47
"org.jabref.logic.auxparser",2,5,6,12,5.15%,111,0.55,233,20,2.00
"org.jabref.logic.bibtex",20,32,20,135,9.55%,111,0.38,"1,413",88,3.52
"org.jabref.logic.bibtex.comparator",13,26,20,56,8.62%,111,0.44,650,44,2.86
"org.jabref.logic.bibtexkeypattern",2,23,8,16,7.48%,111,0.26,214,15,2.67
"org.jabref.logic.bst",21,20,19,103,4.72%,111,0.52,"2,181",85,5.41
"org.jabref.logic.citationstyle",8,16,15,5,1.15%,111,0.42,435,36,1.80
"org.jabref.logic.cleanup",14,29,65,40,4.42%,111,0.71,906,52,2.63
"org.jabref.logic.exporter",22,75,85,145,5.05%,111,0.54,"2,873",176,2.40
"org.jabref.logic.formatter",28,4,7,128,8.56%,111,0.64,"1,496",157,1.56
"org.jabref.logic.formatter.bibtexfields",16,37,41,116,13.02%,111,0.53,891,89,1.47
"org.jabref.logic.formatter.casechanger",9,16,21,7,1.70%,111,0.57,412,53,1.40
"org.jabref.logic.formatter.minifier",1,1,2,5,7.81%,111,0.67,64,6,2.00
"org.jabref.logic.groups",1,4,2,0,0.00%,111,0.33,14,2,1.00
"org.jabref.logic.help",1,15,0,2,2.82%,0,0.00,71,2,1.00
"org.jabref.logic.importer",86,104,60,654,6.00%,111,0.37,"10,899",584,1.66
"org.jabref.logic.importer.fetcher",26,29,137,145,6.20%,111,0.83,"2,337",146,1.99
"org.jabref.logic.importer.fileformat",26,35,95,452,7.09%,111,0.74,"6,374",281,5.26
"org.jabref.logic.importer.fileformat.mods",n/a,n/a,n/a,8,66.67%,0,n/a,12,0,n/a
"org.jabref.logic.importer.util",9,12,28,32,3.76%,111,0.70,851,38,4.43
"org.jabref.logic.integrity",33,36,116,41,3.95%,111,0.77,"1,037",59,2.79
"org.jabref.logic.journals",6,32,5,12,3.08%,111,0.14,390,50,1.60
"org.jabref.logic.l10n",7,80,2,11,2.93%,0,0.02,376,25,1.84
"org.jabref.logic.layout",75,35,15,278,6.82%,111,0.30,"4,075",154,7.33
"org.jabref.logic.layout.format",67,84,116,201,6.96%,111,0.58,"2,887",112,5.23
"org.jabref.logic.logging",2,3,0,1,1.85%,0,0.00,54,8,1.00
"org.jabref.logic.msbib",8,10,13,24,2.68%,111,0.57,896,46,2.76
"org.jabref.logic.net",7,17,4,24,4.33%,111,0.19,554,49,2.17
"org.jabref.logic.openoffice",11,18,21,139,8.33%,111,0.57,"1,669",100,3.06
"org.jabref.logic.pdf",6,6,12,10,3.53%,111,0.67,283,17,2.60
"org.jabref.logic.preferences",1,7,0,0,0.00%,0,0.00,39,8,1.12
"org.jabref.logic.protectedterms",4,14,5,8,2.27%,111,0.26,353,39,1.79
"org.jabref.logic.remote",8,4,0,6,2.15%,0,0.00,279,28,1.12
"org.jabref.logic.remote.client",1,1,2,0,0.00%,0,0.67,42,2,2.00
"org.jabref.logic.remote.server",4,6,5,3,2.07%,111,0.45,145,14,1.92
"org.jabref.logic.remote.shared",1,2,0,3,5.26%,0,0.00,57,4,2.50
"org.jabref.logic.search",4,14,8,7,3.20%,111,0.36,219,25,1.54
"org.jabref.logic.specialfields",1,3,4,6,6.00%,111,0.57,100,6,2.33
"org.jabref.logic.undo",3,6,2,0,0.00%,0,0.25,65,7,1.00
"org.jabref.logic.util",30,80,15,"1,159",26.19%,111,0.15,"4,425",180,3.85
"org.jabref.logic.util.io",12,37,22,28,2.69%,111,0.38,"1,040",66,2.25
"org.jabref.logic.util.strings",7,12,0,"1,005",71.13%,0,0.00,"1,413",16,2.88
"org.jabref.logic.xmp",4,13,8,242,19.56%,111,0.38,"1,237",48,3.46
"org.jabref.migrations",3,3,26,30,5.66%,111,0.90,530,22,3.64
"org.jabref.model",174,53,6,444,3.60%,111,0.09,"12,346","1,111",1.99
"org.jabref.model.bibtexkeypattern",3,20,2,6,3.85%,0,0.09,156,18,1.53
"org.jabref.model.cleanup",4,21,9,6,2.21%,111,0.30,272,27,2.05
"org.jabref.model.database",15,152,24,45,3.75%,111,0.14,"1,200",116,1.68
"org.jabref.model.database.event",6,24,8,4,3.70%,111,0.25,108,9,1.44
"org.jabref.model.entry",99,325,39,276,4.47%,111,0.11,"6,176",531,1.85
"org.jabref.model.entry.event",5,33,10,0,0.00%,111,0.23,147,16,1.31
"org.jabref.model.entry.identifier",7,27,11,55,10.38%,111,0.29,530,52,1.78
"org.jabref.model.entry.specialfields",2,12,3,1,0.79%,111,0.20,127,11,1.73
"org.jabref.model.groups",14,55,36,13,1.29%,111,0.40,"1,011",117,1.87
"org.jabref.model.groups.event",1,1,2,0,0.00%,111,0.67,15,2,1.00
"org.jabref.model.metadata",7,57,13,11,1.89%,111,0.20,581,81,1.62
"org.jabref.model.metadata.event",1,2,2,0,0.00%,111,0.50,18,2,1.00
"org.jabref.model.pdf",2,5,1,0,0.00%,0,0.17,223,21,1.81
"org.jabref.model.search",18,6,4,28,4.98%,111,0.40,562,57,1.20
"org.jabref.model.search.matchers",6,10,10,4,3.64%,111,0.59,110,9,1.89
"org.jabref.model.search.rules",10,21,15,24,6.14%,111,0.38,391,37,2.51
"org.jabref.model.strings",3,43,1,38,4.28%,0,0.02,888,40,4.05
"org.jabref.model.util",3,20,3,6,2.33%,111,0.13,257,21,2.05
"org.jabref.pdfimport",5,8,28,25,5.23%,111,0.84,478,23,2.82
"org.jabref.preferences",13,86,48,91,4.64%,111,0.37,"1,961",165,1.48
"org.jabref.shared",20,22,31,61,3.63%,111,0.58,"1,681",140,2.13
"org.jabref.shared.event",3,6,4,0,0.00%,111,0.40,65,8,1.00
"org.jabref.shared.exception",5,6,2,0,0.00%,111,0.25,63,8,1.00
"org.jabref.shared.listener",2,2,3,0,0.00%,111,0.60,36,4,1.25
"org.jabref.shared.prefs",1,5,3,1,0.98%,111,0.38,102,21,1.05
"org.jabref.shared.security",1,3,0,1,1.75%,0,0.00,57,4,1.00

Module,L(CSS),L(Groovy),L(HTML),L(J),L(JS),L(JSP),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"JabRef.main",277,0,0,"113,733",0,0,0,457,"114,467","114,467",0,"96,647","96,647",0

FileType,LOC,NCLOC
"Cascading style sheet",277,253
"Java","113,733","95,937"
"XML",457,457

Project,L(CSS),L(Groovy),L(HTML),L(J),L(JS),L(JSP),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"project",277,0,0,"113,733",0,0,0,457,"114,467","114,467",0,"96,647","96,647",0

