src.test.java.net.sf.jabref.logic.formatter.bibtexfields.UnitsToLatexFormatterTest.java,,1,,,,,,,,
src.test.java.net.sf.jabref.logic.formatter.casechanger.LowerCaseFormatterTest.java,,1,,,,,,,,
src.test.java.net.sf.jabref.logic.formatter.casechanger.ProtectTermsFormatterTest.java,,1,1,,,,,,,
src.test.java.net.sf.jabref.logic.formatter.casechanger.SentenceCaseFormatterTest.java,,1,,,,,,,,
src.test.java.net.sf.jabref.logic.formatter.casechanger.TitleCaseFormatterTest.java,,1,,1,,,,,,
src.test.java.net.sf.jabref.logic.formatter.casechanger.UpperCaseFormatterTest.java,,1,,,,,,,,
src.test.java.net.sf.jabref.logic.formatter.FormatterTest.java,,1,3,1,,1,,,,
src.main.resources.l10n.JabRef_de.properties,,7,33,52,17,89,22,20,1,44
src.main.java.net.sf.jabref.JabRefPreferences.java,,5,,,,,,,,
src.main.java.net.sf.jabref.MetaData.java,,2,15,,,,,,,
src.main.java.net.sf.jabref.bst.BibtexCaseChanger.java,,1,,,,,,,,
src.main.java.net.sf.jabref.importer.fileformat.BibtexParser.java,,2,,,,,,,,
src.main.java.net.sf.jabref.logic.CustomEntryTypesManager.java,,2,1,,,,,,,
src.main.java.net.sf.jabref.logic.fulltext.MimeTypeDetector.java,,2,,,,,,,,
src.main.java.net.sf.jabref.model.entry.AuthorListParser.java,,1,,,,,,,,
src.main.java.net.sf.jabref.model.entry.CustomEntryType.java,,2,3,1,,,,,,
src.main.java.net.sf.jabref.specialfields.SpecialFieldsUtils.java,,3,7,3,,,,,,
src.main.java.net.sf.jabref.model.entry.FieldProperties.java,,1,6,,,,,,,
src.main.java.net.sf.jabref.model.entry.InternalBibtexFields.java,,1,17,7,1,,,,,
src.main.java.net.sf.jabref.logic.formatter.bibtexfields.HtmlToUnicodeFormatter.java,,2,,1,,1,,,,
src.main.resources.l10n.JabRef_da.properties,,5,27,48,17,83,16,12,1,26
src.main.resources.l10n.JabRef_en.properties,,5,27,45,16,84,13,23,4,182
src.main.resources.l10n.JabRef_es.properties,,5,27,49,17,84,17,19,1,37
src.main.resources.l10n.JabRef_fa.properties,,5,27,49,17,82,16,9,1,22
src.main.resources.l10n.JabRef_fr.properties,,6,36,55,22,97,20,32,4,42
src.main.resources.l10n.JabRef_in.properties,,5,27,48,17,82,25,16,1,27
src.main.resources.l10n.JabRef_it.properties,,5,27,54,23,87,17,16,1,32
src.main.resources.l10n.JabRef_ja.properties,,5,27,54,21,86,25,21,1,45
src.main.resources.l10n.JabRef_nl.properties,,5,27,48,17,82,17,10,1,26
src.main.resources.l10n.JabRef_no.properties,,5,27,48,17,82,16,12,1,28
src.main.resources.l10n.JabRef_pt_BR.properties,,5,27,48,17,83,18,13,1,31
src.main.resources.l10n.JabRef_ru.properties,,5,27,50,17,83,18,15,1,30
src.main.resources.l10n.JabRef_sv.properties,,7,31,48,17,82,17,14,1,24
src.main.resources.l10n.JabRef_tr.properties,,5,29,55,18,85,17,17,1,34
src.main.resources.l10n.JabRef_vi.properties,,5,27,51,17,86,17,12,2,25
src.main.resources.l10n.JabRef_zh.properties,,5,27,49,18,86,17,22,1,31
src.main.java.net.sf.jabref.logic.formatter.Formatters.java,,1,1,2,,2,,,,
src.main.java.net.sf.jabref.gui.BasePanel.java,,6,38,41,12,,,,,
src.test.java.net.sf.jabref.model.database.BibDatabaseTest.java,,1,4,4,,,,,,
src.test.java.net.sf.jabref.model.entry.MonthUtilTest.java,,1,,,,,,,,
src.main.java.net.sf.jabref.external.AutoSetLinks.java,,1,4,,,,,,,
src.main.java.net.sf.jabref.external.SynchronizeFileField.java,,2,4,,,,,,,
src.main.java.net.sf.jabref.logic.fulltext.ACS.java,,1,,,,,,,,
src.main.java.net.sf.jabref.logic.fulltext.ArXiv.java,,1,1,,,,,,,
src.main.java.net.sf.jabref.logic.fulltext.DoiResolution.java,,2,,,,,,,,
src.main.java.net.sf.jabref.logic.fulltext.FindFullText.java,,2,,,,,,,,
src.main.java.net.sf.jabref.logic.fulltext.GoogleScholar.java,,1,,,,,,,,
src.main.java.net.sf.jabref.logic.fulltext.IEEE.java,,1,,,,,,,,
