Lines of code metrics,Thu, 7 May 2020 16:01:25 CEST
Package,C(rec),Ca,Ce,CLOC(rec),COM_RAT(rec),Cyclic,I,LOC(rec),METH(rec),v(G)avg
"","1,190",n/a,n/a,"14,464",13.53%,n/a,n/a,"106,922","5,540",n/a
"net","1,176",n/a,n/a,"14,384",13.56%,n/a,n/a,"106,059","5,496",n/a
"net.sf","1,176",n/a,n/a,"14,384",13.56%,n/a,n/a,"106,059","5,496",n/a
"net.sf.jabref","1,176",207,75,"14,384",13.56%,91,0.26,"106,059","5,496",2.06
"net.sf.jabref.bst",21,20,19,275,11.73%,91,0.52,"2,344",81,5.65
"net.sf.jabref.cli",4,7,24,34,4.76%,91,0.86,714,53,2.62
"net.sf.jabref.collab",21,28,96,309,17.32%,91,0.79,"1,784",92,2.74
"net.sf.jabref.event",5,20,9,13,11.50%,91,0.31,113,10,1.00
"net.sf.jabref.exporter",32,62,111,525,14.20%,91,0.65,"3,698",184,2.41
"net.sf.jabref.external",51,70,136,654,13.43%,91,0.65,"4,871",229,3.64
"net.sf.jabref.external.push",17,20,61,198,16.82%,91,0.77,"1,177",86,1.80
"net.sf.jabref.gui",525,315,488,"4,885",11.83%,91,0.55,"41,282","2,261",2.53
"net.sf.jabref.gui.actions",22,41,80,183,12.02%,91,0.66,"1,522",68,2.80
"net.sf.jabref.gui.autocompleter",8,9,6,129,16.02%,91,0.36,805,44,3.15
"net.sf.jabref.gui.auximport",3,2,9,32,14.10%,91,0.88,227,9,2.00
"net.sf.jabref.gui.cleanup",7,5,14,21,4.78%,91,0.76,439,35,1.90
"net.sf.jabref.gui.date",1,1,3,17,32.69%,91,0.75,52,3,1.33
"net.sf.jabref.gui.dbproperties",2,1,8,21,8.37%,91,0.89,251,8,3.71
"net.sf.jabref.gui.desktop",6,11,9,28,6.02%,91,0.45,465,33,5.88
"net.sf.jabref.gui.desktop.os",5,7,7,3,1.46%,91,0.50,205,25,1.95
"net.sf.jabref.gui.entryeditor",27,30,117,259,11.31%,91,0.80,"2,289",141,2.46
"net.sf.jabref.gui.fieldeditors",23,22,43,255,16.46%,91,0.66,"1,549",139,1.88
"net.sf.jabref.gui.fieldeditors.contextmenu",4,5,14,33,19.53%,91,0.71,169,12,1.92
"net.sf.jabref.gui.groups",46,45,164,460,11.48%,91,0.79,"4,006",237,2.45
"net.sf.jabref.gui.help",4,26,13,55,17.24%,91,0.33,319,14,1.07
"net.sf.jabref.gui.journals",15,12,53,76,8.54%,91,0.84,890,54,2.24
