Lines of code metrics,Thu, 7 May 2020 16:01:25 CEST
Package,C(rec),Ca,Ce,CLOC(rec),COM_RAT(rec),Cyclic,I,LOC(rec),METH(rec),v(G)avg
"net.sf.jabref.gui.keyboard",9,50,14,46,8.36%,91,0.22,550,42,1.85
"net.sf.jabref.gui.labelpattern",4,4,22,69,14.37%,91,0.85,480,17,2.38
"net.sf.jabref.gui.maintable",24,34,64,227,10.89%,91,0.70,"2,085",130,2.79
"net.sf.jabref.gui.menus",11,10,26,69,13.27%,91,0.73,520,27,2.52
"net.sf.jabref.gui.menus.help",2,2,8,26,30.23%,91,0.80,86,4,1.50
"net.sf.jabref.gui.mergeentries",3,5,23,86,11.36%,91,0.82,757,18,4.83
"net.sf.jabref.gui.net",2,4,1,0,0.00%,91,0.20,16,2,1.00
"net.sf.jabref.gui.openoffice",28,20,67,262,8.91%,91,0.79,"2,940",127,3.34
"net.sf.jabref.gui.plaintextimport",13,13,32,124,17.01%,91,0.75,729,40,1.95
"net.sf.jabref.gui.preftabs",46,42,141,412,9.15%,91,0.81,"4,501",182,2.67
"net.sf.jabref.gui.remote",1,2,5,13,38.24%,91,0.71,34,1,3.00
"net.sf.jabref.gui.renderer",3,6,4,18,14.29%,91,0.40,126,12,1.50
"net.sf.jabref.gui.search",17,13,52,107,9.96%,91,0.79,"1,074",58,2.48
"net.sf.jabref.gui.search.matchers",2,2,2,26,48.15%,91,0.50,54,2,1.00
"net.sf.jabref.gui.undo",11,67,29,162,23.96%,91,0.30,676,61,1.20
"net.sf.jabref.gui.util",11,13,1,143,23.10%,91,0.07,619,32,2.60
"net.sf.jabref.gui.util.comparator",4,6,8,56,33.73%,91,0.57,166,6,2.83
"net.sf.jabref.gui.util.component",4,7,0,49,15.51%,0,0.00,316,19,1.37
"net.sf.jabref.gui.worker",5,26,15,73,23.32%,91,0.37,313,14,2.31
"net.sf.jabref.importer",89,63,144,"1,755",13.26%,91,0.69,"13,235",560,2.57
"net.sf.jabref.importer.fetcher",31,37,164,590,13.62%,91,0.83,"4,333",177,3.49
"net.sf.jabref.importer.fileformat",23,38,79,711,12.66%,91,0.68,"5,618",202,6.23
"net.sf.jabref.logic",274,22,10,"4,639",17.94%,91,0.31,"25,861","1,231",2.32
"net.sf.jabref.logic.autocompleter",11,25,21,127,17.79%,91,0.46,714,57,1.86
"net.sf.jabref.logic.auxparser",2,5,5,23,10.55%,91,0.50,218,17,2.06
"net.sf.jabref.logic.bibtex",9,17,13,173,19.22%,91,0.43,900,40,4.00
"net.sf.jabref.logic.bibtex.comparator",6,13,8,101,23.49%,91,0.40,430,17,4.65
"net.sf.jabref.logic.cleanup",12,21,48,168,20.69%,91,0.73,812,43,2.67
"net.sf.jabref.logic.config",2,8,2,2,1.12%,91,0.29,178,19,1.79
"net.sf.jabref.logic.error",2,3,1,27,29.35%,0,0.25,92,9,1.11
"net.sf.jabref.logic.formatter",25,12,7,264,10.79%,91,0.37,"2,447",135,1.11
"net.sf.jabref.logic.formatter.bibtexfields",11,30,30,184,23.38%,91,0.50,787,63,1.67
"net.sf.jabref.logic.formatter.casechanger",10,16,21,59,4.15%,91,0.57,"1,421",52,1.44
"net.sf.jabref.logic.formatter.minifier",1,1,2,5,7.81%,91,0.67,64,6,2.00
"net.sf.jabref.logic.fulltext",9,9,28,80,14.21%,91,0.76,563,13,5.25
"net.sf.jabref.logic.groups",13,55,40,174,8.89%,91,0.42,"1,957",163,2.02
"net.sf.jabref.logic.id",1,1,1,13,48.15%,91,0.50,27,1,1.00
"net.sf.jabref.logic.integrity",17,18,51,32,7.49%,91,0.67,427,27,3.08
"net.sf.jabref.logic.io",1,1,0,0,0.00%,0,0.00,22,2,2.00
"net.sf.jabref.logic.journals",4,25,4,50,13.66%,91,0.14,366,34,1.97
"net.sf.jabref.logic.l10n",6,62,2,5,2.08%,0,0.03,240,14,2.21
"net.sf.jabref.logic.labelpattern",4,18,11,161,10.94%,91,0.38,"1,472",49,6.23
"net.sf.jabref.logic.layout",69,23,19,"1,395",27.60%,91,0.45,"5,054",134,8.52
"net.sf.jabref.logic.layout.format",62,76,113,"1,198",31.58%,91,0.60,"3,793",99,4.81
"net.sf.jabref.logic.logging",3,4,1,18,15.00%,0,0.20,120,12,1.42
"net.sf.jabref.logic.mods",4,6,10,72,13.14%,91,0.62,548,32,2.62
"net.sf.jabref.logic.msbib",2,3,8,62,5.74%,91,0.73,"1,080",26,8.42
"net.sf.jabref.logic.net",7,17,5,92,14.29%,91,0.23,644,37,2.78
"net.sf.jabref.logic.openoffice",10,18,18,243,13.61%,91,0.55,"1,786",98,3.20
"net.sf.jabref.logic.preferences",1,2,1,14,37.84%,91,0.33,37,3,1.67
"net.sf.jabref.logic.remote",8,3,1,32,10.63%,91,0.25,301,26,1.14
"net.sf.jabref.logic.remote.client",1,1,2,0,0.00%,0,0.67,40,1,3.00
"net.sf.jabref.logic.remote.server",4,6,5,29,17.06%,91,0.45,170,14,1.92
"net.sf.jabref.logic.remote.shared",1,2,0,3,5.26%,0,0.00,57,4,2.50
"net.sf.jabref.logic.search",27,18,11,187,17.19%,91,0.38,"1,088",88,1.66
"net.sf.jabref.logic.search.matchers",6,11,10,43,28.86%,91,0.56,149,9,1.89
"net.sf.jabref.logic.search.rules",15,20,16,108,17.34%,91,0.42,623,48,2.44
"net.sf.jabref.logic.search.rules.describer",5,5,11,27,14.06%,91,0.69,192,12,3.83
"net.sf.jabref.logic.util",19,32,6,"1,129",36.94%,91,0.16,"3,056",87,2.42
"net.sf.jabref.logic.util.date",2,5,6,1,1.72%,91,0.55,58,4,1.50
"net.sf.jabref.logic.util.io",6,20,10,63,10.43%,91,0.33,604,28,3.64
"net.sf.jabref.logic.util.strings",7,29,2,998,48.99%,91,0.06,"2,037",36,4.56
"net.sf.jabref.logic.xmp",3,7,11,78,5.28%,91,0.61,"1,478",46,4.02
"net.sf.jabref.migrations",2,2,12,28,8.64%,91,0.86,324,10,4.70
"net.sf.jabref.model",90,18,7,486,8.90%,91,0.26,"5,463",400,3.04
"net.sf.jabref.model.database",7,74,9,120,14.67%,91,0.11,818,60,2.05
"net.sf.jabref.model.entry",80,237,20,317,7.49%,91,0.08,"4,230",315,2.03
"net.sf.jabref.pdfimport",5,8,20,64,13.20%,91,0.79,485,22,2.81
"net.sf.jabref.specialfields",16,57,52,222,22.98%,91,0.47,966,76,1.70
"net.sf.jabref.sql",24,41,27,196,8.87%,91,0.43,"2,210",122,1.70
"net.sf.jabref.sql.database",2,2,4,1,0.41%,91,0.67,246,13,2.23
"net.sf.jabref.sql.exporter",1,2,10,23,5.41%,91,0.83,425,14,4.36
"net.sf.jabref.sql.importer",4,6,21,53,11.06%,91,0.77,479,17,3.18
"net.sf.jabref.util",1,2,4,56,43.41%,91,0.67,129,3,3.33
"org",13,n/a,n/a,66,8.44%,n/a,n/a,782,38,n/a
"org.xnap",13,n/a,n/a,66,8.44%,n/a,n/a,782,38,n/a
"org.xnap.commons",13,n/a,n/a,66,8.44%,n/a,n/a,782,38,n/a
"org.xnap.commons.gui",13,n/a,n/a,66,8.44%,n/a,n/a,782,38,n/a
"org.xnap.commons.gui.shortcut",13,15,12,66,8.44%,91,0.40,782,38,2.47
"osx",1,n/a,n/a,14,17.28%,n/a,n/a,81,6,n/a
"osx.macadapter",1,1,1,14,17.28%,91,0.50,81,6,2.00

Module,L(CSS),L(Groovy),L(HTML),L(J),L(JS),L(JSP),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"JabRef.main",0,0,0,"106,922",0,0,0,0,"106,922","106,922",0,"82,742","82,742",0

FileType,LOC,NCLOC
"Java","106,922","82,742"

Project,L(CSS),L(Groovy),L(HTML),L(J),L(JS),L(JSP),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"project",0,0,0,"106,922",0,0,0,0,"106,922","106,922",0,"82,742","82,742",0

