V4-0,,,,,,,
Package,AC(rec),C(rec),Ca,Ce,D,I,LOC(rec)
,32,1458,n/a,n/a,n/a,n/a,113394
oracle,0,6,n/a,n/a,n/a,n/a,334
oracle.jdbc,0,6,2,2,0.5,0.5,334
oracle.jdbc.dcn,0,3,6,2,0.42,0.25,23
oracle.jdbc.driver,0,1,0,0,0,1,7
org,32,1451,n/a,n/a,n/a,n/a,112991
org.jabref,32,1451,88,46,0.66,0.35,112991
org.jabref.architecture,0,1,0,0,1,1,9
org.jabref.cli,0,10,9,51,0.15,0.89,1073
org.jabref.collab,1,20,28,99,0.07,0.79,1475
org.jabref.gui,15,789,391,465,0.41,0.46,56594
org.jabref.gui.actions,1,27,41,101,0.19,0.71,1483
org.jabref.gui.autocompleter,1,24,38,33,0.39,0.46,809
org.jabref.gui.autosaveandbackup,0,2,4,5,0.44,0.56,52
org.jabref.gui.auximport,0,2,1,9,0.1,0.9,196
org.jabref.gui.bibtexkeypattern,0,6,5,35,0.12,0.88,517
org.jabref.gui.cleanup,0,7,5,18,0.22,0.81,460
org.jabref.gui.contentselector,0,3,3,10,0.23,0.82,445
org.jabref.gui.customentrytypes,0,8,10,32,0.24,0.8,851
org.jabref.gui.customjfx,0,1,4,0,1,0,51
org.jabref.gui.dbproperties,0,2,1,12,0.08,0.92,265
org.jabref.gui.desktop,0,6,15,13,0.54,0.46,622
org.jabref.gui.desktop.os,0,5,8,9,0.27,0.53,301
org.jabref.gui.documentviewer,3,13,12,25,0.09,0.7,688
org.jabref.gui.entryeditor,1,32,31,137,0.14,0.79,1967
org.jabref.gui.entryeditor.fileannotationtab,0,5,4,24,0.14,0.86,390
org.jabref.gui.errorconsole,0,5,3,14,0.18,0.82,337
org.jabref.gui.exporter,0,13,12,67,0.15,0.86,1184
org.jabref.gui.externalfiles,0,17,24,100,0.12,0.81,1886
org.jabref.gui.externalfiletype,0,13,48,39,0.55,0.42,1160
org.jabref.gui.fieldeditors,2,58,51,236,0.09,0.82,3076
org.jabref.gui.fieldeditors.contextmenu,0,4,4,16,0.2,0.8,159
org.jabref.gui.filelist,0,8,24,26,0.28,0.52,615
org.jabref.gui.groups,0,28,26,123,0.17,0.83,3282
org.jabref.gui.help,0,8,16,24,0.4,0.6,384
org.jabref.gui.importer,1,59,44,176,0.14,0.81,5564
org.jabref.gui.importer.actions,0,5,9,51,0.05,0.85,585
org.jabref.gui.importer.fetcher,0,13,14,96,0.03,0.88,1887
org.jabref.gui.journals,0,15,12,52,0.19,0.83,1116
org.jabref.gui.keyboard,0,22,75,34,0.69,0.28,1323
org.jabref.gui.logging,0,2,0,3,0,1,86
org.jabref.gui.maintable,0,29,34,73,0.32,0.73,2070
org.jabref.gui.menus,0,4,10,35,0.22,0.78,434
org.jabref.gui.mergeentries,0,9,13,57,0.19,0.82,819
org.jabref.gui.openoffice,0,27,20,86,0.19,0.83,2904
