V4-3,,,,,,,
Package,AC(rec),C(rec),Ca,Ce,D,I,LOC(rec)
,36,1499,n/a,n/a,n/a,n/a,115868
oracle,0,6,n/a,n/a,n/a,n/a,334
oracle.jdbc,0,6,2,2,0.5,0.5,334
oracle.jdbc.dcn,0,3,6,2,0.42,0.25,23
oracle.jdbc.driver,0,1,0,0,0,1,7
org,36,1492,n/a,n/a,n/a,n/a,115465
org.jabref,36,1492,89,44,0.67,0.33,115465
org.jabref.architecture,0,1,0,0,1,1,9
org.jabref.cli,0,9,9,47,0.16,0.89,946
org.jabref.gui,18,814,394,458,0.41,0.46,58452
org.jabref.gui.actions,1,27,40,105,0.18,0.72,1578
org.jabref.gui.autocompleter,1,24,40,33,0.41,0.45,809
org.jabref.gui.auximport,0,3,3,14,0.18,0.82,229
org.jabref.gui.bibtexkeypattern,0,6,5,36,0.12,0.88,520
org.jabref.gui.cleanup,0,7,5,19,0.21,0.82,478
org.jabref.gui.collab,1,18,22,106,0.06,0.84,1169
org.jabref.gui.contentselector,0,3,3,10,0.23,0.82,445
org.jabref.gui.copyfiles,0,7,8,27,0.23,0.77,303
org.jabref.gui.customentrytypes,0,8,10,32,0.24,0.8,826
org.jabref.gui.customjfx,0,1,10,2,0.83,0.17,62
org.jabref.gui.dbproperties,0,2,1,13,0.07,0.93,277
org.jabref.gui.desktop,0,6,15,13,0.54,0.46,622
org.jabref.gui.desktop.os,0,5,8,9,0.27,0.53,301
org.jabref.gui.dialogs,0,2,4,5,0.44,0.56,52
org.jabref.gui.documentviewer,3,13,12,25,0.09,0.7,694
org.jabref.gui.entryeditor,2,18,19,95,0.01,0.83,1596
org.jabref.gui.entryeditor.fileannotationtab,0,5,4,28,0.12,0.88,440
org.jabref.gui.errorconsole,0,5,3,14,0.18,0.82,337
org.jabref.gui.exporter,0,13,11,70,0.14,0.87,1131
org.jabref.gui.externalfiles,0,14,22,92,0.11,0.82,1794
org.jabref.gui.externalfiletype,0,13,49,41,0.54,0.43,1144
org.jabref.gui.fieldeditors,2,61,50,255,0.08,0.84,3250
org.jabref.gui.fieldeditors.contextmenu,0,5,5,20,0.2,0.8,215
org.jabref.gui.filelist,0,8,24,26,0.28,0.52,615
org.jabref.gui.groups,0,28,26,126,0.17,0.83,3330
org.jabref.gui.help,0,8,16,24,0.4,0.6,384
org.jabref.gui.importer,1,60,43,175,0.14,0.82,5519
org.jabref.gui.importer.actions,0,7,11,59,0.01,0.84,638
org.jabref.gui.importer.fetcher,0,13,14,97,0.03,0.88,1887
org.jabref.gui.journals,0,15,12,52,0.19,0.83,1134
org.jabref.gui.keyboard,0,22,74,34,0.69,0.28,1323
org.jabref.gui.logging,0,2,0,3,0,1,86
org.jabref.gui.maintable,0,29,33,72,0.31,0.73,2005
org.jabref.gui.menus,0,4,10,37,0.21,0.79,475
org.jabref.gui.mergeentries,0,9,13,58,0.18,0.82,824
org.jabref.gui.openoffice,0,27,20,86,0.19,0.83,2918
org.jabref.gui.plaintextimport,1,13,13,38,0.17,0.76,678
org.jabref.gui.preftabs,1,49,44,168,0.16,0.84,4521
org.jabref.gui.protectedterms,0,10,7,32,0.18,0.83,534
org.jabref.gui.push,1,16,19,69,0.08,0.81,998
org.jabref.gui.remote,0,1,2,5,0.29,0.71,21
org.jabref.gui.renderer,0,3,6,5,0.55,0.45,113
org.jabref.gui.search,0,31,14,65,0.18,0.81,1432
org.jabref.gui.search.matchers,0,2,2,2,0.5,0.5,28
org.jabref.gui.search.rules,0,5,n/a,n/a,n/a,n/a,192
org.jabref.gui.search.rules.describer,0,5,8,16,0.13,0.59,192
org.jabref.gui.shared,0,8,7,41,0.15,0.85,679
org.jabref.gui.specialfields,0,9,16,45,0.26,0.74,500
org.jabref.gui.undo,0,12,83,53,0.61,0.39,524
org.jabref.gui.util,1,52,125,27,0.76,0.2,2299
org.jabref.gui.util.comparator,0,4,6,8,0.43,0.57,115
org.jabref.gui.util.component,0,10,12,7,0.63,0.35,534
org.jabref.gui.worker,1,7,19,40,0.04,0.68,570
org.jabref.logic,7,452,6,4,0.6,0.4,39429
org.jabref.logic.autosaveandbackup,0,2,7,9,0.44,0.56,240
org.jabref.logic.auxparser,0,1,4,3,0.57,0.43,146
org.jabref.logic.bibtex,0,20,30,20,0.6,0.4,1461
org.jabref.logic.bibtex.comparator,0,13,26,20,0.57,0.44,650
org.jabref.logic.bibtexkeypattern,0,3,22,15,0.59,0.41,1487
org.jabref.logic.bst,0,21,20,19,0.41,0.52,2186
org.jabref.logic.citationstyle,0,8,16,17,0.48,0.42,445
org.jabref.logic.cleanup,0,15,29,67,0.3,0.72,906
org.jabref.logic.exporter,3,24,73,93,0.27,0.57,2953
org.jabref.logic.formatter,0,30,4,7,0.36,0.64,1521
org.jabref.logic.formatter.bibtexfields,0,18,40,45,0.47,0.53,929
org.jabref.logic.formatter.casechanger,0,9,15,21,0.42,0.58,388
org.jabref.logic.formatter.minifier,0,1,1,2,0.33,0.67,64
org.jabref.logic.groups,0,1,4,2,0.67,0.33,14
org.jabref.logic.help,0,1,15,0,1,0,72
org.jabref.logic.importer,2,89,105,65,0.04,0.39,11455
org.jabref.logic.importer.fetcher,1,29,34,162,0.14,0.83,2532
org.jabref.logic.importer.fileformat,0,27,36,97,0.27,0.73,6659
org.jabref.logic.importer.fileformat.mods,n/a,n/a,n/a,n/a,n/a,n/a,12
org.jabref.logic.importer.util,0,7,9,24,0.27,0.73,834
org.jabref.logic.integrity,0,36,38,128,0.17,0.77,1115
org.jabref.logic.journals,0,6,32,5,0.86,0.14,388
org.jabref.logic.l10n,0,7,78,2,0.97,0.03,390
org.jabref.logic.layout,1,76,31,15,0.3,0.33,4104
org.jabref.logic.layout.format,0,68,87,120,0.42,0.58,2918
org.jabref.logic.logging,0,2,3,0,1,0,54
org.jabref.logic.msbib,0,8,10,13,0.43,0.57,897
org.jabref.logic.net,0,7,17,4,0.81,0.19,554
org.jabref.logic.openoffice,0,11,18,19,0.49,0.54,1695
org.jabref.logic.pdf,0,6,6,13,0.12,0.68,285
org.jabref.logic.preferences,0,1,5,0,1,0,39
org.jabref.logic.protectedterms,0,4,13,5,0.72,0.28,345
org.jabref.logic.remote,0,9,6,0,1,0,345
org.jabref.logic.remote.client,0,1,1,3,0.25,0.75,56
org.jabref.logic.remote.server,0,4,6,6,0.25,0.5,160
org.jabref.logic.remote.shared,0,2,5,1,0.83,0.17,86
org.jabref.logic.search,0,4,14,8,0.39,0.36,224
org.jabref.logic.shared,1,18,11,38,0.08,0.78,1643
org.jabref.logic.shared.event,0,3,6,4,0.6,0.4,65
org.jabref.logic.shared.exception,0,4,4,2,0.67,0.33,55
org.jabref.logic.shared.listener,0,2,2,3,0.4,0.6,36
org.jabref.logic.shared.prefs,0,1,5,3,0.62,0.38,101
org.jabref.logic.shared.security,0,1,3,0,1,0,57
org.jabref.logic.specialfields,0,1,3,4,0.43,0.57,100
org.jabref.logic.undo,0,3,6,2,0.75,0.25,65
org.jabref.logic.util,0,30,76,8,0.9,0.09,3250
org.jabref.logic.util.io,0,12,39,21,0.57,0.36,1015
org.jabref.logic.util.strings,0,8,13,0,1,0,1477
org.jabref.logic.xmp,0,7,21,14,0.6,0.4,998
org.jabref.migrations,0,6,7,39,0.01,0.85,669
org.jabref.model,11,185,56,6,0.57,0.08,12678
org.jabref.model.auxparser,0,2,9,3,0.25,0.25,78
org.jabref.model.bibtexkeypattern,1,3,18,2,0.57,0.1,156
org.jabref.model.cleanup,1,4,22,9,0.21,0.29,274
org.jabref.model.database,0,20,146,23,0.86,0.14,1292
org.jabref.model.database.event,0,6,24,8,0.75,0.25,110
org.jabref.model.database.shared,0,6,22,4,0.35,0.15,105
org.jabref.model.entry,3,99,329,39,0.77,0.11,6225
org.jabref.model.entry.event,1,5,32,10,0.56,0.24,147
org.jabref.model.entry.identifier,0,7,27,11,0.57,0.29,529
org.jabref.model.entry.specialfields,0,2,12,3,0.8,0.2,127
org.jabref.model.groups,3,15,60,40,0.31,0.4,1092
org.jabref.model.groups.event,0,1,1,2,0.33,0.67,15
org.jabref.model.metadata,0,7,57,13,0.81,0.2,581
org.jabref.model.metadata.event,0,1,2,2,0.5,0.5,18
org.jabref.model.pdf,0,2,5,1,0.83,0.17,223
org.jabref.model.search,1,18,6,4,0.1,0.4,550
org.jabref.model.search.matchers,1,6,10,8,0.39,0.53,92
org.jabref.model.search.rules,0,10,21,14,0.5,0.36,397
org.jabref.model.strings,0,3,42,1,0.98,0.02,890
org.jabref.model.util,0,6,39,5,0.55,0.11,297
org.jabref.pdfimport,0,5,8,26,0.24,0.83,473
org.jabref.preferences,0,13,79,51,0.53,0.4,2088
osx,0,1,n/a,n/a,n/a,n/a,69
osx.macadapter,0,1,1,1,0.5,0.5,69
org.jabref.model.texparser,0,4,10,5,0.42,0.33,273
org.jabref.model.util,0,7,52,6,0.61,0.1,403
org.jabref.preferences,0,13,88,74,0.47,0.47,2336
org.jabref.styletester,0,2,1,5,0.17,0.83,561
