V3-6,,,,,,,
Package,AC(rec),C(rec),Ca,Ce,D,I,LOC(rec)
,24,1264,n/a,n/a,n/a,n/a,101816
net,24,1263,n/a,n/a,n/a,n/a,101735
net.sf,24,1263,n/a,n/a,n/a,n/a,101735
net.sf.jabref,24,1263,142,65,0.69,0.32,101735
net.sf.jabref.cli,0,10,9,48,0.16,0.89,1050
net.sf.jabref.collab,1,21,28,100,0.08,0.8,1574
net.sf.jabref.event,0,3,4,2,0.67,0.33,41
net.sf.jabref.event.source,0,1,7,0,1,0,10
net.sf.jabref.external,0,33,72,143,0.26,0.66,3501
net.sf.jabref.gui,9,647,303,449,0.38,0.55,48735
net.sf.jabref.gui.actions,1,25,38,88,0.2,0.7,1461
net.sf.jabref.gui.autocompleter,1,8,9,6,0.43,0.36,779
net.sf.jabref.gui.auximport,0,2,1,7,0.12,0.88,187
net.sf.jabref.gui.bibtexkeypattern,0,4,4,24,0.14,0.86,445
net.sf.jabref.gui.cleanup,0,7,5,16,0.24,0.79,434
net.sf.jabref.gui.date,0,1,1,5,0.17,0.83,50
net.sf.jabref.gui.dbproperties,0,2,1,11,0.08,0.92,260
net.sf.jabref.gui.desktop,0,6,13,10,0.57,0.43,522
net.sf.jabref.gui.desktop.os,0,5,7,7,0.3,0.5,205
net.sf.jabref.gui.entryeditor,0,29,29,122,0.19,0.82,2266
net.sf.jabref.gui.exporter,0,15,13,66,0.16,0.85,1237
net.sf.jabref.gui.fieldeditors,0,24,22,44,0.24,0.67,1489
net.sf.jabref.gui.fieldeditors.contextmenu,0,5,6,19,0.24,0.75,210
net.sf.jabref.gui.groups,1,47,47,180,0.18,0.79,3789
net.sf.jabref.gui.help,0,6,17,19,0.47,0.53,249
net.sf.jabref.gui.importer,1,71,45,169,0.15,0.8,6911
net.sf.jabref.gui.importer.actions,0,6,10,51,0,0.84,603
net.sf.jabref.gui.importer.fetcher,0,23,25,162,0.05,0.88,3109
net.sf.jabref.gui.importer.worker,0,1,1,7,0.12,0.88,88
net.sf.jabref.gui.journals,0,14,11,54,0.17,0.85,799
net.sf.jabref.gui.keyboard,0,22,67,27,0.71,0.24,1264
net.sf.jabref.gui.maintable,0,24,33,66,0.33,0.72,2007
net.sf.jabref.gui.menus,0,9,10,29,0.26,0.75,418
net.sf.jabref.gui.mergeentries,0,4,8,35,0.19,0.81,701
net.sf.jabref.gui.net,0,2,3,1,0.75,0.25,16
net.sf.jabref.gui.openoffice,0,28,20,72,0.22,0.81,3023
net.sf.jabref.gui.plaintextimport,1,13,13,35,0.19,0.76,671
net.sf.jabref.gui.preftabs,1,48,44,170,0.16,0.84,4345
net.sf.jabref.gui.protectedterms,0,10,7,27,0.21,0.81,520
net.sf.jabref.gui.push,1,17,20,65,0.11,0.78,1025
net.sf.jabref.gui.remote,0,1,2,5,0.29,0.71,21
net.sf.jabref.gui.renderer,0,3,6,5,0.55,0.45,113
net.sf.jabref.gui.search,0,17,13,54,0.19,0.81,1012
net.sf.jabref.gui.search.matchers,0,2,2,2,0.5,0.5,28
net.sf.jabref.gui.shared,0,8,5,28,0.15,0.85,510
net.sf.jabref.gui.undo,0,12,76,52,0.59,0.41,525
net.sf.jabref.gui.util,0,13,28,2,0.93,0.07,548
net.sf.jabref.gui.util.comparator,0,4,6,7,0.46,0.54,115
net.sf.jabref.gui.util.component,0,5,9,0,1,0,289
net.sf.jabref.gui.worker,1,6,23,21,0.02,0.48,322
net.sf.jabref.logic,8,391,12,8,0.6,0.4,35308
net.sf.jabref.logic.autocompleter,1,12,25,25,0.33,0.5,625
net.sf.jabref.logic.auxparser,0,2,5,5,0.5,0.5,220
net.sf.jabref.logic.bibtex,0,12,27,17,0.61,0.39,861
net.sf.jabref.logic.bibtex.comparator,0,7,14,8,0.64,0.38,362
net.sf.jabref.logic.bibtexkeypattern,0,2,19,10,0.66,0.34,1299
net.sf.jabref.logic.bst,0,21,20,19,0.41,0.52,2174
