Chidamber-Kemerer metrics,Mon, 18 May 2020 19:24:28 CEST,,,,,,,,
Class,CBO,CSOA,DIT,LCOM,MPC,NOC,OCavg,OPavg,RFC,WMC
oracle.jdbc.OracleConnection,2,58,0,56,0,0,1,0.96,56,56
oracle.jdbc.OracleStatement,2,1,0,1,0,0,1,1,1,1
oracle.jdbc.dcn.DatabaseChangeEvent,2,0,0,0,0,0,n/a,0,0,0
oracle.jdbc.dcn.DatabaseChangeListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
oracle.jdbc.dcn.DatabaseChangeRegistration,4,1,0,1,0,0,1,1,1,1
oracle.jdbc.driver.OracleDriver,0,0,0,0,0,0,n/a,0,0,0
org.jabref.FallbackExceptionHandler,2,3,0,2,3,0,1,1,2,2
org.jabref.Globals,199,23,0,1,54,0,1.3,0,22,13
org.jabref.JabRefException,8,8,0,1,8,2,1.17,1.5,6,7
org.jabref.JabRefExecutorService,27,18,0,2,7,0,1.17,1.08,13,14
org.jabref.JabRefExecutorService.NamedRunnable,1,4,0,1,7,0,1,1,2,2
org.jabref.JabRefGUI,45,15,0,1,136,0,4.5,0.62,44,36
org.jabref.JabRefMain,26,6,0,1,77,0,3,0.75,59,12
org.jabref.architecture.ApacheCommonsLang3Allowed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.cli.ArgumentProcessor,52,25,0,2,330,0,3.95,0.85,128,79
org.jabref.cli.ArgumentProcessor.Mode,3,2,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.cli.AuxCommandLine,7,4,0,1,7,0,1.5,1,8,3
org.jabref.cli.CrossrefFetcherEvaluator,11,2,0,1,39,0,2.67,0.5,9,8
org.jabref.cli.GenerateCharacterTable,1,2,0,1,35,0,2,0.5,2,4
org.jabref.cli.ImportInspectionCommandLine,7,7,0,1,8,0,1.33,1.67,6,4
org.jabref.cli.JabRefCLI,6,38,0,4,163,0,1,0.03,57,35
org.jabref.cli.SystemOutputPrinter,3,6,0,3,3,0,1,1.67,3,3
org.jabref.gui.AbstractController,12,5,0,2,1,8,1,0.33,3,3
org.jabref.gui.AbstractDialogView,7,7,1,1,n/a,6,1,0.33,5,2
org.jabref.gui.AbstractView,15,4,0,1,18,3,1.5,0.25,5,6
org.jabref.gui.AbstractViewModel,11,0,0,0,0,10,n/a,0,0,0
org.jabref.gui.BasePanel,243,132,0,7,18,0,2.4,0.45,315,257
org.jabref.gui.BasePanel.EntryRemovedListener,8,1,0,1,9,0,3,1,8,3
org.jabref.gui.BasePanel.GroupTreeListener,8,1,0,1,7,0,3,1,5,3
org.jabref.gui.BasePanel.OpenURLAction,9,2,0,1,45,0,7,0,10,7
org.jabref.gui.BasePanel.PrintPreviewAction,3,2,0,1,2,0,1,0,3,1
org.jabref.gui.BasePanel.RedoAction,7,2,0,1,10,0,1,0,9,1
org.jabref.gui.BasePanel.SaveSelectedAction,15,4,0,1,18,0,1.5,0.5,13,3
org.jabref.gui.BasePanel.SearchAndOpenFile,11,4,0,1,26,0,2.5,1,15,5
org.jabref.gui.BasePanel.SearchAutoCompleteListener,5,2,0,1,4,0,1,1,4,2
org.jabref.gui.BasePanel.SearchListener,6,3,0,1,8,0,1,1,6,3
org.jabref.gui.BasePanel.UndoAction,9,2,0,1,15,0,3,0,11,3
org.jabref.gui.BasePanelMode,5,4,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.gui.ClipBoardManager,24,10,0,2,30,0,1.57,0.86,16,11
org.jabref.gui.DefaultInjector,9,3,0,1,9,0,4.5,1.5,4,9
org.jabref.gui.Dialog,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.DialogService,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,21,n/a
org.jabref.gui.DragAndDropDataFormats,3,3,0,0,0,0,n/a,0,0,0
org.jabref.gui.DragDropPane,2,4,0,0,12,1,4,0,2,12
org.jabref.gui.DragDropPane.MarkerPane,4,5,0,1,12,0,1,0.67,7,3
org.jabref.gui.DragDropPopupPane,2,7,1,1,8,0,1.33,1,2,4
org.jabref.gui.DuplicateResolverDialog,16,22,1,1,73,0,1.86,2,19,13
org.jabref.gui.DuplicateResolverDialog.DuplicateResolverResult,4,7,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.gui.DuplicateResolverDialog.DuplicateResolverType,4,4,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.gui.DuplicateSearch,16,5,0,1,4,0,6.33,0.5,17,19
org.jabref.gui.DuplicateSearch.DuplicateCallBack,7,11,0,1,4,0,1,1,7,4
org.jabref.gui.DuplicateSearch.SearcherRunnable,5,4,0,1,11,0,2,0,6,6
org.jabref.gui.EntryContainer,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.EntryMarker,16,10,0,1,94,0,4.83,2,17,29
org.jabref.gui.EntryTypeDialog,22,26,1,2,74,0,1.78,0.5,24,16
org.jabref.gui.EntryTypeDialog.CancelAction,1,2,0,1,3,0,1,0.5,3,2
org.jabref.gui.EntryTypeDialog.FetcherWorker,16,6,0,1,74,0,4,0,26,8
org.jabref.gui.EntryTypeDialog.TypeButton,2,4,0,1,4,0,1,1,4,3
org.jabref.gui.FXDialog,12,11,0,3,63,0,1.33,1.7,13,16
org.jabref.gui.FXDialogService,39,42,0,10,94,0,1.05,1.82,32,23
org.jabref.gui.FindUnlinkedFilesDialog,28,81,1,2,2,0,1.97,1.17,50,67
org.jabref.gui.FindUnlinkedFilesDialog.BibtexEntryTypeWrapper,3,4,0,1,2,0,1.33,0.33,5,4
org.jabref.gui.FindUnlinkedFilesDialog.CheckableTreeNode,3,7,0,2,5,0,1.2,0.4,5,6
org.jabref.gui.FindUnlinkedFilesDialog.CheckboxTreeCellRenderer,3,2,0,1,15,0,3,7,4,3
org.jabref.gui.FindUnlinkedFilesDialog.FileNodeWrapper,3,5,0,0,2,0,1,1,3,3
org.jabref.gui.GUIGlobals,32,21,0,1,102,0,1.8,0.4,22,9
org.jabref.gui.GenFieldsCustomizer,13,27,1,1,93,0,1.83,0.2,22,11
org.jabref.gui.GlobalFocusListener,7,5,0,2,2,0,1.25,0.75,4,5
org.jabref.gui.IconTheme,88,16,0,3,14,0,1.38,0.62,11,11
org.jabref.gui.IconTheme.FontBasedIcon,8,11,0,1,14,0,1,1.25,10,8
org.jabref.gui.IconTheme.JabRefIcon,82,119,n/a,2,n/a,n/a,1,0.38,12,8
org.jabref.gui.JEditorPaneWithHighlighting,2,4,0,1,16,0,2,0.5,2,4
org.jabref.gui.JabRefDialog,38,9,0,1,18,37,1,2.67,10,9
org.jabref.gui.JabRefFrame,203,230,0,4,13,0,2.27,0.59,266,184
org.jabref.gui.JabRefFrame.BibtexKeyPatternAction,5,6,1,1,8,0,1.5,0.5,9,3
org.jabref.gui.JabRefFrame.ChangeTabAction,6,6,1,1,12,0,3.5,1,6,7
org.jabref.gui.JabRefFrame.CloseAction,6,5,1,1,9,0,1,0.5,8,2
org.jabref.gui.JabRefFrame.CloseAllDatabasesAction,3,4,1,1,2,0,2,1,2,2
org.jabref.gui.JabRefFrame.CloseDatabaseAction,8,5,1,1,11,0,1,0.5,11,2
org.jabref.gui.JabRefFrame.CloseOtherDatabasesAction,3,4,1,1,4,0,3,1,3,3
org.jabref.gui.JabRefFrame.CustomizeEntryTypeAction,4,5,1,1,4,0,1,0.5,5,2
org.jabref.gui.JabRefFrame.CustomizeExportsAction,4,5,1,1,3,0,1,0.5,5,2
org.jabref.gui.JabRefFrame.CustomizeImportsAction,4,5,1,1,3,0,1,0.5,5,2
org.jabref.gui.JabRefFrame.DatabasePropertiesAction,4,6,1,1,7,0,1.5,0.5,9,3
org.jabref.gui.JabRefFrame.DecreaseTableFontSizeAction,8,5,1,1,13,0,2,0.5,10,4
org.jabref.gui.JabRefFrame.DefaultTableFontSizeAction,9,5,1,1,13,0,1.5,0.5,11,3
org.jabref.gui.JabRefFrame.EditAction,4,6,1,1,13,0,1.5,3,6,3
org.jabref.gui.JabRefFrame.EditModeAction,5,3,0,1,25,0,1.67,0.33,13,5
org.jabref.gui.JabRefFrame.GenFieldsCustomizationAction,4,5,1,1,4,0,1,0.5,5,2
org.jabref.gui.JabRefFrame.GeneralAction,3,12,1,1,22,0,1.12,3.12,11,9
org.jabref.gui.JabRefFrame.IncreaseTableFontSizeAction,8,5,1,1,13,0,1.5,0.5,10,3
org.jabref.gui.JabRefFrame.MyGlassPane,1,2,0,1,4,0,1,0,2,2
org.jabref.gui.JabRefFrame.ProtectedTermsAction,4,5,1,1,3,0,1,0.5,6,2
org.jabref.gui.JabRefFrame.ShowPrefsAction,5,5,1,1,7,0,1,0.5,8,2
org.jabref.gui.JabRefFrame.ToolBar,4,7,1,1,13,0,3,1,4,6
org.jabref.gui.JabRefFrame.UndoRedoEventManager,5,3,0,1,13,0,1,1,9,3
org.jabref.gui.MergeDialog,7,28,1,1,48,0,1,0.43,10,8
org.jabref.gui.OSXCompatibleToolbar,10,5,0,1,5,1,1.4,1,5,7
org.jabref.gui.PreambleEditor,19,21,1,2,5,0,1,0.8,20,8
org.jabref.gui.PreambleEditor.CloseAction,4,2,0,1,5,0,1,0.5,5,2
org.jabref.gui.PreambleEditor.FieldListener,2,1,0,1,3,0,2,1,2,2
org.jabref.gui.PreambleEditor.RedoAction,5,2,0,1,4,0,1,0.5,4,2
org.jabref.gui.PreambleEditor.StoreFieldAction,8,2,0,1,15,0,2,0.5,12,4
org.jabref.gui.PreambleEditor.UndoAction,5,2,0,1,4,0,1,0.5,4,2
org.jabref.gui.PreviewPanel,38,33,0,1,167,0,1.6,0.6,44,32
org.jabref.gui.ReplaceStringDialog,10,25,1,3,87,0,1.86,1,15,13
org.jabref.gui.SaveOrderConfigDisplay,7,14,0,1,59,0,1,0.43,16,7
org.jabref.gui.SidePane,2,9,0,2,16,0,1.4,0.4,6,7
org.jabref.gui.SidePaneComponent,13,15,0,8,n/a,4,1,0.42,17,10
