Chidamber-Kemerer metrics,Mon, 18 May 2020 19:32:41 CEST,,,,,,,,
Class,CBO,CSOA,DIT,LCOM,MPC,NOC,OCavg,OPavg,RFC,WMC
net.sf.jabref.Globals,192,15,0,2,2,0,1.2,0,9,6
net.sf.jabref.JabRefException,8,7,0,1,7,1,1.2,1.6,7,6
net.sf.jabref.JabRefExecutorService,28,14,0,2,19,0,1.56,1,12,14
net.sf.jabref.JabRefExecutorService.AutoCleanupRunnable,1,5,0,1,2,0,1,1,2,2
net.sf.jabref.JabRefGUI,42,15,0,1,133,0,4.5,0.62,52,36
net.sf.jabref.JabRefMain,28,3,0,1,49,0,3.5,1,46,7
net.sf.jabref.cli.ArgumentProcessor,48,23,0,2,310,0,4.28,0.78,121,77
net.sf.jabref.cli.ArgumentProcessor.Mode,3,2,n/a,0,n/a,n/a,n/a,0,0,0
net.sf.jabref.cli.AuxCommandLine,5,4,0,1,6,0,1.5,1,7,3
net.sf.jabref.cli.CrossrefFetcherEvaluator,9,1,0,1,36,0,3.5,1,7,7
net.sf.jabref.cli.GenerateCharacterTable,1,1,0,1,35,0,3,1,1,3
net.sf.jabref.cli.ImportInspectionCommandLine,7,7,0,1,8,0,1.33,1.67,6,4
net.sf.jabref.cli.JabRefCLI,6,36,0,4,150,0,1,0.03,57,33
net.sf.jabref.cli.SystemOutputPrinter,3,6,0,3,3,0,1,1.67,3,3
net.sf.jabref.cli.XMPUtilMain,13,2,0,1,66,0,9,0.5,19,18
net.sf.jabref.collab.Change,15,10,0,3,n/a,11,1.17,0.62,8,7
net.sf.jabref.collab.ChangeDisplayDialog,8,11,0,2,57,0,3,1.5,17,12
net.sf.jabref.collab.ChangeScanner,42,23,0,1,219,0,5.58,2,69,67
net.sf.jabref.collab.ChangeScanner.DisplayResultCallback,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
net.sf.jabref.collab.EntryAddChange,10,15,1,2,9,0,1,1.33,12,3
net.sf.jabref.collab.EntryChange,9,14,1,2,37,0,3.33,2,15,10
net.sf.jabref.collab.EntryChange.FieldChange,9,20,1,2,37,0,2.67,3,10,8
net.sf.jabref.collab.EntryDeleteChange,10,17,1,2,12,0,1,1.67,14,3
net.sf.jabref.collab.FileUpdateListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
net.sf.jabref.collab.FileUpdateMonitor,6,12,0,1,25,0,2,0.88,19,16
net.sf.jabref.collab.FileUpdateMonitor.Entry,3,13,0,1,21,0,1.38,0.25,12,11
net.sf.jabref.collab.FileUpdatePanel,10,87,3,4,18,0,1.14,0.86,14,8
net.sf.jabref.collab.GroupChange,13,15,1,1,33,0,3,1.67,21,9
net.sf.jabref.collab.InfoPane,6,2,0,1,4,0,1,0.5,2,2
net.sf.jabref.collab.MetaDataChange,9,17,1,2,6,0,1,1.67,8,3
net.sf.jabref.collab.PreambleChange,8,17,1,2,31,0,1.67,1.67,10,5
net.sf.jabref.collab.StringAddChange,11,17,1,2,29,0,1.33,1.33,18,4
net.sf.jabref.collab.StringChange,12,21,1,2,45,0,2,2.67,18,6
net.sf.jabref.collab.StringNameChange,11,19,1,1,19,0,2,3,18,6
net.sf.jabref.collab.StringRemoveChange,9,19,1,2,20,0,1,2,15,3
net.sf.jabref.gui.BasePanel,257,128,0,4,42,0,2.67,0.44,327,272
net.sf.jabref.gui.BasePanel.AutoCompleteListener,5,2,0,1,4,0,1,1,4,2
net.sf.jabref.gui.BasePanel.GroupTreeListener,12,4,0,1,23,0,1.8,0.5,13,9
net.sf.jabref.gui.BasePanel.OpenURLAction,9,2,0,1,40,0,7,0,9,7
net.sf.jabref.gui.BasePanel.PrintPreviewAction,5,2,0,1,6,0,1,0,6,1
net.sf.jabref.gui.BasePanel.RedoAction,8,2,0,1,12,0,2,0,10,2
net.sf.jabref.gui.BasePanel.SaveSelectedAction,11,4,0,1,14,0,1.5,0.5,11,3
net.sf.jabref.gui.BasePanel.SearchAndOpenFile,11,4,0,1,37,0,5,1,18,10
net.sf.jabref.gui.BasePanel.SearchAutoCompleteListener,5,2,0,1,4,0,1,1,4,2
net.sf.jabref.gui.BasePanel.SearchListener,6,3,0,1,8,0,1,1,6,3
net.sf.jabref.gui.BasePanel.UndoAction,9,2,0,1,15,0,3,0,13,3
net.sf.jabref.gui.BasePanelMode,4,4,n/a,0,n/a,n/a,n/a,0,0,0
net.sf.jabref.gui.ClipBoardManager,19,6,0,2,32,0,2.25,0.75,21,9
net.sf.jabref.gui.DragDropPane,2,4,0,0,12,1,4,0,2,12
net.sf.jabref.gui.DragDropPane.MarkerPane,4,5,0,1,12,0,1,0.67,7,3
net.sf.jabref.gui.DragDropPopupPane,2,7,1,1,8,0,1.33,1,2,4
net.sf.jabref.gui.DuplicateResolverDialog,15,13,0,1,73,0,1.86,2,19,13
net.sf.jabref.gui.DuplicateResolverDialog.DuplicateResolverResult,4,7,n/a,0,n/a,n/a,n/a,0,0,0
net.sf.jabref.gui.DuplicateResolverDialog.DuplicateResolverType,4,4,n/a,0,n/a,n/a,n/a,0,0,0
net.sf.jabref.gui.DuplicateSearch,16,5,0,1,4,0,6.33,0.5,17,19
net.sf.jabref.gui.DuplicateSearch.DuplicateCallBack,7,11,0,1,4,0,1,1,7,4
net.sf.jabref.gui.DuplicateSearch.SearcherRunnable,5,4,0,1,11,0,2,0,6,6
