Chidamber-Kemerer metrics,Mon, 18 May 2020 19:33:56 CEST,,,,,,,,
Class,CBO,CSOA,DIT,LCOM,MPC,NOC,OCavg,OPavg,RFC,WMC
net.sf.jabref.BibDatabaseContext,118,29,0,1,53,0,1.52,1.17,39,35
net.sf.jabref.Defaults,11,3,0,0,0,0,1,0.5,2,2
net.sf.jabref.Globals,192,19,0,3,6,0,1.25,0.12,16,10
net.sf.jabref.JabRefException,4,7,0,1,7,0,1.2,1.6,7,6
net.sf.jabref.JabRefExecutorService,28,14,0,2,19,0,1.56,1,12,14
net.sf.jabref.JabRefExecutorService.AutoCleanupRunnable,1,5,0,1,2,0,1,1,2,2
net.sf.jabref.JabRefGUI,35,16,0,1,131,0,4.75,0.62,49,38
net.sf.jabref.JabRefMain,30,3,0,1,45,0,3.5,1,43,7
net.sf.jabref.MetaData,63,61,0,4,158,0,1.71,0.71,72,77
net.sf.jabref.cli.ArgumentProcessor,47,23,0,2,304,0,4.28,0.78,113,77
net.sf.jabref.cli.ArgumentProcessor.Mode,3,2,n/a,0,n/a,n/a,n/a,0,0,0
net.sf.jabref.cli.AuxCommandLine,5,4,0,1,6,0,1.5,1,7,3
net.sf.jabref.cli.CrossrefFetcherEvaluator,10,1,0,1,38,0,3.5,1,8,7
net.sf.jabref.cli.GenerateCharacterTable,1,1,0,1,35,0,3,1,1,3
net.sf.jabref.cli.ImportInspectionCommandLine,7,7,0,1,8,0,1.33,1.67,6,4
net.sf.jabref.cli.JabRefCLI,6,36,0,4,150,0,1,0.03,57,33
net.sf.jabref.cli.SystemOutputPrinter,3,6,0,3,3,0,1,1.67,3,3
net.sf.jabref.cli.XMPUtilMain,14,2,0,1,66,0,9,0.5,17,18
net.sf.jabref.collab.Change,15,10,0,3,n/a,11,1.17,0.62,8,7
net.sf.jabref.collab.ChangeDisplayDialog,8,11,0,2,57,0,3,1.5,17,12
net.sf.jabref.collab.ChangeScanner,42,23,0,1,212,0,5.92,2,73,71
net.sf.jabref.collab.ChangeScanner.DisplayResultCallback,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
net.sf.jabref.collab.EntryAddChange,12,15,1,2,10,0,1,1.33,13,3
net.sf.jabref.collab.EntryChange,9,14,1,2,37,0,3.33,2,15,10
net.sf.jabref.collab.EntryChange.FieldChange,9,20,1,2,37,0,2.67,3,10,8
net.sf.jabref.collab.EntryDeleteChange,12,17,1,2,13,0,1,1.67,15,3
net.sf.jabref.collab.FileUpdateListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
net.sf.jabref.collab.FileUpdateMonitor,6,12,0,1,23,0,2,0.88,18,16
net.sf.jabref.collab.FileUpdateMonitor.Entry,3,13,0,1,19,0,1.38,0.25,13,11
net.sf.jabref.collab.FileUpdatePanel,8,86,3,3,18,0,1.17,1,13,7
net.sf.jabref.collab.GroupChange,13,15,1,1,30,0,3,1.67,21,9
net.sf.jabref.collab.InfoPane,6,2,0,1,4,0,1,0.5,2,2
net.sf.jabref.collab.MetaDataChange,9,26,1,1,0,0,1.71,1.43,18,12
net.sf.jabref.collab.MetaDataChange.MetaDataChangeUnit,1,7,0,3,0,0,1,0.75,4,4
net.sf.jabref.collab.PreambleChange,8,17,1,2,31,0,1.67,1.67,10,5
net.sf.jabref.collab.StringAddChange,11,17,1,2,29,0,1.33,1.33,18,4
