V3-7,,,,,,,
Package,AC(rec),C(rec),Ca,Ce,D,I,LOC(rec)
,24,1327,n/a,n/a,n/a,n/a,105909
net,24,1326,n/a,n/a,n/a,n/a,105828
net.sf,24,1326,n/a,n/a,n/a,n/a,105828
net.sf.jabref,24,1326,83,45,0.65,0.35,105828
net.sf.jabref.cli,0,10,9,51,0.15,0.89,1060
net.sf.jabref.collab,1,20,28,97,0.07,0.79,1493
net.sf.jabref.gui,9,704,297,457,0.37,0.55,52236
net.sf.jabref.gui.actions,1,27,42,104,0.2,0.71,1495
net.sf.jabref.gui.autocompleter,1,8,9,6,0.43,0.36,786
net.sf.jabref.gui.autosaveandbackup,0,2,4,5,0.44,0.56,50
net.sf.jabref.gui.auximport,0,2,1,7,0.12,0.88,187
net.sf.jabref.gui.bibtexkeypattern,0,6,5,35,0.12,0.88,514
net.sf.jabref.gui.cleanup,0,7,5,19,0.21,0.82,450
net.sf.jabref.gui.date,0,1,1,4,0.2,0.8,52
net.sf.jabref.gui.dbproperties,0,2,1,11,0.08,0.92,260
net.sf.jabref.gui.desktop,0,6,14,12,0.54,0.46,523
net.sf.jabref.gui.desktop.os,0,5,7,7,0.3,0.5,205
net.sf.jabref.gui.entryeditor,0,28,30,117,0.2,0.8,2115
net.sf.jabref.gui.exporter,0,13,11,67,0.14,0.87,1178
net.sf.jabref.gui.externalfiles,0,17,25,116,0.1,0.84,2083
net.sf.jabref.gui.externalfiletype,0,13,47,37,0.56,0.41,1133
net.sf.jabref.gui.fieldeditors,0,31,27,67,0.22,0.71,1984
net.sf.jabref.gui.fieldeditors.contextmenu,0,5,6,23,0.21,0.79,222
net.sf.jabref.gui.filelist,0,8,27,22,0.35,0.45,588
net.sf.jabref.gui.groups,1,46,47,180,0.18,0.8,3814
net.sf.jabref.gui.help,0,6,16,18,0.47,0.53,268
net.sf.jabref.gui.importer,1,63,44,174,0.14,0.81,5860
net.sf.jabref.gui.importer.actions,0,6,10,54,0.01,0.84,553
net.sf.jabref.gui.importer.fetcher,0,16,16,124,0.01,0.89,2197
net.sf.jabref.gui.journals,0,14,11,56,0.16,0.86,796
net.sf.jabref.gui.keyboard,0,22,73,27,0.73,0.22,1309
net.sf.jabref.gui.maintable,0,29,32,72,0.31,0.74,2053
net.sf.jabref.gui.menus,0,4,10,35,0.22,0.78,407
net.sf.jabref.gui.mergeentries,0,7,11,45,0.2,0.8,735
net.sf.jabref.gui.net,0,2,3,1,0.75,0.25,16
