V4-1,,,,,,,
Package,AC(rec),C(rec),Ca,Ce,D,I,LOC(rec)
,33,1487,n/a,n/a,n/a,n/a,114870
oracle,0,6,n/a,n/a,n/a,n/a,334
oracle.jdbc,0,6,2,2,0.5,0.5,334
oracle.jdbc.dcn,0,3,6,2,0.42,0.25,23
oracle.jdbc.driver,0,1,0,0,0,1,7
org,33,1480,n/a,n/a,n/a,n/a,114467
org.jabref,33,1480,90,45,0.67,0.34,114467
org.jabref.architecture,0,1,0,0,1,1,9
org.jabref.cli,0,10,9,51,0.15,0.89,1073
org.jabref.gui,17,829,401,471,0.41,0.46,58590
org.jabref.gui.actions,1,27,41,103,0.19,0.72,1554
org.jabref.gui.autocompleter,1,24,39,33,0.4,0.46,809
org.jabref.gui.autosaveandbackup,0,2,4,5,0.44,0.56,52
org.jabref.gui.auximport,0,2,1,9,0.1,0.9,196
org.jabref.gui.bibtexkeypattern,0,6,5,35,0.12,0.88,517
org.jabref.gui.cleanup,0,7,5,18,0.22,0.81,460
org.jabref.gui.collab,1,18,22,104,0.06,0.84,1163
org.jabref.gui.contentselector,0,3,3,10,0.23,0.82,445
org.jabref.gui.copyfiles,0,7,8,27,0.23,0.77,296
org.jabref.gui.customentrytypes,0,8,10,32,0.24,0.8,826
org.jabref.gui.customjfx,0,1,4,0,1,0,51
org.jabref.gui.dbproperties,0,2,1,12,0.08,0.92,265
org.jabref.gui.desktop,0,6,15,13,0.54,0.46,622
org.jabref.gui.desktop.os,0,5,8,9,0.27,0.53,301
org.jabref.gui.documentviewer,3,13,12,25,0.09,0.7,688
org.jabref.gui.entryeditor,2,33,32,157,0.09,0.82,1902
org.jabref.gui.entryeditor.fileannotationtab,0,5,4,26,0.13,0.87,402
org.jabref.gui.errorconsole,0,5,3,14,0.18,0.82,337
org.jabref.gui.exporter,0,13,12,69,0.15,0.86,1177
org.jabref.gui.externalfiles,0,16,26,107,0.12,0.81,1892
org.jabref.gui.externalfiletype,0,13,48,39,0.55,0.42,1136
org.jabref.gui.fieldeditors,2,60,52,240,0.09,0.82,3140
org.jabref.gui.fieldeditors.contextmenu,0,5,5,17,0.23,0.77,202
org.jabref.gui.filelist,0,8,24,26,0.28,0.52,615
org.jabref.gui.groups,0,28,26,125,0.17,0.83,3295
org.jabref.gui.help,0,8,16,24,0.4,0.6,384
org.jabref.gui.importer,1,59,44,176,0.14,0.81,5566
org.jabref.gui.importer.actions,0,5,9,51,0.05,0.85,585
org.jabref.gui.importer.fetcher,0,13,14,96,0.03,0.88,1887
org.jabref.gui.journals,0,15,12,52,0.19,0.83,1116
org.jabref.gui.keyboard,0,22,75,34,0.69,0.28,1323
org.jabref.gui.logging,0,2,0,3,0,1,86
