V3-4,,,,,,,
Package,AC(rec),C(rec),Ca,Ce,D,I,LOC(rec)
,21,1190,n/a,n/a,n/a,n/a,106922
net,21,1176,n/a,n/a,n/a,n/a,106059
net.sf,21,1176,n/a,n/a,n/a,n/a,106059
net.sf.jabref,21,1176,207,75,0.73,0.26,106059
net.sf.jabref.bst,0,21,20,19,0.41,0.52,2344
net.sf.jabref.cli,0,4,7,24,0.23,0.86,714
net.sf.jabref.collab,1,21,28,96,0.08,0.79,1784
net.sf.jabref.event,1,5,20,9,0.49,0.31,113
net.sf.jabref.exporter,0,32,62,111,0.32,0.65,3698
net.sf.jabref.external,1,51,70,136,0.27,0.65,4871
net.sf.jabref.external.push,1,17,20,61,0.12,0.77,1177
net.sf.jabref.gui,7,525,315,488,0.37,0.55,41282
net.sf.jabref.gui.actions,1,22,41,80,0.23,0.66,1522
net.sf.jabref.gui.autocompleter,1,8,9,6,0.43,0.36,805
net.sf.jabref.gui.auximport,0,3,2,9,0.18,0.88,227
net.sf.jabref.gui.cleanup,0,7,5,14,0.26,0.76,439
net.sf.jabref.gui.date,0,1,1,3,0.25,0.75,52
net.sf.jabref.gui.dbproperties,0,2,1,8,0.11,0.89,251
net.sf.jabref.gui.desktop,0,6,11,9,0.55,0.45,465
net.sf.jabref.gui.desktop.os,0,5,7,7,0.3,0.5,205
net.sf.jabref.gui.entryeditor,0,27,30,117,0.2,0.8,2289
net.sf.jabref.gui.fieldeditors,0,23,22,43,0.25,0.66,1549
net.sf.jabref.gui.fieldeditors.contextmenu,0,4,5,14,0.26,0.71,169
net.sf.jabref.gui.groups,1,46,45,164,0.19,0.79,4006
net.sf.jabref.gui.help,0,4,26,13,0.67,0.33,319
net.sf.jabref.gui.journals,0,15,12,53,0.18,0.84,890
net.sf.jabref.gui.keyboard,0,9,50,14,0.78,0.22,550
net.sf.jabref.gui.labelpattern,0,4,4,22,0.15,0.85,480
net.sf.jabref.gui.maintable,0,24,34,64,0.35,0.7,2085
net.sf.jabref.gui.menus,0,11,10,26,0.28,0.73,520
net.sf.jabref.gui.menus.help,0,2,2,8,0.2,0.8,86
net.sf.jabref.gui.mergeentries,0,3,5,23,0.18,0.82,757
net.sf.jabref.gui.net,0,2,4,1,0.8,0.2,16
net.sf.jabref.gui.openoffice,0,28,20,67,0.23,0.79,2940
net.sf.jabref.gui.plaintextimport,1,13,13,32,0.21,0.75,729
net.sf.jabref.gui.preftabs,1,46,42,141,0.18,0.81,4501
net.sf.jabref.gui.remote,0,1,2,5,0.29,0.71,34
net.sf.jabref.gui.renderer,0,3,6,4,0.6,0.4,126
net.sf.jabref.gui.search,0,17,13,52,0.2,0.79,1074
net.sf.jabref.gui.search.matchers,0,2,2,2,0.5,0.5,54
net.sf.jabref.gui.undo,0,11,67,29,0.7,0.3,676
net.sf.jabref.gui.util,0,11,13,1,0.93,0.07,619
