V3-5,,,,,,,
Package,AC(rec),C(rec),Ca,Ce,D,I,LOC(rec)
,21,1201,n/a,n/a,n/a,n/a,107053
net,21,1200,n/a,n/a,n/a,n/a,106972
net.sf,21,1200,n/a,n/a,n/a,n/a,106972
net.sf.jabref,21,1200,207,77,0.73,0.27,106972
net.sf.jabref.bst,0,21,20,19,0.41,0.52,2344
net.sf.jabref.cli,0,4,7,24,0.23,0.86,727
net.sf.jabref.collab,1,21,28,96,0.08,0.79,1784
net.sf.jabref.event,1,5,18,10,0.44,0.36,117
net.sf.jabref.exporter,0,32,62,108,0.33,0.64,3691
net.sf.jabref.external,1,51,70,133,0.27,0.65,4866
net.sf.jabref.external.push,1,17,20,61,0.12,0.77,1177
net.sf.jabref.gui,7,542,311,485,0.37,0.55,42265
net.sf.jabref.gui.actions,1,24,43,83,0.24,0.66,1580
net.sf.jabref.gui.autocompleter,1,8,9,6,0.43,0.36,805
net.sf.jabref.gui.auximport,0,3,2,9,0.18,0.88,227
net.sf.jabref.gui.cleanup,0,7,5,14,0.26,0.76,439
net.sf.jabref.gui.date,0,1,1,3,0.25,0.75,52
net.sf.jabref.gui.dbproperties,0,2,1,8,0.11,0.89,251
net.sf.jabref.gui.desktop,0,6,11,9,0.55,0.45,500
net.sf.jabref.gui.desktop.os,0,5,7,7,0.3,0.5,205
net.sf.jabref.gui.entryeditor,0,28,30,117,0.2,0.8,2326
net.sf.jabref.gui.fieldeditors,0,23,22,43,0.25,0.66,1549
net.sf.jabref.gui.fieldeditors.contextmenu,0,4,5,14,0.26,0.71,169
net.sf.jabref.gui.groups,1,47,46,160,0.2,0.77,4035
net.sf.jabref.gui.help,0,6,27,17,0.61,0.39,362
net.sf.jabref.gui.journals,0,15,12,52,0.19,0.84,886
net.sf.jabref.gui.keyboard,0,22,65,26,0.71,0.23,1327
net.sf.jabref.gui.labelpattern,0,4,4,22,0.15,0.85,482
net.sf.jabref.gui.maintable,0,24,34,65,0.34,0.7,2095
net.sf.jabref.gui.menus,0,9,10,26,0.28,0.73,435
net.sf.jabref.gui.mergeentries,0,3,5,23,0.18,0.82,758
net.sf.jabref.gui.net,0,2,4,1,0.8,0.2,16
net.sf.jabref.gui.openoffice,0,28,20,66,0.23,0.79,2944
net.sf.jabref.gui.plaintextimport,1,13,13,32,0.21,0.75,729
net.sf.jabref.gui.preftabs,1,46,42,141,0.18,0.81,4499
net.sf.jabref.gui.remote,0,1,2,5,0.29,0.71,34
net.sf.jabref.gui.renderer,0,3,6,4,0.6,0.4,126
net.sf.jabref.gui.search,0,17,13,52,0.2,0.79,1074
net.sf.jabref.gui.search.matchers,0,2,2,2,0.5,0.5,54
net.sf.jabref.gui.undo,0,11,67,29,0.7,0.3,676
net.sf.jabref.gui.util,0,11,13,1,0.93,0.07,619
net.sf.jabref.gui.util.comparator,0,4,6,8,0.43,0.57,166
net.sf.jabref.gui.util.component,0,4,7,0,1,0,316
net.sf.jabref.gui.worker,1,6,26,19,0.08,0.42,395
net.sf.jabref.importer,2,89,63,144,0.18,0.69,13275
net.sf.jabref.importer.fetcher,0,31,37,164,0.12,0.83,4333
net.sf.jabref.importer.fileformat,1,23,38,77,0.29,0.67,5649
net.sf.jabref.logic,6,281,10,8,0.56,0.44,25717
net.sf.jabref.logic.autocompleter,1,12,25,24,0.34,0.49,739
net.sf.jabref.logic.auxparser,0,2,5,5,0.5,0.5,219
net.sf.jabref.logic.bibtex,0,10,17,13,0.57,0.43,927
net.sf.jabref.logic.bibtex.comparator,0,7,14,9,0.61,0.41,458
net.sf.jabref.logic.cleanup,0,12,21,51,0.21,0.74,813
net.sf.jabref.logic.config,0,2,8,2,0.8,0.29,181
net.sf.jabref.logic.error,0,2,3,1,0.75,0.25,92
net.sf.jabref.logic.formatter,0,26,12,7,0.3,0.37,2477
net.sf.jabref.logic.formatter.bibtexfields,0,12,31,33,0.48,0.52,815
net.sf.jabref.logic.formatter.casechanger,0,10,16,21,0.43,0.57,1421
net.sf.jabref.logic.formatter.minifier,0,1,1,2,0.33,0.67,64
net.sf.jabref.logic.fulltext,0,10,10,26,0.18,0.72,585
net.sf.jabref.logic.groups,2,13,53,41,0.41,0.44,2017
net.sf.jabref.logic.integrity,0,17,18,51,0.2,0.67,430
net.sf.jabref.logic.journals,0,4,21,4,0.84,0.16,366
net.sf.jabref.logic.l10n,0,6,60,2,0.97,0.03,240
net.sf.jabref.logic.labelpattern,1,4,18,11,0.37,0.38,1476
net.sf.jabref.logic.layout,1,69,23,19,0.12,0.45,5057
net.sf.jabref.logic.layout.format,0,62,77,113,0.41,0.6,3796
net.sf.jabref.logic.logging,0,3,4,1,0.8,0.2,120
net.sf.jabref.logic.mods,0,4,6,10,0.38,0.62,543
net.sf.jabref.logic.msbib,0,6,8,16,0.33,0.67,744
net.sf.jabref.logic.net,0,7,17,5,0.77,0.23,644
net.sf.jabref.logic.openoffice,0,10,18,18,0.5,0.55,1787
net.sf.jabref.logic.preferences,0,1,2,1,0.67,0.33,37
net.sf.jabref.logic.remote,0,8,3,1,0.75,0.25,301
net.sf.jabref.logic.remote.client,0,1,1,2,0.33,0.67,40
net.sf.jabref.logic.remote.server,0,4,6,5,0.3,0.45,170
net.sf.jabref.logic.remote.shared,0,1,2,0,1,0,57
net.sf.jabref.logic.search,1,27,18,11,0.29,0.38,1088
net.sf.jabref.logic.search.matchers,1,6,11,10,0.36,0.56,149
