V5-0,Mon, 18 May 2020 19:09:08 CEST,,,,,,,,
Class,CBO,CSOA,DIT,LCOM,MPC,NOC,OCavg,OPavg,RFC,WMC
org.jabref.gui.fieldeditors.PersonsEditorViewModel,10,16,2,3,2,0,1,1.25,8,4
org.jabref.gui.fieldeditors.SimpleEditor,17,12,0,3,17,1,1.4,2,17,7
org.jabref.gui.fieldeditors.SimpleEditorViewModel,7,13,2,1,1,0,1,1.5,3,2
org.jabref.gui.fieldeditors.TextInputControlBehavior,4,4,0,3,147,0,7.67,2.33,4,23
org.jabref.gui.fieldeditors.TypeEditorViewModel,6,24,4,2,18,0,1,1.33,7,3
org.jabref.gui.fieldeditors.URLUtil,3,6,0,3,35,0,3.75,0.75,6,15
org.jabref.gui.fieldeditors.UrlEditor,16,12,0,2,18,0,1,1.4,17,5
org.jabref.gui.fieldeditors.UrlEditorViewModel,10,17,2,2,12,0,1.25,1,8,5
org.jabref.gui.fieldeditors.YesNoEditorViewModel,5,24,4,2,4,0,1,1.33,6,3
org.jabref.gui.fieldeditors.contextmenu.CaseChangeMenu,6,1,0,0,16,0,2,1,7,2
org.jabref.gui.fieldeditors.contextmenu.ClearField,2,1,0,0,4,0,1,1,2,1
org.jabref.gui.fieldeditors.contextmenu.ConversionMenu,4,1,0,0,13,0,2,1,6,2
org.jabref.gui.fieldeditors.contextmenu.EditorMenus,16,4,0,2,37,0,1,1,15,4
org.jabref.gui.fieldeditors.contextmenu.ProtectedTermsMenu,7,5,0,1,39,0,2.5,0.5,8,5
org.jabref.gui.filelist.AttachFileAction,19,10,1,1,28,0,1.5,1,22,3
org.jabref.gui.filelist.FileListEntry,2,16,0,1,34,0,1.15,0.85,14,15
org.jabref.gui.filelist.LinkedFileEditDialogView,10,17,1,1,26,0,1.33,0.67,12,4
org.jabref.gui.filelist.LinkedFilesEditDialogViewModel,13,20,1,2,61,0,1.5,0.8,27,15
org.jabref.gui.groups.GroupDescriptions,8,5,0,2,74,0,3.2,1,12,16
org.jabref.gui.groups.GroupDialogView,11,37,1,1,129,0,1.5,1,46,6
org.jabref.gui.groups.GroupDialogViewModel,32,77,0,3,218,0,1.7,0.12,88,68
org.jabref.gui.groups.GroupModeViewModel,4,4,0,1,5,0,2.33,0.33,5,7
org.jabref.gui.groups.GroupNodeViewModel,27,50,0,8,111,0,1.29,0.8,73,45
org.jabref.gui.groups.GroupSidePane,13,33,1,5,25,0,1.2,0.4,20,12
org.jabref.gui.groups.GroupTreeNodeViewModel,17,25,0,1,88,0,1.57,0.52,48,36
org.jabref.gui.groups.GroupTreeView,18,22,0,1,10,0,3,1,40,27
org.jabref.gui.groups.GroupTreeView.DragExpansionHandler,2,4,0,1,10,0,3,1,1,3
org.jabref.gui.groups.GroupTreeViewModel,17,30,1,4,141,0,1.47,0.84,47,28
org.jabref.gui.groups.GroupViewMode,5,2,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.gui.groups.MoveGroupChange,2,9,0,4,0,0,1,0.8,5,5
org.jabref.gui.groups.UndoableAddOrRemoveGroup,6,15,1,1,43,0,4.4,0.8,18,22
org.jabref.gui.groups.UndoableChangeEntriesOfGroup,5,2,0,1,3,0,2,1,6,4
org.jabref.gui.groups.UndoableModifySubtree,5,11,1,2,20,0,1.75,0.75,11,7
org.jabref.gui.groups.UndoableMoveGroup,6,11,1,2,29,0,1,0.5,14,4
org.jabref.gui.help.AboutAction,3,7,1,1,1,0,1,0,2,1
org.jabref.gui.help.AboutDialogView,8,21,1,1,17,0,1,0,21,10
org.jabref.gui.help.AboutDialogViewModel,9,40,1,8,52,0,1.04,0.17,32,24
org.jabref.gui.help.ErrorConsoleAction,3,7,1,1,1,0,1,0,2,1
org.jabref.gui.help.HelpAction,19,11,1,1,6,0,1,0.5,6,5
org.jabref.gui.help.NewVersionDialog,8,6,1,0,27,0,3,2,7,3
org.jabref.gui.help.SearchForUpdateAction,7,12,1,1,3,0,1,2,6,2
org.jabref.gui.help.VersionWorker,9,11,0,1,31,0,1.5,1.33,13,9
org.jabref.gui.icon.IconTheme,65,14,0,2,73,0,1.33,0.44,11,12
org.jabref.gui.icon.IconTheme.JabRefIcons,62,173,n/a,1,n/a,n/a,1,0.44,13,9
org.jabref.gui.icon.InternalMaterialDesignIcon,5,18,0,1,26,0,1,0.64,12,11
org.jabref.gui.icon.JabRefIcon,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
org.jabref.gui.icon.JabRefIconView,2,8,0,2,10,0,1,0.57,8,7
org.jabref.gui.icon.JabRefMaterialDesignIcon,1,19,n/a,2,n/a,n/a,1,0.33,3,3
org.jabref.gui.importer.AppendDatabaseDialog,3,15,1,1,31,0,1,0,7,6
org.jabref.gui.importer.ImportAction,23,10,0,1,62,0,4,1.5,32,16
org.jabref.gui.importer.ImportCommand,14,12,1,1,29,0,1.67,2,21,5
org.jabref.gui.importer.ImportCustomEntryTypesDialog,8,14,1,1,28,0,1.67,1,7,5
org.jabref.gui.importer.ImportCustomEntryTypesDialogViewModel,7,8,0,3,17,0,2.25,1.25,9,9
org.jabref.gui.importer.ImportCustomizationDialog,10,18,1,1,41,0,1,0,12,2
org.jabref.gui.importer.ImportCustomizationDialogViewModel,13,12,1,1,70,0,1.71,0.57,21,12
org.jabref.gui.importer.ImportEntriesDialog,25,22,1,1,100,0,2.33,0.67,25,14
org.jabref.gui.importer.ImportEntriesViewModel,19,18,1,2,68,0,2.78,1.44,32,25
org.jabref.gui.importer.ManageCustomImportsAction,4,8,1,1,1,0,1,0,4,2
org.jabref.gui.importer.NewDatabaseAction,4,10,1,1,2,0,1,1,5,2
org.jabref.gui.importer.NewEntryAction,12,15,1,1,23,0,1.75,2.5,13,7
org.jabref.gui.importer.ParserResultWarningDialog,6,3,0,1,20,0,2.33,1.67,10,7
org.jabref.gui.importer.UnlinkedFilesCrawler,6,41,1,1,30,0,3.67,1.67,9,11
org.jabref.gui.importer.UnlinkedPDFFileFilter,5,4,0,1,3,0,1,1.5,5,2
org.jabref.gui.importer.actions.AppendDatabaseAction,34,10,0,1,75,0,3.8,3,55,19
org.jabref.gui.importer.actions.CheckForNewEntryTypesAction,12,6,0,1,16,0,1,1.25,11,4
org.jabref.gui.importer.actions.GUIPostOpenAction,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jabref.gui.importer.actions.MergeReviewIntoCommentAction,8,4,0,2,8,0,1.5,1.5,10,3
org.jabref.gui.importer.actions.MergeReviewIntoCommentConfirmationDialog,4,3,0,1,12,0,1,1,4,2
org.jabref.gui.importer.actions.OpenDatabaseAction,26,19,1,1,85,0,2.67,1.44,49,24
org.jabref.gui.importer.fetcher.LookupIdentifierAction,20,15,1,1,57,0,1.5,1.25,18,12
org.jabref.gui.importer.fetcher.WebSearchPane,16,29,1,4,41,0,1.14,0.43,24,8
org.jabref.gui.importer.fetcher.WebSearchPaneViewModel,15,13,0,2,39,0,1.38,0.5,21,11
org.jabref.gui.integrity.IntegrityCheckAction,17,12,1,1,33,0,2,1.5,18,6
org.jabref.gui.integrity.IntegrityCheckDialog,6,21,1,2,80,0,3.2,0.6,9,16
org.jabref.gui.integrity.IntegrityCheckDialogViewModel,3,3,1,1,1,0,1,0.5,2,2
org.jabref.gui.journals.AbbreviateAction,14,7,0,1,32,0,1.33,0.67,17,4
org.jabref.gui.journals.AbbreviationType,3,3,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.gui.journals.AbbreviationViewModel,4,20,0,5,16,0,1.13,0.33,18,17
org.jabref.gui.journals.AbbreviationsFileViewModel,6,15,0,1,28,0,1.27,0.36,14,14
org.jabref.gui.journals.ManageJournalAbbreviationsView,13,36,1,1,101,0,1,0,33,13
org.jabref.gui.journals.ManageJournalAbbreviationsViewModel,16,48,1,3,182,0,1.77,0.73,52,53
org.jabref.gui.journals.ManageJournalsAction,3,7,1,1,1,0,1,0,2,1
org.jabref.gui.journals.UnabbreviateAction,12,5,0,1,25,0,1.33,0.33,16,4
org.jabref.gui.journals.UndoableAbbreviator,8,5,0,1,15,0,3.67,2.33,13,11
org.jabref.gui.journals.UndoableUnabbreviator,7,3,0,1,11,0,3,2.5,11,6
org.jabref.gui.keyboard.CustomizeKeyBindingAction,3,7,1,1,1,0,1,0,2,1
org.jabref.gui.keyboard.KeyBinding,17,94,n/a,4,n/a,n/a,1,0.8,6,5
org.jabref.gui.keyboard.KeyBindingCategory,5,10,n/a,1,n/a,n/a,1,0.5,4,2
org.jabref.gui.keyboard.KeyBindingRepository,25,20,0,1,63,0,1.53,0.94,20,26
org.jabref.gui.keyboard.KeyBindingViewModel,8,20,0,2,31,0,1.77,0.54,20,23
org.jabref.gui.keyboard.KeyBindingsDialogView,12,20,1,1,46,0,1,0,17,5
org.jabref.gui.keyboard.KeyBindingsDialogViewModel,8,12,1,1,32,0,1.86,0.57,22,13
org.jabref.gui.libraryproperties.LibraryPropertiesAction,7,10,1,1,4,0,1,1.5,6,2
org.jabref.gui.libraryproperties.LibraryPropertiesDialogView,13,26,1,1,109,0,2.43,0.71,58,17
org.jabref.gui.libraryproperties.LibraryPropertiesDialogViewModel,11,33,0,8,67,0,1,0.17,36,18
org.jabref.gui.logging.ApplicationInsightsAppender,3,67,3,2,4,0,1.33,1.67,13,4
org.jabref.gui.logging.ApplicationInsightsAppender.Builder,1,17,2,1,4,0,1,0,5,1
org.jabref.gui.logging.ApplicationInsightsLogEvent,1,7,0,1,42,0,3.17,0.17,20,19
org.jabref.gui.logging.GuiAppender,3,67,3,2,4,0,1,1.67,8,3
org.jabref.gui.logging.GuiAppender.Builder,1,17,2,1,4,0,1,0,5,1
org.jabref.gui.maintable.BibEntryTableViewModel,20,9,0,1,44,0,1.12,0.75,14,9
org.jabref.gui.maintable.CellFactory,11,3,0,1,26,0,2,1.5,9,4
org.jabref.gui.maintable.ColumnPreferences,8,7,0,2,0,0,1,0.67,3,3
org.jabref.gui.maintable.FieldColumn,14,12,1,1,37,0,2.8,1.2,12,14
org.jabref.gui.maintable.MainTable,35,27,0,8,181,0,2,1.4,59,40
org.jabref.gui.maintable.MainTableColumn,7,4,0,1,19,1,1,0.33,6,3
org.jabref.gui.maintable.MainTableColumnFactory,36,28,0,4,265,0,2.3,1.5,60,46
org.jabref.gui.maintable.MainTableColumnModel,13,21,0,3,56,0,1.53,0.53,18,23
org.jabref.gui.maintable.MainTableColumnModel.Type,5,15,n/a,2,n/a,n/a,1.4,0.8,7,7
org.jabref.gui.maintable.MainTableDataModel,15,9,0,2,34,0,1.5,0.83,18,9
org.jabref.gui.maintable.MainTableNameFormatter,4,2,0,1,9,0,3.5,0.5,7,7
org.jabref.gui.maintable.MainTablePreferences,5,7,0,3,0,0,1,0.75,4,4
org.jabref.gui.maintable.PersistenceVisualStateTable,5,4,0,1,31,0,1,1,7,2
org.jabref.gui.maintable.RightClickMenu,23,9,0,1,139,0,1.33,1.78,29,12
org.jabref.gui.maintable.SmartConstrainedResizePolicy,1,7,0,1,34,0,1.67,1.67,6,10
org.jabref.gui.menus.ChangeEntryTypeMenu,15,8,0,3,35,0,1.38,3.25,19,11
org.jabref.gui.menus.FileHistoryMenu,7,10,0,1,27,0,1.5,1.17,16,9
org.jabref.gui.mergeentries.DiffHighlighting,1,8,0,1,70,0,3,1.43,7,21
org.jabref.gui.mergeentries.FetchAndMergeEntry,27,11,0,2,100,0,3,2,32,18
org.jabref.gui.mergeentries.MergeEntries,16,37,0,1,230,0,3.17,1.17,39,57
org.jabref.gui.mergeentries.MergeEntries.DefaultRadioButtonSelectionMode,2,2,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.gui.mergeentries.MergeEntries.DiffMode,2,6,n/a,1,n/a,n/a,1,1,2,1
org.jabref.gui.mergeentries.MergeEntriesAction,15,10,1,1,33,0,2,1,19,4
org.jabref.gui.mergeentries.MergeEntriesDialog,7,10,1,1,12,0,1.25,1,9,5
org.jabref.gui.mergeentries.MergeWithFetchedEntryAction,10,5,0,1,11,0,1.5,1,10,3
org.jabref.gui.metadata.BibtexStringEditorAction,7,9,1,1,6,0,1,0.5,7,2
org.jabref.gui.metadata.BibtexStringEditorDialogView,10,20,1,1,64,0,1.4,0.8,19,7
org.jabref.gui.metadata.BibtexStringEditorDialogViewModel,8,15,1,5,29,0,1,0.27,21,11
org.jabref.gui.metadata.BibtexStringViewModel,3,16,0,7,30,0,1.7,0.6,11,17
org.jabref.gui.metadata.PreambleEditor,8,11,1,1,22,0,2,1.5,9,4
org.jabref.gui.openoffice.AdvancedCiteDialogView,4,12,1,1,15,0,1.5,0,6,3
org.jabref.gui.openoffice.AdvancedCiteDialogViewModel,2,6,0,3,0,0,1,0,3,3
org.jabref.gui.openoffice.BibEntryNotFoundException,2,3,0,1,1,0,1,1,2,2
org.jabref.gui.openoffice.Bootstrap,2,14,0,2,61,0,2.25,1.42,26,28
org.jabref.gui.openoffice.CitationEntryViewModel,3,9,0,1,10,0,1,0.83,9,6
org.jabref.gui.openoffice.ConnectionLostException,2,1,0,0,1,0,1,1,1,1
org.jabref.gui.openoffice.CreationException,2,1,0,0,1,0,1,1,1,1
org.jabref.gui.openoffice.DetectOpenOfficeInstallation,13,11,0,1,52,0,2,0.62,25,16
org.jabref.gui.openoffice.ManageCitationsDialogView,9,16,1,2,33,0,1.33,0.67,8,4
org.jabref.gui.openoffice.ManageCitationsDialogViewModel,6,7,0,1,19,0,2,0.67,13,6
org.jabref.gui.openoffice.ManualConnectDialogView,7,22,1,1,25,0,1.4,0.8,14,7
org.jabref.gui.openoffice.ManualConnectDialogViewModel,11,17,0,1,41,0,1.12,0.25,22,9
org.jabref.gui.openoffice.NoDocumentException,1,1,0,0,1,0,1,1,1,1
org.jabref.gui.openoffice.OOBibBase,25,67,0,2,2,0,4.45,1.71,122,169
org.jabref.gui.openoffice.OOBibBase.ComparableMark,1,7,0,2,2,0,1.6,0.8,5,8
org.jabref.gui.openoffice.OOBibBase.DocumentTitleViewModel,1,5,0,1,2,0,1,0.33,4,3
org.jabref.gui.openoffice.OpenOfficePanel,40,41,0,1,347,0,2.42,0.71,81,46
org.jabref.gui.openoffice.OpenOfficeSidePanel,11,30,1,4,8,0,1,0.43,14,7
org.jabref.gui.openoffice.StyleSelectDialogView,19,24,1,1,75,0,2,0.25,26,8
org.jabref.gui.openoffice.StyleSelectDialogViewModel,15,18,0,3,71,0,1.25,0.58,38,15
org.jabref.gui.openoffice.StyleSelectItemViewModel,5,14,0,6,7,0,1,0.5,11,8
org.jabref.gui.openoffice.UndefinedCharacterFormatException,2,3,0,1,1,0,1,0.5,2,2
org.jabref.gui.preferences.AbstractPreferenceTabView,20,15,0,2,n/a,15,1,0,9,5
org.jabref.gui.preferences.AdvancedTabView,14,41,1,2,111,0,1.2,0.6,30,6
org.jabref.gui.preferences.AdvancedTabViewModel,15,49,0,1,122,0,1.38,0.12,54,33
org.jabref.gui.preferences.AppearanceTabView,8,23,1,2,22,0,1,0.33,12,3
org.jabref.gui.preferences.AppearanceTabViewModel,6,22,0,1,51,0,1.7,0.2,17,17
org.jabref.gui.preferences.BibtexKeyPatternTabView,13,32,1,2,46,0,1,0.17,32,6
org.jabref.gui.preferences.BibtexKeyPatternTabViewModel,8,31,0,3,65,0,1.53,0.13,24,23
org.jabref.gui.preferences.EntryEditorTabView,6,32,1,2,46,0,1,0.33,19,3
org.jabref.gui.preferences.EntryEditorTabViewModel,6,40,0,3,56,0,1.47,0.11,33,28
org.jabref.gui.preferences.ExportSortingTabView,6,22,1,4,13,0,1,0.17,11,6
org.jabref.gui.preferences.ExternalTabView,9,43,1,2,90,0,1,0.22,35,9
org.jabref.gui.preferences.ExternalTabViewModel,14,49,0,4,98,0,1.31,0.12,42,34
org.jabref.gui.preferences.FileTabView,13,39,1,2,74,0,1,0.25,31,4
org.jabref.gui.preferences.FileTabViewModel,10,50,0,2,102,0,1.2,0.08,37,30
org.jabref.gui.preferences.GeneralTabView,14,41,1,2,102,0,1,0.33,32,3
org.jabref.gui.preferences.GeneralTabViewModel,8,56,0,1,110,0,1.15,0.07,44,31
org.jabref.gui.preferences.GroupsTabView,6,24,1,2,22,0,1,0.33,11,3
org.jabref.gui.preferences.GroupsTabViewModel,5,23,0,3,26,0,1.36,0.18,17,15
org.jabref.gui.preferences.ImportTabView,6,20,1,2,13,0,1,0.33,8,3
org.jabref.gui.preferences.ImportTabViewModel,4,18,0,4,9,0,1,0.25,10,8
org.jabref.gui.preferences.NameFormatterItemModel,3,12,0,2,10,0,1,0.5,10,10
org.jabref.gui.preferences.NameFormatterTabView,15,26,1,2,60,0,1.25,0.25,16,5
org.jabref.gui.preferences.NameFormatterTabViewModel,6,19,0,3,32,0,1.4,0.3,17,14
org.jabref.gui.preferences.PreferenceTabViewModel,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
org.jabref.gui.preferences.PreferencesDialogView,13,22,1,1,46,0,1.22,0.11,26,11
org.jabref.gui.preferences.PreferencesDialogViewModel,37,15,1,1,70,0,1.7,0.2,56,17
org.jabref.gui.preferences.PreferencesFilterDialog,6,19,1,1,44,0,1.67,0.33,6,5
org.jabref.gui.preferences.PreferencesSearchHandler,2,13,0,1,29,0,2.25,0.62,14,18
org.jabref.gui.preferences.PreferencesTab,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
org.jabref.gui.preferences.PreviewTabView,16,44,1,2,198,0,1.36,0.71,50,19
org.jabref.gui.preferences.PreviewTabView.EditAction,3,9,1,1,5,0,3.5,0.5,2,7
org.jabref.gui.preferences.PreviewTabViewModel,20,48,0,3,279,0,2.29,0.5,50,64
org.jabref.gui.preferences.ShowPreferencesAction,4,10,1,1,1,0,1,1,3,2
org.jabref.gui.preferences.TableColumnsTabView,16,35,1,2,73,0,1.22,0.11,35,11
org.jabref.gui.preferences.TableColumnsTabViewModel,17,43,0,2,138,0,1.48,0.13,44,37
org.jabref.gui.preferences.TableTabView,6,26,1,2,28,0,1,0.33,13,3
org.jabref.gui.preferences.TableTabViewModel,4,27,0,3,38,0,1.38,0.15,15,18
org.jabref.gui.preferences.XmpPrivacyTabView,14,26,1,2,64,0,1.25,0.25,19,5
org.jabref.gui.preferences.XmpPrivacyTabViewModel,7,23,0,2,48,0,1.25,0.25,18,15
org.jabref.gui.preview.CitationStyleToClipboardWorker,18,17,0,1,52,0,2,1.33,22,18
org.jabref.gui.preview.PreviewPanel,18,17,0,1,101,0,1.9,1,36,19
org.jabref.gui.preview.PreviewViewer,20,23,0,1,87,0,1.73,0.73,20,19
org.jabref.gui.protectedterms.ManageProtectedTermsAction,4,7,1,1,1,0,1,0,3,1
org.jabref.gui.protectedterms.ManageProtectedTermsDialog,13,20,1,1,70,0,1.6,0.2,21,8
org.jabref.gui.protectedterms.ManageProtectedTermsViewModel,16,14,0,2,38,0,1.22,0.78,34,11
org.jabref.gui.protectedterms.NewProtectedTermsFileDialog,10,8,1,0,27,0,2,2,9,2
org.jabref.gui.push.AbstractPushToApplication,16,24,0,5,n/a,6,1.67,0.5,15,15
org.jabref.gui.push.PushToApplication,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,n/a
org.jabref.gui.push.PushToApplicationAction,18,15,1,1,42,0,1.6,0.83,20,16
org.jabref.gui.push.PushToApplicationSettings,13,9,0,2,30,3,1.33,0.67,12,4
org.jabref.gui.push.PushToApplicationsManager,19,13,0,3,20,0,1.62,0.75,26,13
org.jabref.gui.push.PushToEmacs,15,31,1,4,39,0,1.86,0.57,14,13
org.jabref.gui.push.PushToEmacsSettings,7,12,1,1,9,0,1,1,7,2
org.jabref.gui.push.PushToLyx,13,30,1,3,20,0,2,0.67,13,12
org.jabref.gui.push.PushToLyxSettings,7,10,1,0,5,0,1,2,4,1
org.jabref.gui.push.PushToTeXstudio,8,28,1,4,3,0,1,0.4,7,5
org.jabref.gui.push.PushToTexmaker,8,28,1,4,2,0,1,0.4,7,5
org.jabref.gui.push.PushToVim,13,30,1,3,28,0,1.83,0.67,13,11
org.jabref.gui.push.PushToVimSettings,7,12,1,1,9,0,1,1,7,2
org.jabref.gui.push.PushToWinEdt,8,28,1,4,3,0,1,0.4,7,5
org.jabref.gui.remote.JabRefMessageHandler,8,3,0,1,8,0,2,1,5,2
org.jabref.gui.search.GlobalSearchBar,36,28,0,1,43,0,2.07,0.64,51,29
org.jabref.gui.search.GlobalSearchBar.SearchPopupSkin,1,9,0,3,43,0,2,0.33,6,12
org.jabref.gui.search.SearchDisplayMode,3,7,n/a,2,n/a,n/a,1,0.67,4,3
org.jabref.gui.search.SearchTextField,5,1,0,1,5,0,1,0,3,1
org.jabref.gui.search.rules.describer.ContainsAndRegexBasedSearchRuleDescriber,8,7,0,1,30,0,2.67,1,10,8
org.jabref.gui.search.rules.describer.GrammarBasedSearchRuleDescriber,6,6,0,1,49,0,1.5,1.5,5,3
org.jabref.gui.search.rules.describer.GrammarBasedSearchRuleDescriber.DescriptionSearchBaseVisitor,16,31,2,3,49,0,2.8,1,19,14
org.jabref.gui.search.rules.describer.SearchDescriber,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.search.rules.describer.SearchDescribers,8,2,0,1,15,0,2.5,0.5,11,5
org.jabref.gui.shared.ConnectToSharedDatabaseCommand,4,9,1,1,1,0,1,0.5,4,2
org.jabref.gui.shared.SharedDatabaseLoginDialogView,10,30,1,1,100,0,1.4,0.6,33,7
org.jabref.gui.shared.SharedDatabaseLoginDialogViewModel,25,55,1,8,187,0,1.27,0.13,89,38
org.jabref.gui.shared.SharedDatabaseUIManager,32,9,0,1,123,0,2,1,59,12
org.jabref.gui.specialfields.SpecialFieldAction,16,10,0,1,39,0,3.67,2.33,22,11
org.jabref.gui.specialfields.SpecialFieldDatabaseChangeListener,2,2,n/a,1,n/a,n/a,1,1,1,1
org.jabref.gui.specialfields.SpecialFieldMenuItemFactory,10,5,0,3,23,0,1.2,3,16,6
org.jabref.gui.specialfields.SpecialFieldValueViewModel,13,8,0,1,21,0,8.29,0.14,10,58
org.jabref.gui.specialfields.SpecialFieldViewModel,19,12,0,1,31,0,1.8,0.7,20,18
org.jabref.gui.specialfields.SpecialFieldsPreferences,3,8,0,3,0,0,1,0.75,4,4
org.jabref.gui.texparser.CitationsDisplay,7,5,0,2,52,0,1.75,0.5,14,7
org.jabref.gui.texparser.FileNodeViewModel,3,10,0,2,10,0,1.29,0.29,8,9
org.jabref.gui.texparser.ParseTexAction,7,9,1,1,5,0,1,0.5,6,2
org.jabref.gui.texparser.ParseTexDialogView,14,26,1,1,64,0,1,0.17,23,6
org.jabref.gui.texparser.ParseTexDialogViewModel,17,27,1,2,113,0,1.38,0.54,33,18
org.jabref.gui.texparser.ParseTexResultView,10,14,1,1,30,0,1.5,1.5,12,3
org.jabref.gui.texparser.ParseTexResultViewModel,10,11,1,4,26,0,1.33,0.5,14,8
org.jabref.gui.texparser.ReferenceViewModel,3,8,0,2,5,0,1,0.6,5,5
org.jabref.gui.undo.AbstractUndoableJabRefEdit,13,2,0,2,4,12,1,0,3,2
org.jabref.gui.undo.CountingUndoManager,26,12,0,1,23,0,1.44,0.33,16,13
org.jabref.gui.undo.NamedCompound,34,8,0,2,10,0,1.17,0.33,7,7
org.jabref.gui.undo.UndoableChangeType,10,10,1,1,20,0,1,0.8,15,5
org.jabref.gui.undo.UndoableFieldChange,22,12,1,1,25,0,1.4,1,16,7
org.jabref.gui.undo.UndoableInsertEntries,12,12,1,1,27,0,1.83,1.17,10,11
org.jabref.gui.undo.UndoableInsertString,8,9,1,1,10,0,1,0.5,10,4
org.jabref.gui.undo.UndoableKeyChange,8,10,1,1,13,0,1,0.8,11,5
org.jabref.gui.undo.UndoablePreambleChange,5,9,1,2,5,0,1,0.75,6,4
org.jabref.gui.undo.UndoableRemoveEntries,11,12,1,1,27,0,1.83,1.17,10,11
org.jabref.gui.undo.UndoableRemoveString,7,9,1,1,10,0,1,0.5,10,4
org.jabref.gui.undo.UndoableStringChange,6,10,1,1,12,0,1.75,1,8,7
org.jabref.gui.util.BackgroundTask,43,37,0,10,n/a,7,1.06,0.69,31,35
org.jabref.gui.util.BackgroundTask.BackgroundProgress,1,6,0,1,0,0,1.25,0.5,4,5
org.jabref.gui.util.BaseDialog,53,5,0,2,38,47,2,0.25,8,8
org.jabref.gui.util.BindingsHelper,28,20,0,18,2,0,1.04,2.5,27,25
org.jabref.gui.util.BindingsHelper.BidirectionalBinding,1,10,0,3,3,0,1.17,2.17,6,7
org.jabref.gui.util.BindingsHelper.BidirectionalListBinding,1,8,0,1,2,0,1.67,2.67,3,5
org.jabref.gui.util.BindingsHelper.BidirectionalMapBinding,1,8,0,1,2,0,1.67,2.67,3,5
org.jabref.gui.util.ColorUtil,2,2,0,2,8,0,1,1,2,2
org.jabref.gui.util.ControlHelper,19,11,0,4,28,0,2,1.5,8,16
org.jabref.gui.util.CurrentThreadTaskExecutor,4,12,0,4,1,0,1.6,1.2,11,8
org.jabref.gui.util.CurrentThreadTaskExecutor.FailedFuture,1,7,0,4,1,0,1,0.67,6,6
org.jabref.gui.util.CustomLocalDragboard,9,12,0,1,17,0,1.2,0.7,10,12
org.jabref.gui.util.DefaultFileUpdateMonitor,4,9,0,1,23,0,2,1.25,8,8
org.jabref.gui.util.DefaultTaskExecutor,24,19,0,3,51,0,1.64,1.1,14,18
org.jabref.gui.util.DirectoryDialogConfiguration,12,3,0,1,6,0,1,0.5,2,2
org.jabref.gui.util.DirectoryDialogConfiguration.Builder,10,4,0,2,6,0,1.67,0.67,4,5
org.jabref.gui.util.DroppingMouseLocation,3,3,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.gui.util.FieldsUtil,12,2,0,1,11,0,2.67,1,5,8
org.jabref.gui.util.FileDialogConfiguration,26,12,0,5,20,0,1,0.71,7,7
org.jabref.gui.util.FileDialogConfiguration.Builder,26,16,0,2,20,0,1.33,1.08,15,16
org.jabref.gui.util.FileFilterConverter,11,10,0,6,55,0,1.11,1.22,11,10
org.jabref.gui.util.IconValidationDecorator,17,8,0,1,19,0,1.43,0.57,8,10
org.jabref.gui.util.JabRefResourceLocator,1,2,0,1,3,0,1,1,2,1
org.jabref.gui.util.MappedList,1,8,0,3,42,0,2.67,1,6,16
org.jabref.gui.util.NoSelectionModel,3,15,0,15,2,0,1,0.47,15,15
org.jabref.gui.util.OnlyIntegerFormatter,2,2,0,0,4,0,1,0.5,2,2
org.jabref.gui.util.OnlyIntegerFormatter.IntegerFilter,1,2,0,1,4,0,2,1,1,2
org.jabref.gui.util.OpenHyperlinksInExternalBrowser,1,7,0,2,13,0,1.67,1.67,4,5
org.jabref.gui.util.OptionalObjectProperty,2,4,0,3,7,0,1,0.5,4,6
org.jabref.gui.util.OptionalValueTableCellFactory,2,22,1,1,6,0,1.33,0.67,3,4
org.jabref.gui.util.RadioButtonCell,1,3,0,1,22,0,2.5,1.5,2,5
org.jabref.gui.util.RecursiveTreeItem,4,11,0,2,40,0,2.29,2.57,8,16
org.jabref.gui.util.StreamGobbler,1,5,0,1,4,0,1,1,2,2
org.jabref.gui.util.TaskExecutor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
org.jabref.gui.util.TextFlowLimited,2,7,0,1,35,0,1.6,0.5,5,8
org.jabref.gui.util.ThemeLoader,13,8,0,1,47,0,2.33,2.33,7,7
org.jabref.gui.util.TooltipTextUtil,7,5,0,2,0,0,3.4,1.6,5,17
org.jabref.gui.util.TooltipTextUtil.TextReplacement,5,4,0,0,0,0,1,3,1,1
org.jabref.gui.util.TooltipTextUtil.TextType,6,4,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.gui.util.UiThreadList,1,7,0,5,13,0,1.17,0.83,6,7
