V5-0,Mon, 18 May 2020 19:09:08 CEST,,,,,,,,
Class,CBO,CSOA,DIT,LCOM,MPC,NOC,OCavg,OPavg,RFC,WMC
org.jabref.gui.autocompleter.AutoCompleteFirstNameMode,5,4,n/a,1,n/a,n/a,1,1,2,1
org.jabref.gui.autocompleter.AutoCompletePreferences,13,20,0,6,3,0,1,0.86,16,14
org.jabref.gui.autocompleter.AutoCompleteSuggestionProvider,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.autocompleter.AutoCompleteUpdater,6,4,0,1,4,0,1.33,1,6,4
org.jabref.gui.autocompleter.AutoCompletionInput,4,5,0,2,0,0,1,0.67,3,3
org.jabref.gui.autocompleter.AutoCompletionStrategy,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.autocompleter.AutoCompletionTextInputBinding,8,18,0,5,40,0,1.4,1.85,16,21
org.jabref.gui.autocompleter.BibEntrySuggestionProvider,6,12,1,3,8,0,1.33,1,6,4
org.jabref.gui.autocompleter.ContentSelectorSuggestionProvider,4,6,0,1,4,0,1.33,1.33,4,4
org.jabref.gui.autocompleter.FieldValueSuggestionProvider,5,16,2,1,5,1,1.5,1,3,3
org.jabref.gui.autocompleter.JournalsSuggestionProvider,8,17,3,0,9,0,1,3,5,1
org.jabref.gui.autocompleter.PersonNameStringConverter,6,7,0,1,12,0,4,1.5,12,16
org.jabref.gui.autocompleter.PersonNameSuggestionProvider,9,16,1,3,16,0,1.6,1,10,8
org.jabref.gui.autocompleter.ReplaceStrategy,3,2,0,1,0,0,1,1,2,1
org.jabref.gui.autocompleter.StringSuggestionProvider,3,12,1,2,5,2,1,0.67,3,3
org.jabref.gui.autocompleter.SuggestionProvider,4,10,0,2,n/a,4,1.5,1,9,9
org.jabref.gui.autocompleter.SuggestionProvider.SuggestionProviderString,1,13,1,2,9,0,1.5,1,3,6
org.jabref.gui.autocompleter.SuggestionProviders,22,7,0,2,14,0,2,1.33,13,12
org.jabref.gui.autocompleter.WordSuggestionProvider,5,17,2,1,6,0,2,1,3,4
org.jabref.gui.auximport.AuxParserResultViewModel,5,3,0,1,48,0,2.5,1,12,5
org.jabref.gui.auximport.FromAuxDialog,19,16,1,1,50,0,2,0.33,25,6
org.jabref.gui.auximport.NewSubLibraryAction,6,9,1,1,3,0,1,1,5,2
org.jabref.gui.bibtexextractor.BibtexExtractor,4,28,0,1,79,0,2.4,1.2,12,24
org.jabref.gui.bibtexextractor.BibtexExtractorViewModel,14,9,0,1,26,0,1.25,2,16,5
org.jabref.gui.bibtexextractor.ExtractBibtexAction,6,8,1,1,3,0,1,0.5,5,2
org.jabref.gui.bibtexextractor.ExtractBibtexDialog,10,16,1,1,24,0,1,0,8,2
org.jabref.gui.bibtexkeypattern.BibtexKeyPatternAction,6,9,1,1,4,0,1,1,6,2
org.jabref.gui.bibtexkeypattern.BibtexKeyPatternDialog,10,10,1,1,18,0,1.5,0.5,13,3
org.jabref.gui.bibtexkeypattern.BibtexKeyPatternPanel,16,11,0,1,67,0,2.57,0.86,25,18
org.jabref.gui.bibtexkeypattern.BibtexKeyPatternTableItemModel,5,9,0,2,10,0,1,0.43,7,7
org.jabref.gui.bibtexkeypattern.BibtexKeyPatternTableView,12,13,0,2,10,0,1.29,0.57,17,9
org.jabref.gui.bibtexkeypattern.BibtexKeyPatternTableView.HighlightTableRow,4,1,0,1,10,0,4,2,3,4
org.jabref.gui.bibtexkeypattern.BibtexKeyPatternTableViewModel,7,13,0,1,1,0,1.83,0.67,11,11
org.jabref.gui.bibtexkeypattern.BibtexKeyPatternTableViewModel.DefaultEntryType,4,4,0,2,1,0,1,0,3,2
org.jabref.gui.bibtexkeypattern.GenerateBibtexKeyAction,13,12,0,1,44,0,2.29,0.71,25,16
org.jabref.gui.bibtexkeypattern.GenerateBibtexKeySingleAction,10,13,1,1,10,0,2,2.5,10,4
org.jabref.gui.cleanup.CleanupAction,18,13,0,1,56,0,3.33,1.17,32,20
org.jabref.gui.cleanup.CleanupDialog,7,6,1,0,11,0,2,3,4,2
org.jabref.gui.cleanup.CleanupPresetPanel,8,18,0,1,77,0,4,1.5,15,16
org.jabref.gui.cleanup.FieldFormatterCleanupsPanel,19,24,0,1,10,0,1.45,0.36,35,16
org.jabref.gui.cleanup.FieldFormatterCleanupsPanel.EnablementStatusListener,1,3,0,1,10,0,1,1.67,3,3
org.jabref.gui.collab.ChangeDisplayDialog,7,10,1,1,48,0,5,1.5,9,10
org.jabref.gui.collab.ChangeScanner,23,6,0,1,48,0,2.5,0.75,27,10
org.jabref.gui.collab.DatabaseChangeListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.collab.DatabaseChangeMonitor,9,10,0,1,17,0,1.25,1,8,5
org.jabref.gui.collab.DatabaseChangePane,9,4,0,1,14,0,1,2,7,2
org.jabref.gui.collab.DatabaseChangeViewModel,16,10,0,3,n/a,10,1,0.5,8,6
org.jabref.gui.collab.EntryAddChangeViewModel,14,14,1,1,16,0,1,1,18,3
org.jabref.gui.collab.EntryChangeViewModel,11,17,1,1,29,0,1.25,1.25,19,5
org.jabref.gui.collab.EntryDeleteChangeViewModel,12,15,1,1,15,0,1,1,15,3
org.jabref.gui.collab.GroupChangeViewModel,12,14,1,1,26,0,2.67,1,22,8
org.jabref.gui.collab.MetaDataChangeViewModel,7,15,1,1,12,0,1.33,1.33,8,4
org.jabref.gui.collab.PreambleChangeViewModel,9,14,1,1,29,0,1.67,1,12,5
org.jabref.gui.collab.StringAddChangeViewModel,9,15,1,1,20,0,1,1,11,3
org.jabref.gui.collab.StringChangeViewModel,7,16,1,1,23,0,1,1.33,10,3
org.jabref.gui.collab.StringNameChangeViewModel,8,16,1,1,18,0,1.33,1.33,12,4
org.jabref.gui.collab.StringRemoveChangeViewModel,8,15,1,1,21,0,1,1,12,3
org.jabref.gui.contentselector.ContentSelectorDialogView,8,27,1,1,58,0,1.08,0.25,23,13
org.jabref.gui.contentselector.ContentSelectorDialogViewModel,12,33,1,3,92,0,1.42,0.79,40,34
org.jabref.gui.contentselector.ManageContentSelectorAction,7,9,1,1,4,0,1,1,6,2
org.jabref.gui.copyfiles.CopyFilesAction,17,11,1,1,25,0,1.33,1,17,4
org.jabref.gui.copyfiles.CopyFilesDialogView,10,13,1,1,30,0,1.67,0.33,7,5
org.jabref.gui.copyfiles.CopyFilesDialogViewModel,4,3,1,1,3,0,1,0.5,3,2
org.jabref.gui.copyfiles.CopyFilesResultItemViewModel,8,8,0,3,6,0,1.2,0.6,5,6
org.jabref.gui.copyfiles.CopyFilesResultListDependency,4,5,0,1,0,0,1,0.25,4,4
org.jabref.gui.copyfiles.CopyFilesTask,11,18,0,1,63,0,2.75,2.25,10,11
org.jabref.gui.copyfiles.CopySingleFileAction,11,7,0,1,33,0,1.67,1.33,14,5
org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel,16,32,0,7,80,0,1.29,0.33,30,22
org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.FieldType,4,6,n/a,1,n/a,n/a,1,0.33,4,3
org.jabref.gui.customentrytypes.CustomizeEntryAction,8,10,1,1,5,0,1,1,6,2
org.jabref.gui.customentrytypes.CustomizeEntryTypeDialogView,16,27,1,1,97,0,1.2,0.4,23,6
