V3-8,,,,,,,
Package,AC(rec),C(rec),Ca,Ce,D,I,LOC(rec)
net.sf.jabref.shared,1,20,22,31,0.29,0.58,1661
net.sf.jabref.shared.event,0,3,6,4,0.6,0.4,65
net.sf.jabref.shared.exception,0,5,6,2,0.75,0.25,63
net.sf.jabref.shared.listener,0,2,2,3,0.4,0.6,36
net.sf.jabref.shared.prefs,0,1,5,3,0.62,0.38,102
net.sf.jabref.shared.security,0,1,3,0,1,0,56
oracle,0,6,n/a,n/a,n/a,n/a,334
oracle.jdbc,0,6,2,2,0.5,0.5,334
oracle.jdbc.dcn,0,3,6,2,0.42,0.25,23
oracle.jdbc.driver,0,1,0,0,0,1,7
osx,0,1,n/a,n/a,n/a,n/a,69
osx.macadapter,0,1,1,1,0.5,0.5,69
