V3-8,,,,,,,
Package,AC(rec),C(rec),Ca,Ce,D,I,LOC(rec)
,26,1351,n/a,n/a,n/a,n/a,107387
net,26,1344,n/a,n/a,n/a,n/a,106984
net.sf,26,1344,n/a,n/a,n/a,n/a,106984
net.sf.jabref,26,1344,85,46,0.65,0.35,106984
net.sf.jabref.cli,0,10,9,51,0.15,0.89,1062
net.sf.jabref.collab,1,20,28,97,0.07,0.79,1482
net.sf.jabref.gui,9,714,300,429,0.39,0.52,53165
net.sf.jabref.gui.actions,1,27,43,103,0.2,0.71,1504
net.sf.jabref.gui.autocompleter,1,8,9,6,0.43,0.36,783
net.sf.jabref.gui.autosaveandbackup,0,2,4,5,0.44,0.56,50
net.sf.jabref.gui.auximport,0,2,1,7,0.12,0.88,187
net.sf.jabref.gui.bibtexkeypattern,0,6,5,35,0.12,0.88,515
net.sf.jabref.gui.cleanup,0,7,5,19,0.21,0.82,450
net.sf.jabref.gui.contentselector,0,6,4,18,0.18,0.85,612
net.sf.jabref.gui.customentrytypes,0,8,10,32,0.24,0.8,847
net.sf.jabref.gui.date,0,1,1,5,0.17,0.83,59
net.sf.jabref.gui.dbproperties,0,2,1,11,0.08,0.92,260
net.sf.jabref.gui.desktop,0,6,14,12,0.54,0.46,523
net.sf.jabref.gui.desktop.os,0,5,7,7,0.3,0.5,205
net.sf.jabref.gui.entryeditor,0,30,30,122,0.2,0.81,2193
net.sf.jabref.gui.exporter,0,13,12,66,0.15,0.86,1169
net.sf.jabref.gui.externalfiles,0,17,25,116,0.1,0.84,2090
net.sf.jabref.gui.externalfiletype,0,13,47,36,0.57,0.4,1131
net.sf.jabref.gui.fieldeditors,0,32,30,67,0.24,0.69,2030
net.sf.jabref.gui.fieldeditors.contextmenu,0,5,6,23,0.21,0.79,222
net.sf.jabref.gui.filelist,0,8,27,22,0.35,0.45,583
net.sf.jabref.gui.groups,1,47,48,193,0.17,0.8,3975
net.sf.jabref.gui.help,0,6,17,18,0.49,0.51,268
net.sf.jabref.gui.importer,1,61,44,171,0.15,0.81,5687
net.sf.jabref.gui.importer.actions,0,6,10,57,0.02,0.85,615
net.sf.jabref.gui.importer.fetcher,0,14,16,104,0.01,0.87,1967
net.sf.jabref.gui.journals,0,14,11,54,0.17,0.86,788
net.sf.jabref.gui.keyboard,0,22,76,26,0.75,0.2,1307
net.sf.jabref.gui.maintable,0,29,33,72,0.31,0.73,2053
net.sf.jabref.gui.menus,0,4,10,35,0.22,0.78,432
net.sf.jabref.gui.mergeentries,0,9,13,56,0.19,0.81,815
net.sf.jabref.gui.net,0,2,3,1,0.75,0.25,16
net.sf.jabref.gui.openoffice,0,28,20,75,0.21,0.81,3006
net.sf.jabref.gui.plaintextimport,1,13,13,35,0.19,0.76,671
net.sf.jabref.gui.preftabs,1,49,44,165,0.16,0.84,4354
net.sf.jabref.gui.protectedterms,0,10,7,28,0.2,0.82,517
net.sf.jabref.gui.push,1,17,20,70,0.1,0.8,1003
net.sf.jabref.gui.remote,0,1,2,5,0.29,0.71,21
net.sf.jabref.gui.renderer,0,3,6,5,0.55,0.45,113
net.sf.jabref.gui.search,0,28,14,58,0.19,0.79,1220
net.sf.jabref.gui.search.matchers,0,2,2,2,0.5,0.5,28
net.sf.jabref.gui.shared,0,8,7,37,0.16,0.84,667
net.sf.jabref.gui.specialfields,0,9,17,45,0.27,0.73,501
net.sf.jabref.gui.undo,0,12,80,51,0.61,0.39,516
net.sf.jabref.gui.util,0,13,5,3,0.62,0.43,644
net.sf.jabref.gui.util.comparator,0,4,6,8,0.43,0.57,115
net.sf.jabref.gui.util.component,0,6,11,0,1,0,393
net.sf.jabref.gui.worker,1,8,24,36,0.03,0.6,574
net.sf.jabref.logic,6,393,7,4,0.64,0.36,34625
net.sf.jabref.logic.autocompleter,1,12,26,26,0.33,0.5,627
net.sf.jabref.logic.autosaveandbackup,0,2,7,9,0.44,0.56,220
net.sf.jabref.logic.auxparser,0,2,5,5,0.5,0.5,223
net.sf.jabref.logic.bibtex,0,12,23,16,0.59,0.41,853
net.sf.jabref.logic.bibtex.comparator,0,7,14,8,0.64,0.38,362
net.sf.jabref.logic.bibtexkeypattern,0,2,23,11,0.68,0.32,1247
net.sf.jabref.logic.bst,0,21,20,19,0.41,0.52,2170
net.sf.jabref.logic.citationstyle,0,5,14,11,0.56,0.38,323
net.sf.jabref.logic.cleanup,0,14,26,64,0.29,0.74,827
net.sf.jabref.logic.error,0,2,3,1,0.75,0.25,66
net.sf.jabref.logic.exporter,2,24,79,81,0.33,0.51,2939
net.sf.jabref.logic.formatter,0,24,4,7,0.36,0.64,1329
net.sf.jabref.logic.formatter.bibtexfields,0,12,30,32,0.48,0.52,740
net.sf.jabref.logic.formatter.casechanger,0,9,16,21,0.43,0.57,411
net.sf.jabref.logic.formatter.minifier,0,1,1,2,0.33,0.67,64
net.sf.jabref.logic.help,0,1,17,0,1,0,70
net.sf.jabref.logic.importer,2,73,86,52,0.08,0.38,9798
net.sf.jabref.logic.importer.fetcher,1,23,29,103,0.17,0.78,1865
net.sf.jabref.logic.importer.fileformat,0,21,32,85,0.27,0.73,6129
net.sf.jabref.logic.importer.fileformat.mods,n/a,n/a,n/a,n/a,n/a,n/a,12
net.sf.jabref.logic.importer.util,0,5,7,14,0.33,0.67,666
net.sf.jabref.logic.integrity,0,29,30,101,0.19,0.77,1010
net.sf.jabref.logic.journals,0,5,25,3,0.89,0.11,354
net.sf.jabref.logic.l10n,0,6,73,2,0.97,0.03,230
net.sf.jabref.logic.layout,1,74,38,15,0.34,0.28,4093
net.sf.jabref.logic.layout.format,0,66,83,115,0.42,0.58,2914
net.sf.jabref.logic.logging,0,3,4,1,0.8,0.2,107
net.sf.jabref.logic.msbib,0,8,10,14,0.42,0.58,944
net.sf.jabref.logic.net,0,5,16,2,0.89,0.11,398
net.sf.jabref.logic.openoffice,0,11,19,17,0.53,0.52,1711
net.sf.jabref.logic.protectedterms,0,4,13,5,0.72,0.28,354
net.sf.jabref.logic.remote,0,8,4,0,1,0,275
net.sf.jabref.logic.remote.client,0,1,1,2,0.33,0.67,40
net.sf.jabref.logic.remote.server,0,4,6,5,0.3,0.45,145
net.sf.jabref.logic.remote.shared,0,1,2,0,1,0,57
net.sf.jabref.logic.search,0,9,13,9,0.34,0.41,389
net.sf.jabref.logic.search.rules,0,5,n/a,n/a,n/a,n/a,171
net.sf.jabref.logic.search.rules.describer,0,5,5,11,0.06,0.69,171
net.sf.jabref.logic.specialfields,0,1,3,4,0.43,0.57,100
net.sf.jabref.logic.undo,0,3,6,2,0.75,0.25,65
net.sf.jabref.logic.util,0,28,82,11,0.88,0.11,2532
net.sf.jabref.logic.util.date,0,1,3,0,1,0,41
net.sf.jabref.logic.util.io,0,9,31,16,0.66,0.35,1097
net.sf.jabref.logic.util.strings,0,5,6,0,1,0,510
net.sf.jabref.logic.xmp,0,4,13,8,0.62,0.38,1301
net.sf.jabref.migrations,0,3,3,25,0.11,0.89,412
net.sf.jabref.model,9,161,55,9,0.57,0.13,11749
net.sf.jabref.model.bibtexkeypattern,1,3,20,2,0.58,0.09,156
net.sf.jabref.model.cleanup,0,4,21,9,0.2,0.3,272
net.sf.jabref.model.database,0,15,142,24,0.86,0.14,1100
net.sf.jabref.model.database.event,0,5,18,4,0.82,0.18,65
net.sf.jabref.model.entry,3,92,326,32,0.79,0.09,5269
net.sf.jabref.model.entry.event,1,4,26,8,0.51,0.24,122
net.sf.jabref.model.entry.specialfields,0,2,12,3,0.8,0.2,127
net.sf.jabref.model.groups,2,11,43,24,0.34,0.36,691
net.sf.jabref.model.groups.event,0,1,2,2,0.5,0.5,15
net.sf.jabref.model.metadata,0,7,53,13,0.8,0.21,536
net.sf.jabref.model.metadata.event,0,1,2,2,0.5,0.5,18
net.sf.jabref.model.search,1,18,6,4,0.1,0.4,558
net.sf.jabref.model.search.matchers,1,6,11,10,0.36,0.56,110
net.sf.jabref.model.search.rules,0,10,22,15,0.49,0.37,387
net.sf.jabref.model.strings,0,4,44,2,0.96,0.04,1915
net.sf.jabref.pdfimport,0,5,8,27,0.23,0.84,474
net.sf.jabref.preferences,0,11,73,42,0.63,0.38,1750
